--- ABOUT ---
"Incorporated in 1986, Twentyfirst Century Management Services Ltd invests in the capital market. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
35.2,33.5,67.4,

Book Value,Dividend Yield,ROCE,ROE
31.5,0.00,-57.0,-57.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,-0,1,3,17,18,109,14,-2,-8,3,-7,-3,-10
Expenses +,7,4,0,1,1,82,10,1,1,1,1,2,3
Operating Profit,-8,-3,2,16,17,27,4,-3,-9,2,-8,-6,-13
OPM %,,-273%,83%,97%,96%,25%,30%,,,69%,,,
Other Income +,0,-0,-0,0,0,0,0,0,-0,0,-0,-0,-0
Interest,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Depreciation,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0
Profit before tax,-8,-3,2,16,17,27,4,-3,-9,2,-8,-6,-13
Tax %,2%,-0%,-0%,-0%,4%,10%,42%,18%,21%,-0%,-0%,-0%,1%
Net Profit +,-8,-3,2,16,17,24,2,-3,-11,2,-8,-6,-13
EPS in Rs,-7.47,-2.64,2.19,15.27,15.83,23.29,2.30,-3.10,-10.30,2.20,-7.51,-5.34,-12.26
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,37,-6,10,28,-2,-31,7,260,-9,39,113,-17
Expenses +,3,2,2,20,2,2,2,245,9,6,93,7
Operating Profit,34,-8,7,9,-4,-33,5,15,-18,33,20,-24
OPM %,92%,,76%,31%,,,69%,6%,,85%,17%,
Other Income +,-1,3,0,0,-0,1,-0,0,0,-0,0,0
Interest,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0
Depreciation,0,1,0,0,0,0,0,0,0,0,0,0
Profit before tax,33,-6,7,8,-5,-32,5,15,-18,33,20,-24
Tax %,27%,9%,20%,28%,31%,0%,-0%,1%,1%,2%,37%,0%
Net Profit +,24,-7,6,6,-6,-32,5,15,-18,32,12,-24
EPS in Rs,23.06,-6.62,5.37,5.70,-5.67,-30.55,4.75,13.96,-17.20,30.64,11.75,-22.90
Dividend Payout %,9%,-0%,-0%,44%,-0%,-0%,-0%,-0%,-0%,8%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,44,37,43,50,40,8,13,20,10,43,41,23
Borrowings +,20,-0,-0,2,-0,8,-0,1,10,-0,-0,-0
Other Liabilities +,20,20,20,18,4,2,2,2,7,2,6,6
Total Liabilities,95,67,74,81,55,28,25,33,38,56,57,40
Fixed Assets +,3,2,1,1,1,1,1,1,1,1,1,1
CWIP,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Investments,39,1,14,45,10,0,4,26,25,11,21,20
Other Assets +,52,65,58,35,44,27,21,6,12,44,35,19
Total Assets,95,67,74,81,55,28,25,33,38,56,57,40

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,27,-9,10,17,-24,-16,2,25,-4,-3,5,-2
Cash from Investing Activity +,-47,40,-13,-24,35,4,-4,-27,-5,16,-8,5
Cash from Financing Activity +,20,-20,-5,2,4,8,-8,1,9,-10,-0,-0
Net Cash Flow,-0,10,-8,-5,15,-5,-10,-1,-0,3,-3,3
Free Cash Flow,26,-6,10,17,-24,-16,2,25,-5,-3,5,-2
CFO/OP,108%,106%,165%,214%,475%,49%,33%,172%,25%,-8%,61%,6%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,322,"-1,997","1,282",198,"-2,289",-181,940,0,-0,162,25,-133
Inventory Days,,-0,,,-0,-0,,8,594,989,17,-0
Days Payable,,,,,,,,-0,302,-0,-0,
Cash Conversion Cycle,322,"-1,997","1,282",198,"-2,289",-181,940,8,292,"1,151",42,-133
Working Capital Days,-57,"1,005",611,-23,"2,390",63,850,5,159,354,81,188
ROCE %,56%,-15%,14%,14%,-8%,-84%,20%,54%,-58%,78%,38%,-57%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.77%,62.77%,64.25%,64.25%,64.30%,64.09%,64.09%,64.43%,64.43%,64.43%,64.43%,64.43%
Public +,37.23%,37.24%,35.76%,35.75%,35.71%,35.91%,35.91%,35.58%,35.58%,35.58%,35.57%,35.57%
No. of Shareholders,"6,566","6,792","6,333","5,943","5,889","6,816","7,692","8,010","8,254","8,266","7,947","7,795"

--- CAGR BOXES ---




