--- ABOUT ---
"3M India is a subsidiary of 3M Company, USA. The Company manages its operations in four operating segments: Safety & Industrial , Transportation & Electronics, Health Care and Consumer. In India, the Company has manufacturing facilities at Ahmedabad, Bangalore, Pune and has a R&D Center in Bangalore.(Source : 202003 Annual Report Page No:137)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"37,332","33,125","38,300",61.1

Book Value,Dividend Yield,ROCE,ROE
"1,906",0.48,40.5,30.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales +,744,840,826,926,944,977,993,"1,046","1,050","1,040","1,006","1,095","1,047"
Expenses +,696,748,731,768,827,854,822,852,877,847,827,880,841
Operating Profit,48,92,95,158,116,123,171,194,173,192,179,214,205
OPM %,6%,11%,12%,17%,12%,13%,17%,19%,16%,18%,18%,20%,20%
Other Income +,8,8,8,9,11,35,12,10,15,17,17,30,22
Interest,1,1,0,2,1,0,1,6,1,1,1,1,3
Depreciation,15,13,14,13,14,15,15,14,14,13,13,13,14
Profit before tax,41,87,89,151,113,143,167,184,173,196,181,231,211
Tax %,26%,26%,25%,27%,26%,26%,25%,26%,25%,25%,25%,25%,26%
Net Profit +,30,64,67,111,84,106,125,136,129,146,135,173,157
EPS in Rs,26.72,57.01,59.24,98.46,74.80,94.30,110.79,120.48,114.70,129.70,120.05,153.44,139.50
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"2,710","3,017","2,987","2,605","3,336","3,959","4,189","4,186"
Expenses +,"2,211","2,481","2,537","2,345","2,947","3,355","3,430","3,396"
Operating Profit,499,536,450,259,389,604,759,791
OPM %,18%,18%,15%,10%,12%,15%,18%,19%
Other Income +,55,60,46,25,37,68,78,86
Interest,2,1,4,2,4,7,3,5
Depreciation,44,44,59,62,55,58,53,53
Profit before tax,508,551,433,220,368,607,781,819
Tax %,34%,33%,26%,26%,26%,26%,25%,
Net Profit +,333,366,322,162,272,451,583,611
EPS in Rs,295.91,325.06,285.99,144.14,241.43,400.37,517.90,542.69
Dividend Payout %,0%,0%,0%,0%,0%,237%,132%,

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Equity Capital,11,11,11,11,11,11,11
Reserves,"1,055","1,422","1,740","1,899","2,172","1,666","2,136"
Borrowings +,10,14,42,23,25,27,18
Other Liabilities +,"1,234",672,578,718,798,"1,010","1,083"
Total Liabilities,"2,311","2,118","2,371","2,652","3,006","2,714","3,248"
Fixed Assets +,303,286,306,266,307,338,332
CWIP,6,12,7,24,23,25,12
Investments,0,0,0,0,0,0,0
Other Assets +,"2,001","1,820","2,058","2,362","2,676","2,352","2,903"
Total Assets,"2,311","2,118","2,371","2,652","3,006","2,714","3,248"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,36,253,245,321,327,465,643
Cash from Investing Activity +,25,-553,3,-14,-41,-15,-269
Cash from Financing Activity +,-2,3,-25,-25,-21,-980,-128
Net Cash Flow,59,-297,223,282,265,-530,246
Free Cash Flow,19,212,224,282,259,406,612
CFO/OP,50%,88%,84%,156%,110%,104%,111%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,77,71,65,68,58,59,61
Inventory Days,96,94,92,104,85,91,77
Days Payable,93,81,66,114,94,113,120
Cash Conversion Cycle,79,84,92,58,49,36,19
Working Capital Days,-26,54,63,54,38,32,22
ROCE %,,44%,27%,12%,18%,31%,41%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,3.64%,3.56%,3.56%,3.64%,3.77%,4.07%,4.01%,3.78%,3.84%,3.43%,3.50%,3.52%
DIIs +,8.34%,8.45%,8.52%,8.44%,8.27%,8.13%,8.16%,8.08%,8.10%,8.12%,8.39%,8.34%
Public +,13.02%,12.98%,12.92%,12.92%,12.95%,12.80%,12.84%,13.13%,13.05%,13.44%,13.11%,13.15%
No. of Shareholders,"28,054","28,077","27,610","29,198","29,243","30,045","32,147","34,425","34,588","34,539","30,577","29,808"

--- CAGR BOXES ---




