--- ABOUT ---
"Incorporated in 2018, Aarti Surfactants Ltd is in the business of Home and personal care ingredients [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
327,387,590,26.5

Book Value,Dividend Yield,ROCE,ROE
289,0.26,8.53,5.17

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,157.84,148.70,143.86,138.75,158.55,143.41,150.84,162.78,202.05,215.90,179.17,207.79,256.28
Expenses +,143.94,133.90,127.60,122.02,144.21,133.79,147.12,153.89,182.36,204.27,169.83,195.10,243.07
Operating Profit,13.90,14.80,16.26,16.73,14.34,9.62,3.72,8.89,19.69,11.63,9.34,12.69,13.21
OPM %,8.81%,9.95%,11.30%,12.06%,9.04%,6.71%,2.47%,5.46%,9.75%,5.39%,5.21%,6.11%,5.15%
Other Income +,0.09,0.03,0.03,0.03,0.05,0.49,6.21,-0.16,1.14,0.04,0.06,0.04,0.19
Interest,3.91,3.32,3.66,3.65,3.41,2.57,2.60,3.12,3.26,3.28,2.80,3.16,3.06
Depreciation,3.93,3.95,3.85,4.02,4.21,4.23,4.31,4.40,4.41,4.35,4.41,4.47,4.46
Profit before tax,6.15,7.56,8.78,9.09,6.77,3.31,3.02,1.21,13.16,4.04,2.19,5.10,5.88
Tax %,23.90%,30.56%,45.90%,26.40%,31.17%,32.93%,40.07%,33.88%,26.22%,27.23%,29.22%,28.24%,28.74%
Net Profit +,4.69,5.25,4.74,6.68,4.65,2.22,1.81,0.80,9.72,2.94,1.56,3.66,4.19
EPS in Rs,5.52,6.18,5.58,7.86,5.50,2.62,2.14,0.95,11.49,3.48,1.84,4.32,4.95
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,326,466,576,601,590,659,859
Expenses +,302,420,543,554,528,617,812
Operating Profit,24,46,32,48,62,42,47
OPM %,7%,10%,6%,8%,11%,6%,5%
Other Income +,0,0,0,0,0,8,0
Interest,10,10,11,15,14,12,12
Depreciation,11,12,12,15,16,17,18
Profit before tax,3,23,9,18,32,21,17
Tax %,29%,6%,41%,29%,34%,30%,28%
Net Profit +,2,22,5,13,21,15,12
EPS in Rs,2.46,25.45,6.46,14.94,25.22,17.19,14.58
Dividend Payout %,0%,11%,0%,0%,0%,6%,7%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,8,8,8,8,8
Reserves,103,125,128,160,210,224,236
Borrowings +,109,152,162,149,99,110,104
Other Liabilities +,42,102,105,86,105,134,168
Total Liabilities,262,387,402,404,422,477,517
Fixed Assets +,151,187,173,207,208,204,204
CWIP,14,20,52,8,8,15,41
Investments,0,0,0,0,0,0,0
Other Assets +,97,180,178,188,206,259,272
Total Assets,262,387,402,404,422,477,517

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,18,36,23,25,52,11,77
Cash from Investing Activity +,-2,-60,-23,-11,-16,-16,-46
Cash from Financing Activity +,-16,32,-6,-8,-37,-0,-20
Net Cash Flow,0,7,-5,6,-1,-5,12
Free Cash Flow,-7,-25,1,14,36,-9,32
CFO/OP,77%,78%,78%,55%,94%,39%,172%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,20,43,35,40,43,42,44
Inventory Days,83,76,60,60,81,92,60
Days Payable,28,81,56,44,55,63,62
Cash Conversion Cycle,75,38,38,55,69,71,43
Working Capital Days,-1,3,16,20,40,36,22
ROCE %,,13%,7%,11%,15%,8%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,49.81%,49.81%,49.81%,49.81%,49.81%,49.92%,49.92%,49.92%,49.92%,49.92%,49.88%,49.88%
FIIs +,0.04%,0.04%,0.04%,0.09%,0.04%,0.06%,0.00%,0.14%,0.00%,0.00%,0.00%,0.14%
DIIs +,0.00%,0.00%,0.01%,0.00%,0.00%,1.06%,0.80%,0.80%,0.80%,0.80%,0.30%,0.00%
Government +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,50.14%,50.14%,50.14%,50.10%,50.14%,48.95%,49.26%,49.13%,49.27%,49.26%,49.80%,49.98%
No. of Shareholders,"40,848","41,228","41,711","43,091","41,653","40,028","39,417","38,548","37,835","37,015","36,182","35,669"

--- CAGR BOXES ---




