--- ABOUT ---
"Incorporated in 1987, Aarvi is India’s leading technical staffing company, which specializes in providing expert engineering staffing solutions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
211,142,155 / 97.0,11.8

Book Value,Dividend Yield,ROCE,ROE
95.9,1.41,14.4,13.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,106.30,100.87,102.29,99.88,103.11,113.33,120.96,131.64,144.45,151.30,158.85,167.45,172.25
Expenses +,101.67,96.73,99.11,97.66,100.14,110.02,118.96,128.00,140.00,146.37,153.27,162.09,165.44
Operating Profit,4.63,4.14,3.18,2.22,2.97,3.31,2.00,3.64,4.45,4.93,5.58,5.36,6.81
OPM %,4.36%,4.10%,3.11%,2.22%,2.88%,2.92%,1.65%,2.77%,3.08%,3.26%,3.51%,3.20%,3.95%
Other Income +,0.27,0.12,0.31,0.90,1.00,0.48,1.04,0.46,0.49,0.68,0.65,-0.22,0.80
Interest,0.46,0.31,0.35,0.39,0.42,0.67,0.79,0.79,0.83,0.78,0.71,0.69,0.71
Depreciation,0.35,0.28,0.30,0.35,0.34,0.29,0.31,0.47,0.50,0.39,0.44,0.46,0.48
Profit before tax,4.09,3.67,2.84,2.38,3.21,2.83,1.94,2.84,3.61,4.44,5.08,3.99,6.42
Tax %,15.65%,9.54%,8.10%,0.42%,5.30%,7.77%,-8.76%,16.20%,18.28%,4.95%,5.71%,-0.75%,28.50%
Net Profit +,3.45,3.32,2.61,2.38,3.04,2.61,2.11,2.37,2.95,4.22,4.80,4.01,4.58
EPS in Rs,2.33,2.25,1.77,1.61,2.06,1.77,1.43,1.60,1.99,2.85,3.24,2.71,3.09
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,115,110,153,173,206,218,202,289,437,406,510,650
Expenses +,103,105,144,164,195,209,192,275,418,393,496,627
Operating Profit,12,5,9,10,11,9,10,13,19,13,14,23
OPM %,10%,5%,6%,6%,6%,4%,5%,5%,4%,3%,3%,3%
Other Income +,0,1,0,2,1,1,2,1,0,2,2,2
Interest,1,1,2,1,1,2,1,1,2,2,4,3
Depreciation,1,1,1,1,1,1,1,1,1,1,2,2
Profit before tax,10,4,7,10,10,7,10,12,16,12,11,20
Tax %,34%,31%,25%,19%,15%,-3%,-2%,1%,7%,6%,10%,12%
Net Profit +,6,3,5,8,9,7,10,12,15,11,10,18
EPS in Rs,207.10,81.61,172.90,5.26,5.84,4.86,7.08,8.16,9.81,7.67,6.78,11.90
Dividend Payout %,10%,25%,0%,10%,17%,21%,21%,24%,20%,26%,30%,17%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,15,15,15,15,15,15,15,15,15
Reserves,26,27,32,48,55,62,70,80,93,102,111,127
Borrowings +,9,9,15,4,8,10,4,6,3,10,27,27
Other Liabilities +,14,12,17,16,28,32,31,48,47,44,61,68
Total Liabilities,53,52,67,83,106,118,120,149,158,171,213,237
Fixed Assets +,9,7,7,7,12,11,10,10,10,10,18,17
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,6,5
Other Assets +,44,44,60,76,94,106,109,138,148,161,190,215
Total Assets,53,52,67,83,106,118,120,149,158,171,213,237

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,4,0,1,-7,-4,4,17,-10,3,3,-2,8
Cash from Investing Activity +,-0,-0,-0,1,-1,-0,2,0,-0,1,-13,0
Cash from Financing Activity +,-4,-2,4,8,1,-2,-7,-1,-4,2,11,-6
