--- ABOUT ---
"ABB India Limited is an integrated power equipment manufacturer supplying the complete range of engineering, products, solutions and services in areas of Automation and Power technology. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,53,591","7,248","7,825",101

Book Value,Dividend Yield,ROCE,ROE
370,0.54,29.9,22.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2022,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,850","1,726","1,746","1,975","2,098","2,912","3,365","3,010","3,175","3,311","3,423","3,184"
Expenses +,"1,705","1,602","1,622","1,787","1,898","2,372","2,708","2,450","2,761","2,810","2,896","2,776"
Operating Profit,146,124,123,188,200,540,657,560,414,500,527,408
OPM %,8%,7%,7%,10%,10%,19%,20%,19%,13%,15%,15%,13%
Other Income +,46,81,73,41,25,93,83,110,99,84,89,"1,541"
Interest,3,10,4,1,3,3,5,5,4,6,5,4
Depreciation,23,22,23,26,26,33,34,34,36,37,39,42
Profit before tax,166,173,169,201,196,597,702,631,474,542,571,"1,904"
Tax %,30%,25%,20%,60%,26%,26%,25%,25%,26%,25%,24%,6%
Net Profit +,116,130,135,80,146,440,528,475,352,409,433,"1,784"
EPS in Rs,5.48,6.15,6.38,3.76,6.87,20.79,24.94,22.40,16.60,19.30,20.43,84.17
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2011,Dec 2012,Dec 2024,Dec 2025,TTM
Sales +,"7,449","7,608","12,188","13,203","13,093"
Expenses +,"7,093","7,253","9,877","11,158","11,243"
Operating Profit,356,355,"2,311","2,045","1,850"
OPM %,5%,5%,19%,15%,14%
Other Income +,38,7,344,349,"1,814"
Interest,46,57,16,20,19
Depreciation,80,94,129,146,154
Profit before tax,268,211,"2,510","2,229","3,491"
Tax %,31%,33%,25%,25%,
Net Profit +,185,141,"1,872","1,668","2,977"
EPS in Rs,8.72,6.65,88.33,78.73,140.50
Dividend Payout %,34%,45%,50%,50%,

--- BALANCE SHEET ---
,Dec 2011,Dec 2012,Dec 2024,Dec 2025
Equity Capital,42,42,42,42
Reserves,"2,492","2,559","7,033","7,794"
Borrowings +,0,328,52,85
Other Liabilities +,"3,784","3,575","5,264","5,718"
Total Liabilities,"6,319","6,504","12,391","13,638"
Fixed Assets +,"1,195","1,234","1,062","1,195"
CWIP,74,117,95,116
Investments,17,17,2,2
Other Assets +,"5,033","5,137","11,233","12,326"
Total Assets,"6,319","6,504","12,391","13,638"

--- CASH FLOW ---
,Dec 2011,Dec 2012,Dec 2024,Dec 2025
Cash from Operating Activity +,120,-44,"1,332","1,220"
Cash from Investing Activity +,-361,-340,-503,364
Cash from Financing Activity +,-80,210,-770,-966
Net Cash Flow,-321,-173,59,617
Free Cash Flow,-34,-218,"1,118",980
CFO/OP,52%,16%,86%,87%

--- RATIOS ---
,Dec 2011,Dec 2012,Dec 2024,Dec 2025
Debtor Days,152,157,89,88
Inventory Days,69,68,96,98
Days Payable,146,141,173,165
Cash Conversion Cycle,75,84,13,21
Working Capital Days,39,43,-1,5
ROCE %,,10%,,30%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,9.46%,10.18%,10.72%,11.89%,12.06%,12.28%,11.85%,10.27%,9.25%,8.29%,7.64%,8.19%
DIIs +,8.07%,7.37%,6.92%,5.95%,5.64%,5.42%,5.70%,7.01%,7.66%,8.31%,9.15%,9.28%
Public +,7.48%,7.47%,7.36%,7.15%,7.29%,7.29%,7.45%,7.70%,8.08%,8.39%,8.20%,7.50%
No. of Shareholders,"1,09,435","1,12,399","1,02,093","1,02,557","1,32,505","1,38,259","1,48,890","1,71,077","1,82,397","2,02,400","2,00,657","1,81,528"

--- CAGR BOXES ---




