--- ABOUT ---
"Incorporated in 1997, Ace Integrated Solutions Ltd is engaged in contract business for manpower recruitment [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
21.3,20.9,29.9,

Book Value,Dividend Yield,ROCE,ROE
17.2,0.00,-11.3,-8.59

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,2.47,1.25,2.21,1.57,1.88,2.37,3.32,2.52,3.16,1.43,1.44
Expenses +,2.04,1.16,1.83,1.64,2.10,2.51,2.79,2.48,3.21,1.72,3.54
Operating Profit,0.43,0.09,0.38,-0.07,-0.22,-0.14,0.53,0.04,-0.05,-0.29,-2.10
OPM %,17.41%,7.20%,17.19%,-4.46%,-11.70%,-5.91%,15.96%,1.59%,-1.58%,-20.28%,-145.83%
Other Income +,0.07,0.01,0.06,0.00,0.05,0.03,0.35,0.06,0.06,0.06,0.30
Interest,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Depreciation,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04
Profit before tax,0.45,0.06,0.39,-0.11,-0.20,-0.15,0.84,0.06,-0.03,-0.28,-1.84
Tax %,11.11%,16.67%,38.46%,-127.27%,-5.00%,6.67%,11.90%,16.67%,-66.67%,-25.00%,-25.00%
Net Profit +,0.40,0.05,0.24,0.03,-0.19,-0.16,0.74,0.05,-0.01,-0.21,-1.38
EPS in Rs,0.39,0.05,0.24,0.03,-0.19,-0.16,0.73,0.05,-0.01,-0.21,-1.35
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025
Sales +,6.91,9.14,8.55
Expenses +,6.20,9.02,10.95
Operating Profit,0.71,0.12,-2.40
OPM %,10.27%,1.31%,-28.07%
Other Income +,0.14,0.42,0.48
Interest,0.02,0.02,0.02
Depreciation,0.16,0.15,0.16
Profit before tax,0.67,0.37,-2.10
Tax %,29.85%,-10.81%,-25.71%
Net Profit +,0.47,0.41,-1.56
EPS in Rs,0.46,0.40,-1.53
Dividend Payout %,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025
Equity Capital,10.20,10.20,10.20
Reserves,8.25,8.83,7.34
Borrowings +,0.25,0.20,0.14
Other Liabilities +,1.85,1.21,0.53
Total Liabilities,20.55,20.44,18.21
Fixed Assets +,2.00,1.94,1.79
CWIP,0.00,0.00,0.00
Investments,0.65,0.88,0.97
Other Assets +,17.90,17.62,15.45
Total Assets,20.55,20.44,18.21

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,0.77,0.36,-0.15
Cash from Investing Activity +,0.28,-0.81,-0.76
Cash from Financing Activity +,-1.80,-0.08,-0.08
Net Cash Flow,-0.75,-0.53,-0.99
Free Cash Flow,0.99,0.27,-0.15
CFO/OP,176%,250%,24%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025
Debtor Days,302.67,183.70,140.88
Inventory Days,121.67,52.14,38.92
Days Payable,407.44,55.04,23.61
Cash Conversion Cycle,16.89,180.80,156.19
Working Capital Days,538.26,370.59,300.54
ROCE %,,2.06%,-11.32%

--- SHAREHOLDING PATTERN ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%
Public +,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%,26.47%
No. of Shareholders,852,848,937,"1,995","2,336","2,659","3,956","4,509","4,670","4,731","4,594","4,471"

--- CAGR BOXES ---




