--- ABOUT ---
"Incorporated in 2015, ACME Solar Holdings is a renewable energy company in India with a portfolio of solar, wind, hybrid, and firm and dispatchable renewable energy (“FDRE”) projects. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"23,868",338,365,48.0

Book Value,Dividend Yield,ROCE,ROE
83.5,0.06,8.89,10.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,369,323,332,295,310,260,349,487,511,468,497,548
Expenses +,47,34,54,94,38,39,42,51,53,68,52,69
Operating Profit,322,290,277,201,272,221,307,436,458,400,444,479
OPM %,87%,90%,84%,68%,88%,85%,88%,90%,90%,86%,89%,87%
Other Income +,65,73,39,719,30,36,45,38,57,138,120,171
Interest,188,200,202,177,196,178,179,206,233,265,288,337
Depreciation,77,86,85,61,56,60,70,102,108,117,120,123
Profit before tax,122,77,29,681,50,18,103,166,174,156,156,190
Tax %,33%,50%,-55%,22%,97%,16%,-8%,27%,25%,26%,27%,27%
Net Profit +,82,39,44,532,1,15,112,122,131,115,114,138
EPS in Rs,7.88,3.70,4.26,50.97,0.03,0.29,1.85,2.04,2.16,1.90,1.88,2.30
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,777","1,692","1,488","1,295","1,319","1,405","2,023"
Expenses +,129,139,247,122,225,168,242
Operating Profit,"1,649","1,553","1,240","1,173","1,094","1,237","1,781"
OPM %,93%,92%,83%,91%,83%,88%,88%
Other Income +,82,218,404,106,891,147,486
Interest,"1,237","1,151",996,809,767,759,"1,123"
Depreciation,704,622,546,485,308,287,468
Profit before tax,-211,-1,102,-15,909,338,677
Tax %,-141%,"-1,470%",39%,-79%,23%,26%,26%
Net Profit +,86,15,62,-3,698,251,498
EPS in Rs,8.20,1.46,5.94,-0.30,66.81,4.17,8.23
Dividend Payout %,0%,0%,0%,0%,0%,5%,2%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,104,104,104,104,104,121,121
Reserves,"1,088","1,753","1,804","1,796","2,486","4,390","4,940"
Borrowings +,"10,593","9,732","7,915","9,014","8,536","10,976","19,896"
Other Liabilities +,"3,675",900,973,"1,113","2,080","2,654","3,583"
Total Liabilities,"15,460","12,489","10,797","12,027","13,207","18,140","28,540"
Fixed Assets +,"9,650","8,984","6,177","6,631","6,758","12,315","15,732"
CWIP,220,97,"1,273","2,147","2,828","1,362","4,358"
Investments,0,25,25,23,150,275,275
Other Assets +,"5,590","3,383","3,322","3,226","3,471","4,188","8,176"
Total Assets,"15,460","12,489","10,797","12,027","13,207","18,140","28,540"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,922,"1,746",955,"1,263","1,434","1,543","1,249"
Cash from Investing Activity +,"-1,426",458,-425,"-1,410","-1,888","-3,976","-7,317"
Cash from Financing Activity +,474,"-2,040",-556,215,216,"3,408","7,015"
Net Cash Flow,-31,164,-25,69,-238,975,947
Free Cash Flow,"-1,327","1,560",-496,495,"-1,368","-1,719","-4,071"
CFO/OP,57%,112%,79%,112%,132%,135%,75%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,138,156,203,197,116,99,60
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,138,156,203,197,116,99,60
Working Capital Days,-97,-79,81,111,72,-118,-432
ROCE %,,9%,7%,7%,8%,8%,9%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters +,83.41%,83.41%,83.41%,83.41%,83.29%,83.29%,71.48%
FIIs +,5.54%,4.74%,5.76%,5.57%,4.03%,3.60%,3.93%
DIIs +,6.97%,7.09%,6.61%,6.39%,6.87%,7.05%,19.07%
Public +,4.07%,4.75%,4.22%,4.63%,5.69%,5.96%,5.42%
Others +,0.00%,0.00%,0.00%,0.00%,0.11%,0.10%,0.08%
No. of Shareholders,"1,99,394","2,15,043","1,97,223","1,77,167","1,84,159","1,64,635","1,48,693"

--- CAGR BOXES ---




