--- ABOUT ---
"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,22,846","1,835","1,858",32.6

Book Value,Dividend Yield,ROCE,ROE
416,0.41,14.1,16.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"5,797","6,248","6,646","6,920","6,896","7,560","7,067","7,964","8,488","9,126","9,167","9,705","10,738"
Expenses +,"2,526","2,558","2,982","2,724","2,887","2,820","2,700","3,161","3,482","3,631","3,827","3,919","4,718"
Operating Profit,"3,271","3,689","3,664","4,196","4,009","4,739","4,367","4,802","5,006","5,495","5,340","5,786","6,020"
OPM %,56%,59%,55%,61%,58%,63%,62%,60%,59%,60%,58%,60%,56%
Other Income +,-885,384,351,507,-70,349,254,247,426,453,837,189,900
Interest,623,633,520,976,619,484,659,923,715,846,"1,223",980,"1,605"
Depreciation,846,950,974,985,979,"1,012","1,077","1,106","1,185","1,255","1,264","1,384","1,615"
Profit before tax,917,"2,491","2,521","2,741","2,341","3,593","2,885","3,020","3,532","3,848","3,690","3,611","3,700"
Tax %,-24%,15%,30%,19%,14%,14%,16%,17%,14%,14%,15%,16%,11%
Net Profit +,"1,139","2,119","1,762","2,208","2,015","3,107","2,413","2,518","3,023","3,311","3,120","3,043","3,308"
EPS in Rs,5.36,9.79,8.09,10.22,9.44,14.41,11.32,11.67,13.95,15.34,14.39,13.25,14.45
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"6,152","7,109","8,439","11,323","10,925","11,873","12,550","17,119","20,852","26,711","30,475","38,736"
Expenses +,"2,250","2,532","3,021","4,166","4,330","5,926","3,862","7,591","9,905","11,121","12,054","15,868"
Operating Profit,"3,902","4,577","5,418","7,157","6,596","5,947","8,688","9,528","10,947","15,589","18,421","22,868"
OPM %,63%,64%,64%,63%,60%,50%,69%,56%,52%,58%,60%,59%
Other Income +,686,730,"1,037",844,"1,289","1,928","1,967","1,832",327,671,"1,800","2,152"
Interest,"1,175","1,124","1,116","1,579","1,385","1,951","2,255","2,544","2,363","2,733","2,813","4,654"
Depreciation,912,"1,063","1,160","1,188","1,373","1,680","2,107","3,099","3,425","3,888","4,379","5,517"
Profit before tax,"2,501","3,119","4,179","5,234","5,126","4,244","6,292","5,717","5,487","9,639","13,030","14,849"
Tax %,7%,9%,7%,30%,21%,11%,20%,13%,2%,16%,15%,14%
Net Profit +,"2,324","2,856","3,902","3,690","4,045","3,785","5,049","4,953","5,391","8,104","11,061","12,782"
EPS in Rs,11.18,13.99,18.89,17.74,19.27,18.52,24.58,23.13,24.58,37.55,51.35,55.58
Dividend Payout %,10%,8%,7%,11%,1%,17%,20%,22%,20%,16%,14%,13%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,414,414,414,414,414,406,406,422,432,432,432,461
Reserves,"10,351","13,091","17,112","20,489","23,958","25,051","30,035","41,399","44,957","52,346","61,837","95,498"
