--- ABOUT ---
"ADF specializes in the production and export of a variety of traditional Indian food products, including pickles, chutneys, pastes, sauces, ready-to-eat meals, frozen, and canned foods. Its market spans Europe, the US, Australia, and the Gulf. Additionally, ADF Foods UK Limited and ADF Holding USA Limited operate as agents distributing FMCG products in the USA and UK respectively."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,371",307,314,35.6

Book Value,Dividend Yield,ROCE,ROE
52.1,0.39,22.8,17.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,123,112,125,130,154,122,161,147,159,133,163,191,197
Expenses +,97,90,103,103,119,102,134,121,134,109,127,154,162
Operating Profit,26,22,22,27,34,20,28,26,25,24,36,37,34
OPM %,21%,20%,17%,21%,22%,16%,17%,18%,16%,18%,22%,19%,17%
Other Income +,1,2,3,4,2,5,4,4,2,3,6,-4,9
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,4,4,4,4,4,4,5,5,5,5,5,5,6
Profit before tax,23,20,21,26,31,20,26,25,21,21,36,27,36
Tax %,30%,27%,27%,27%,19%,26%,25%,25%,21%,28%,26%,17%,29%
Net Profit +,16,15,15,19,25,14,20,19,16,15,26,22,26
EPS in Rs,1.49,1.37,1.37,1.76,2.35,1.37,1.79,1.71,1.50,1.39,2.40,2.04,2.36
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,204,210,201,201,231,285,370,421,450,520,590,683
Expenses +,188,190,179,182,202,232,302,354,369,415,491,553
Operating Profit,16,20,22,19,29,53,68,67,81,105,98,131
OPM %,8%,9%,11%,10%,13%,19%,18%,16%,18%,20%,17%,19%
Other Income +,9,4,6,18,14,9,6,9,11,11,14,13
Interest,1,1,1,1,1,1,1,2,3,2,3,3
Depreciation,11,12,5,4,4,6,6,9,14,16,18,21
Profit before tax,12,11,23,32,38,55,67,65,75,98,92,120
Tax %,24%,39%,36%,44%,33%,22%,25%,26%,26%,25%,24%,25%
Net Profit +,9,7,15,18,25,43,50,49,56,74,69,90
EPS in Rs,0.80,0.60,1.38,1.70,2.53,4.27,5.00,4.59,5.10,6.85,6.30,8.18
Dividend Payout %,38%,0%,37%,0%,0%,14%,12%,18%,20%,77%,19%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,22,22,20,20,20,21,22,22,22,22
Reserves,131,136,145,153,151,184,253,322,397,419,470,550
Borrowings +,18,6,5,1,0,23,1,70,55,56,59,12
Other Liabilities +,24,21,19,30,23,37,50,55,46,53,66,170
Total Liabilities,194,185,191,205,195,265,324,468,520,550,618,755
Fixed Assets +,93,83,81,80,69,77,77,160,175,182,186,258
CWIP,2,0,1,0,1,2,0,0,7,5,19,27
Investments,8,8,8,0,0,18,17,39,80,77,61,15
Other Assets +,92,94,100,125,125,167,229,268,259,285,353,455
Total Assets,194,185,191,205,195,265,324,468,520,550,618,755

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,6,15,17,24,20,31,36,34,51,70,37,58
Cash from Investing Activity +,18,1,-4,4,-1,-39,-9,-53,-60,13,-39,-11
Cash from Financing Activity +,-21,-18,-12,-11,-32,14,-7,33,-5,-63,-21,-24
Net Cash Flow,3,-1,1,17,-14,6,20,14,-14,20,-23,22
Free Cash Flow,-7,16,14,19,15,21,32,-0,24,55,-4,-25
CFO/OP,36%,121%,117%,168%,114%,83%,71%,72%,88%,89%,63%,70%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58,63,62,78,69,68,64,61,76,76,73,77
Inventory Days,98,85,104,94,131,158,143,156,132,111,165,160
Days Payable,37,37,44,55,52,62,68,65,47,63,83,93
Cash Conversion Cycle,120,112,122,117,148,165,139,153,162,124,155,143
Working Capital Days,66,86,98,102,117,82,111,110,116,108,123,136
ROCE %,6%,7%,14%,19%,23%,28%,27%,19%,17%,20%,17%,23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,36.50%,36.29%,36.28%,36.42%,36.33%,36.17%,36.14%,36.14%,36.14%,36.14%,36.14%,36.14%
FIIs +,9.46%,9.57%,9.57%,9.55%,9.51%,9.55%,10.06%,9.84%,11.29%,11.30%,11.31%,11.55%
DIIs +,7.91%,7.91%,8.01%,8.64%,8.65%,8.81%,23.65%,23.65%,22.71%,23.10%,23.11%,23.21%
Public +,46.12%,46.24%,46.15%,45.39%,45.50%,45.48%,30.16%,30.37%,29.87%,29.47%,29.46%,29.12%
No. of Shareholders,"26,151","31,526","39,812","40,411","38,838","44,142","41,996","42,769","41,436","42,054","41,581","40,319"

--- CAGR BOXES ---




