--- ABOUT ---
"Incorporated in 1990, Adroit Infotech Ltd is a specialist SAP Consulting company. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
49.7,9.18,12.8 / 7.55,15.1

Book Value,Dividend Yield,ROCE,ROE
14.3,0.00,6.54,4.34

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,4.54,5.92,4.14,7.08,7.71,6.56,7.07,7.68,10.40,9.83,11.44,14.33,13.07
Expenses +,6.26,5.06,4.93,4.68,5.50,5.93,6.24,6.73,14.45,8.49,10.18,12.26,12.62
Operating Profit,-1.72,0.86,-0.79,2.40,2.21,0.63,0.83,0.95,-4.05,1.34,1.26,2.07,0.45
OPM %,-37.89%,14.53%,-19.08%,33.90%,28.66%,9.60%,11.74%,12.37%,-38.94%,13.63%,11.01%,14.45%,3.44%
Other Income +,0.08,0.05,0.01,0.01,0.90,0.36,0.29,0.49,4.76,0.64,0.67,0.75,1.87
Interest,0.17,0.03,0.06,0.03,0.12,0.09,0.18,0.23,0.31,0.36,0.41,0.42,0.47
Depreciation,0.59,0.40,0.39,0.40,0.40,0.36,0.43,0.49,0.51,0.46,0.47,0.49,0.54
Profit before tax,-2.40,0.48,-1.23,1.98,2.59,0.54,0.51,0.72,-0.11,1.16,1.05,1.91,1.31
Tax %,-22.50%,10.42%,-41.46%,20.71%,29.34%,11.11%,11.76%,25.00%,618.18%,27.59%,25.71%,20.42%,48.85%
Net Profit +,-1.86,0.43,-0.72,1.57,1.83,0.49,0.45,0.54,-0.79,0.84,0.77,1.52,0.68
EPS in Rs,-0.37,0.08,-0.13,0.29,0.34,0.20,0.18,0.22,-0.15,0.16,0.14,0.28,0.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,19.10,18.23,52.95,37.95,15.71,8.02,6.18,6.37,22.45,24.86,31.71,48.66
Expenses +,16.83,16.31,33.51,26.21,16.26,7.33,4.33,4.49,16.93,20.11,33.29,43.54
Operating Profit,2.27,1.92,19.44,11.74,-0.55,0.69,1.85,1.88,5.52,4.75,-1.58,5.12
OPM %,11.88%,10.53%,36.71%,30.94%,-3.50%,8.60%,29.94%,29.51%,24.59%,19.11%,-4.98%,10.52%
Other Income +,-0.43,0.60,0.08,0.10,0.18,-31.33,-0.53,-0.01,0.27,0.98,5.91,3.21
Interest,0.09,0.18,0.35,0.20,0.18,0.25,0.20,0.18,0.39,0.32,0.88,1.66
Depreciation,1.18,0.36,0.21,0.42,0.54,0.33,1.09,1.08,1.51,1.60,1.78,1.96
Profit before tax,0.57,1.98,18.96,11.22,-1.09,-31.22,0.03,0.61,3.89,3.81,1.67,4.71
Tax %,75.44%,-0.51%,17.72%,6.68%,-5.50%,-0.10%,100.00%,-1.64%,2.57%,21.26%,58.08%,30.15%
Net Profit +,0.13,1.99,15.60,10.48,-1.03,-31.19,0.00,0.62,3.78,3.00,0.69,3.30
EPS in Rs,0.03,0.46,3.45,2.31,-0.23,-6.82,0.00,0.14,0.75,0.55,0.13,0.61
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17.47,17.47,18.07,18.27,18.27,18.27,18.27,18.27,20.27,29.79,54.18,54.18
Reserves,-0.62,2.80,20.06,26.35,19.17,-12.03,-12.03,-11.34,-0.41,5.56,20.50,23.38
Borrowings +,4.41,1.98,1.03,1.30,3.73,5.67,1.29,6.60,3.46,3.45,16.22,26.46
