--- ABOUT ---
Advanced Enzyme Technologies Limited is engaged in the business of manufacturing and sales of enzymes. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,185",374,420,26.1

Book Value,Dividend Yield,ROCE,ROE
146,1.39,13.9,10.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,139,147,158,161,158,155,146,169,167,186,185,172,203
Expenses +,95,103,107,107,102,103,104,114,122,129,124,123,140
Operating Profit,44,44,51,54,55,51,42,55,46,56,60,49,63
OPM %,32%,30%,32%,33%,35%,33%,29%,33%,27%,30%,33%,29%,31%
Other Income +,7,7,6,14,-6,7,10,8,9,9,10,20,7
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,8,9,9,9,9,9,9,9,10,10,10,10,10
Profit before tax,42,41,48,59,40,49,42,53,43,55,60,58,60
Tax %,24%,29%,27%,28%,25%,28%,21%,27%,38%,26%,25%,26%,24%
Net Profit +,32,29,35,42,30,35,33,39,27,40,45,43,45
EPS in Rs,2.87,2.58,3.08,3.74,2.53,3.05,2.94,3.37,2.37,3.57,3.87,3.80,3.84
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,222,293,329,391,420,444,502,529,541,624,637,746
Expenses +,131,155,177,226,236,241,269,327,382,418,441,517
Operating Profit,91,138,152,165,184,203,232,203,158,206,196,229
OPM %,41%,47%,46%,42%,44%,46%,46%,38%,29%,33%,31%,31%
Other Income +,1,-3,3,1,5,6,9,6,21,21,33,46
Interest,9,8,4,9,5,4,3,3,3,4,5,3
Depreciation,9,9,13,18,21,26,28,35,35,35,37,40
Profit before tax,74,118,137,139,162,179,210,171,140,188,187,233
Tax %,31%,35%,32%,33%,28%,26%,28%,28%,26%,27%,28%,25%
Net Profit +,51,77,93,94,116,133,151,124,104,137,134,174
EPS in Rs,4.60,6.97,8.20,8.07,9.95,11.58,13.09,10.70,9.45,11.92,11.72,15.07
Dividend Payout %,4%,3%,5%,6%,6%,5%,7%,9%,11%,43%,44%,9%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,22,22,22,22,22,22,22,22,22,22
Reserves,188,256,442,537,657,817,948,"1,066","1,213","1,302","1,398","1,610"
Borrowings +,115,101,54,67,35,28,23,35,34,47,39,32
Other Liabilities +,92,71,65,102,91,104,153,137,142,150,151,175
Total Liabilities,417,450,583,727,805,971,"1,146","1,260","1,411","1,521","1,611","1,839"
Fixed Assets +,287,285,421,491,495,563,601,619,649,650,679,692
CWIP,5,7,8,11,10,10,10,15,22,41,22,51
Investments,0,0,0,0,111,124,121,102,360,403,480,584
Other Assets +,125,158,153,226,188,275,413,524,380,427,430,511
Total Assets,417,450,583,727,805,971,"1,146","1,260","1,411","1,521","1,611","1,839"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,54,93,107,116,129,141,163,122,140,141,142,157
Cash from Investing Activity +,-15,-10,-60,-60,-124,-43,-27,2,-286,-65,-89,-74
Cash from Financing Activity +,-36,-63,-65,-2,-43,-39,-26,-48,-26,-59,-73,-70
Net Cash Flow,2,21,-18,54,-38,60,109,75,-171,17,-20,12
Free Cash Flow,42,88,97,105,116,90,143,95,102,94,108,105
CFO/OP,88%,88%,105%,97%,70%,69%,94%,87%,112%,93%,103%,97%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,61,52,55,55,51,61,63,61,68,58,66,71
Inventory Days,403,358,352,339,363,361,346,402,343,375,378,335
Days Payable,89,68,57,78,46,43,56,60,67,40,41,76
Cash Conversion Cycle,374,342,351,315,369,379,353,404,344,393,403,331
Working Capital Days,-43,3,76,47,72,90,94,116,109,102,112,402
ROCE %,25%,36%,31%,25%,24%,22%,22%,16%,12%,15%,13%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,46.52%,45.92%,43.62%,43.50%,43.02%,42.95%,42.92%,43.08%,43.08%,43.08%,43.04%,43.26%
FIIs +,21.89%,22.27%,22.54%,23.01%,12.03%,12.63%,12.57%,11.90%,23.45%,25.41%,25.85%,25.50%
DIIs +,7.58%,6.49%,6.98%,7.56%,8.08%,8.02%,8.17%,8.19%,8.45%,6.41%,5.51%,5.41%
Public +,24.02%,25.34%,26.88%,25.95%,36.87%,36.40%,36.31%,36.82%,25.00%,25.09%,25.62%,25.85%
No. of Shareholders,"75,052","72,642","73,034","68,640","65,222","66,758","67,351","65,322","67,589","69,637","68,051","66,193"

--- CAGR BOXES ---




