--- ABOUT ---
"Incorporated in 2009, Artemis Electricals and Projects Ltd maufectures LED lights and deals in work contracts [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
411,16.4,28.0,47.2

Book Value,Dividend Yield,ROCE,ROE
3.77,0.03,12.9,9.65

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,30.98,11.36,13.57,13.97,2.46,12.38,4.02,18.45,37.49,19.75,15.80,4.26,40.75
Expenses +,24.72,9.60,11.08,11.50,1.45,11.58,2.66,14.51,32.43,17.54,11.08,2.96,36.53
Operating Profit,6.26,1.76,2.49,2.47,1.01,0.80,1.36,3.94,5.06,2.21,4.72,1.30,4.22
OPM %,20.21%,15.49%,18.35%,17.68%,41.06%,6.46%,33.83%,21.36%,13.50%,11.19%,29.87%,30.52%,10.36%
Other Income +,0.00,0.00,0.00,0.00,0.12,0.11,0.08,0.00,0.39,0.00,0.34,0.05,0.27
Interest,-5.73,0.18,0.42,0.30,0.10,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04
Depreciation,0.48,0.61,0.35,0.35,0.34,0.35,0.35,0.35,0.29,0.31,0.30,0.30,0.30
Profit before tax,11.51,0.97,1.72,1.82,0.69,0.48,1.02,3.52,5.10,1.84,4.71,1.00,4.15
Tax %,22.85%,36.08%,23.84%,25.27%,14.49%,29.17%,26.47%,25.57%,24.51%,28.80%,24.84%,19.00%,26.27%
Net Profit +,8.88,0.63,1.32,1.37,0.58,0.35,0.75,2.62,3.85,1.31,3.54,0.80,3.06
EPS in Rs,0.35,0.03,0.05,0.05,0.02,0.01,0.03,0.10,0.15,0.05,0.14,0.03,0.12
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,34.33,58.22,41.36,72.35,80.56
Expenses +,41.48,47.18,33.63,61.19,68.11
Operating Profit,-7.15,11.04,7.73,11.16,12.45
OPM %,-20.83%,18.96%,18.69%,15.43%,15.45%
Other Income +,0.00,0.00,0.12,0.58,0.67
Interest,5.89,1.70,0.99,0.28,0.21
Depreciation,2.27,1.92,1.64,1.34,1.20
Profit before tax,-15.31,7.42,5.22,10.12,11.71
Tax %,-21.49%,15.50%,25.10%,25.20%,25.62%
Net Profit +,-12.02,6.28,3.90,7.56,8.71
EPS in Rs,-0.48,0.25,0.16,0.30,0.35
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25.10,25.10,25.10,25.10,25.10
Reserves,44.23,50.51,53.40,60.86,69.55
Borrowings +,30.21,27.91,12.24,2.47,1.71
Other Liabilities +,27.94,24.11,19.32,33.29,45.90
Total Liabilities,127.48,127.63,110.06,121.72,142.26
Fixed Assets +,18.60,17.32,15.68,14.34,13.14
CWIP,14.16,21.18,25.84,55.55,56.54
Investments,0.00,0.00,0.00,0.00,0.00
Other Assets +,94.72,89.13,68.54,51.83,72.58
Total Assets,127.48,127.63,110.06,121.72,142.26

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1.63,11.67,21.24,41.19,15.02
Cash from Investing Activity +,-17.36,-7.66,-4.55,-29.73,-0.98
Cash from Financing Activity +,15.73,-4.00,-16.66,-10.17,-0.97
Net Cash Flow,0.00,0.00,0.03,1.29,13.06
Free Cash Flow,-12.53,4.55,16.59,11.48,14.02
CFO/OP,-34%,134%,269%,384%,133%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,571.26,198.80,446.90,121.33,179.28
Inventory Days,112.70,18.92,8.77,14.51,17.40
Days Payable,347.18,561.09,225.89,820.29,"1,323.21"
Cash Conversion Cycle,336.78,-343.37,229.77,-684.45,"-1,126.53"
Working Capital Days,400.62,-65.51,241.89,76.58,45.72
ROCE %,,8.98%,6.39%,11.61%,12.90%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.22%,72.41%,72.45%,72.45%,72.45%,72.45%,72.45%,72.45%,72.45%,72.45%,72.45%,72.45%
FIIs +,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,27.51%,27.59%,27.56%,27.54%,27.55%,27.55%,27.55%,27.55%,27.55%,27.55%,27.54%,27.54%
No. of Shareholders,"2,313","7,751","17,012","20,189","19,708","19,789","20,876","21,012","20,739","19,838","19,231","18,806"

--- CAGR BOXES ---




