--- ABOUT ---
"Founded in 2000, Aequs focuses on high-precision, high-complexity components and assemblies for global OEMs and Tier-1 suppliers, especially in civil aviation. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"14,898",222,225,

Book Value,Dividend Yield,ROCE,ROE
22.2,0.00,1.55,-9.99

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,216,249,282,326,367
Expenses +,209,225,253,297,363
Operating Profit,7,25,29,29,4
OPM %,3%,10%,10%,9%,1%
Other Income +,3,19,18,-6,44
Interest,18,13,26,21,36
Depreciation,26,24,33,35,46
Profit before tax,-34,6,-12,-33,-33
Tax %,17%,-54%,72%,29%,63%
Net Profit +,-40,9,-21,-43,-54
EPS in Rs,-0.94,0.15,-0.34,-0.64,-0.80
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,812,965,925,"1,230"
Expenses +,773,836,845,"1,141"
Operating Profit,40,129,79,89
OPM %,5%,13%,9%,7%
Other Income +,25,44,-6,69
Interest,69,69,64,92
Depreciation,100,108,103,138
Profit before tax,-103,-4,-94,-71
Tax %,6%,233%,9%,58%
Net Profit +,-110,-14,-102,-113
EPS in Rs,-2.33,-0.26,-1.76,-1.69
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,425,425,582,671
Reserves,-146,-15,135,816
Borrowings +,664,"1,106",785,701
Other Liabilities +,410,337,401,503
Total Liabilities,"1,352","1,852","1,903","2,690"
Fixed Assets +,686,660,525,"1,070"
CWIP,0,175,395,79
Investments,58,92,77,106
Other Assets +,609,924,906,"1,436"
Total Assets,"1,352","1,852","1,903","2,690"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,10,-19,26,-99
Cash from Investing Activity +,-95,-346,-70,-371
Cash from Financing Activity +,54,393,25,704
Net Cash Flow,-31,28,-18,235
Free Cash Flow,-76,-175,-239,-440
CFO/OP,27%,-12%,48%,-83%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,48,52,62,78
Inventory Days,313,336,420,419
Days Payable,215,177,215,238
Cash Conversion Cycle,146,210,267,259
Working Capital Days,-45,10,12,37
ROCE %,,4%,1%,2%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,59.08%,59.08%
FIIs +,4.05%,3.90%
DIIs +,11.63%,11.39%
Public +,22.88%,23.29%
Others +,2.36%,2.36%
No. of Shareholders,"46,797","40,774"

--- CAGR BOXES ---




