--- ABOUT ---
"Incorporated in 1979 by Mr Yogesh Kothari, Alkyl Amines is a leading manufacturer of aliphatic amines in India. Aliphatic amines are products derived from Ammonia (NH3) by displacement of H2 in the Ammonia molecule by other radicals (R) such as Methyl, Ethyl and Propyl."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,439","1,845","2,449",49.8

Book Value,Dividend Yield,ROCE,ROE
105,0.54,41.3,41.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales +,178,218,213,237,266,235,257,235
Expenses +,141,169,174,199,207,177,184,167
Operating Profit,37,49,39,38,59,58,73,68
OPM %,21%,23%,18%,16%,22%,25%,28%,29%
Other Income +,2,1,3,3,3,2,18,3
Interest,4,4,4,3,4,3,2,2
Depreciation,6,6,6,6,6,7,7,7
Profit before tax,29,41,32,32,52,51,82,61
Tax %,34%,35%,31%,40%,30%,-9%,26%,19%
Net Profit +,19,27,22,19,37,55,60,49
EPS in Rs,3.78,5.23,4.36,3.71,7.19,10.77,11.85,9.65
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,197,214,236,288,366,446,476,484,501,616,846,993
Expenses +,175,183,205,245,308,361,390,393,405,499,682,736
Operating Profit,21,32,31,42,58,85,87,91,95,118,164,257
OPM %,11%,15%,13%,15%,16%,19%,18%,19%,19%,19%,19%,26%
Other Income +,6,6,2,3,1,2,2,3,3,4,6,26
Interest,12,12,10,12,13,12,10,8,8,8,15,10
Depreciation,7,9,9,9,10,10,11,13,14,16,23,27
Profit before tax,8,18,14,24,36,65,67,73,75,97,133,246
Tax %,33%,28%,24%,27%,33%,33%,32%,31%,31%,32%,35%,18%
Net Profit +,6,13,14,18,24,43,45,50,52,66,86,201
EPS in Rs,1.10,2.51,2.74,3.45,4.75,8.48,8.85,9.81,10.16,12.94,16.88,39.47
Dividend Payout %,36%,24%,22%,23%,21%,19%,18%,41%,20%,22%,19%,20%

--- BALANCE SHEET ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,56,64,75,88,106,140,174,199,246,299,369,526
Borrowings +,133,114,120,123,146,151,135,111,120,181,165,87
Other Liabilities +,54,51,52,60,78,98,93,95,147,159,218,160
Total Liabilities,254,238,258,282,341,398,412,416,522,649,763,783
Fixed Assets +,103,98,98,122,126,155,151,187,220,355,376,423
CWIP,7,14,23,6,9,3,31,16,35,18,43,45
Investments,4,6,10,10,10,10,10,10,12,13,16,0
Other Assets +,139,121,126,144,195,230,220,203,256,262,328,315
Total Assets,254,238,258,282,341,398,412,416,522,649,763,783

--- CASH FLOW ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Cash from Operating Activity +,22,43,24,36,22,47,61,101,63,102,144,188
Cash from Investing Activity +,-22,-10,-17,-19,-27,-27,-31,-35,-65,-132,-67,-41
Cash from Financing Activity +,3,-35,-9,-13,5,-13,-36,-68,-2,32,-60,-135
Net Cash Flow,3,-2,-2,4,0,7,-6,-2,-3,2,17,12
Free Cash Flow,-1,33,6,21,-2,21,20,66,-1,-33,75,111
CFO/OP,122%,154%,86%,101%,54%,55%,95%,128%,88%,103%,109%,96%

--- RATIOS ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Debtor Days,70,66,73,77,76,73,76,68,71,73,66,60
Inventory Days,261,180,166,124,132,126,105,92,165,99,88,67
Days Payable,1,0,70,63,69,75,58,63,120,78,104,57
Cash Conversion Cycle,329,246,170,137,139,124,123,96,116,94,51,71
Working Capital Days,182,142,15,10,20,96,93,87,84,76,56,54
ROCE %,11%,15%,12%,17%,20%,28%,25%,25%,24%,25%,28%,41%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.96%,71.96%,71.95%,71.95%,71.97%,71.97%,72.01%,72.04%,72.03%,72.03%,72.03%,72.05%
FIIs +,2.86%,2.92%,2.94%,3.04%,3.10%,3.20%,3.23%,3.23%,3.26%,3.44%,3.45%,3.45%
DIIs +,1.16%,1.13%,1.07%,1.11%,1.08%,1.53%,1.77%,2.18%,2.60%,2.88%,3.01%,3.01%
Public +,24.01%,24.00%,24.05%,23.91%,23.85%,23.31%,23.00%,22.54%,22.11%,21.66%,21.52%,21.49%
No. of Shareholders,"2,01,859","1,99,781","1,97,171","1,92,885","1,87,077","1,79,008","1,74,927","1,68,960","1,61,021","1,53,451","1,49,324","1,46,028"

--- CAGR BOXES ---




