--- ABOUT ---
"Incorporated in 1971, All Time Plastics Ltd manufactures and exports plastic houseware products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,574",240,335,40.8

Book Value,Dividend Yield,ROCE,ROE
93.6,0.00,11.6,8.96

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,130.06,131.04,148.82,148.25,157.98,147.40,159.40,145.75
Expenses +,105.13,105.31,122.76,123.94,129.23,131.25,135.87,124.24
Operating Profit,24.93,25.73,26.06,24.31,28.75,16.15,23.53,21.51
OPM %,19.17%,19.64%,17.51%,16.40%,18.20%,10.96%,14.76%,14.76%
Other Income +,0.48,0.73,0.04,0.14,0.61,1.62,-1.22,1.39
Interest,3.53,2.68,3.94,4.54,5.54,5.00,2.37,2.39
Depreciation,5.64,5.56,5.67,6.64,6.60,7.17,7.47,7.80
Profit before tax,16.24,18.22,16.49,13.27,17.22,5.60,12.47,12.71
Tax %,24.94%,26.34%,27.17%,26.98%,25.55%,27.14%,26.46%,26.59%
Net Profit +,12.19,13.42,12.01,9.68,12.81,4.09,9.17,9.32
EPS in Rs,23.22,2.56,2.29,1.84,2.32,0.62,1.40,1.43
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,558,611
Expenses +,457,521
Operating Profit,101,90
OPM %,18%,15%
Other Income +,1,2
Interest,15,15
Depreciation,24,29
Profit before tax,64,48
Tax %,26%,26%
Net Profit +,47,35
EPS in Rs,9.01,5.41
Dividend Payout %,-0%,-0%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,10,13
Reserves,238,600
Borrowings +,223,86
Other Liabilities +,91,84
Total Liabilities,562,784
Fixed Assets +,338,410
CWIP,22,42
Investments,-0,20
Other Assets +,202,313
Total Assets,562,784

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,52,86
Cash from Investing Activity +,-113,-181
Cash from Financing Activity +,59,176
Net Cash Flow,-2,81
Free Cash Flow,-62,-46
CFO/OP,68%,108%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,57,45
Inventory Days,80,67
Days Payable,41,30
Cash Conversion Cycle,96,82
Working Capital Days,-3,70
ROCE %,,12%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.14%,70.14%,70.15%
FIIs +,3.36%,3.21%,2.93%
DIIs +,10.95%,10.16%,10.29%
Public +,15.55%,16.49%,16.63%
No. of Shareholders,"40,361","31,378","29,699"

--- CAGR BOXES ---




