--- ABOUT ---
"Incorporated in 1994, Almondz Global Securities Ltd provides financial advisory and consultancy services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
233,13.4,27.2,8.13

Book Value,Dividend Yield,ROCE,ROE
15.5,0.00,11.7,11.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,26.63,17.53,23.22,30.13,45.41,29.65,34.01,33.23,52.75,31.63,33.73,51.95,55.79
Expenses +,23.72,14.62,19.13,26.38,40.85,25.95,30.15,29.25,47.66,25.96,28.59,40.80,52.88
Operating Profit,2.91,2.91,4.09,3.75,4.56,3.70,3.86,3.98,5.09,5.67,5.14,11.15,2.91
OPM %,10.93%,16.60%,17.61%,12.45%,10.04%,12.48%,11.35%,11.98%,9.65%,17.93%,15.24%,21.46%,5.22%
Other Income +,3.87,3.13,2.20,18.13,4.26,4.73,1.08,0.86,4.34,4.99,1.79,6.09,5.36
Interest,1.44,1.03,0.99,0.97,0.68,0.70,0.82,0.74,0.83,1.20,1.11,1.04,1.01
Depreciation,0.60,0.74,0.57,0.67,1.48,1.00,1.06,1.15,1.06,1.39,1.40,1.52,1.38
Profit before tax,4.74,4.27,4.73,20.24,6.66,6.73,3.06,2.95,7.54,8.07,4.42,14.68,5.88
Tax %,14.98%,11.94%,5.29%,1.98%,9.91%,9.51%,13.40%,17.63%,18.44%,14.50%,12.44%,13.01%,11.90%
Net Profit +,4.03,3.76,4.48,19.84,6.00,6.09,2.65,2.43,6.15,6.90,3.87,12.77,5.18
EPS in Rs,0.26,0.24,0.28,1.23,0.37,0.37,0.16,0.14,0.36,0.40,0.21,0.74,0.30
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,65,51,52,73,75,61,63,69,76,117,150,174
Expenses +,47,47,49,67,69,58,54,59,67,101,133,148
Operating Profit,17,4,3,6,5,3,9,10,9,16,17,25
OPM %,27%,8%,5%,8%,7%,4%,14%,14%,12%,14%,11%,15%
Other Income +,2,3,3,4,7,6,17,18,15,27,11,18
Interest,6,5,4,4,3,3,3,5,5,4,3,4
Depreciation,2,2,2,1,2,3,3,2,2,3,4,6
Profit before tax,11,0,-0,5,7,3,20,20,18,36,20,33
Tax %,32%,181%,21%,4%,11%,-73%,8%,8%,11%,5%,15%,13%
Net Profit +,8,-0,0,6,6,5,18,19,16,34,17,29
EPS in Rs,0.49,-0.02,0.02,0.41,0.41,0.29,1.19,1.19,1.02,2.12,1.01,1.65
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,16,16,16,17,17
Reserves,110,110,110,116,123,128,148,168,195,204,224,252
Borrowings +,71,33,25,26,20,22,18,24,21,23,53,49
Other Liabilities +,29,21,19,30,31,23,31,44,40,74,57,65
Total Liabilities,225,179,169,188,189,188,214,252,271,317,351,383
Fixed Assets +,37,36,37,39,43,47,43,43,45,49,51,47
CWIP,0,0,2,0,0,0,0,4,0,2,1,0
Investments,19,22,20,24,26,26,46,61,69,93,112,166
Other Assets +,170,121,111,125,120,115,124,143,157,173,188,170
Total Assets,225,179,169,188,189,188,214,252,271,317,351,383

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-18,32,12,26,11,15,1,10,-14,35,-9,-4
Cash from Investing Activity +,-8,4,-1,-1,-4,1,-2,-4,2,-33,-13,-33
Cash from Financing Activity +,31,-42,-13,-18,-13,-9,-3,1,7,-6,33,22
Net Cash Flow,5,-5,-1,8,-6,7,-4,7,-5,-4,10,-16
Free Cash Flow,-19,31,9,25,9,14,0,5,-16,29,-14,-6
CFO/OP,-114%,800%,475%,446%,281%,650%,6%,120%,-143%,219%,-26%,7%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,142,156,154,109,172,147,160,191,154,189,127,114
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,142,156,154,109,172,147,160,191,154,189,127,114
Working Capital Days,346,369,349,240,158,183,151,169,278,260,255,183
ROCE %,10%,3%,3%,5%,7%,4%,13%,13%,10%,10%,9%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.66%,58.19%,58.19%,58.19%,56.36%,50.60%,50.77%,51.29%,51.01%,51.18%,51.18%,51.18%
FIIs +,12.70%,2.26%,2.54%,1.59%,1.99%,2.38%,2.13%,1.27%,0.58%,0.29%,0.06%,0.02%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%
Public +,27.63%,39.54%,39.26%,40.19%,41.66%,47.00%,47.10%,47.43%,48.40%,48.52%,48.76%,48.67%
No. of Shareholders,"6,212","6,247","6,451","7,501","6,742","12,483","13,538","13,712","14,385","14,894","15,452","15,484"

--- CAGR BOXES ---




