--- ABOUT ---
"Amber Enterprises India Ltd incorporated in 1956, has a 23.6% share in the total Room Air Conditioner market [1] and is a prominent solution provider for the Air conditioner OEM/ODM Industry in India. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"27,823","7,889","8,974",141

Book Value,Dividend Yield,ROCE,ROE
"1,242",0.00,10.2,5.95

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,003","1,702",927,"1,295","2,805","2,401","1,685","2,133","3,754","3,449","1,647","2,943","4,148"
Expenses +,"2,799","1,570",868,"1,216","2,586","2,211","1,574","1,984","3,472","3,199","1,563","2,705","3,856"
Operating Profit,204,132,60,78,220,191,111,150,282,250,84,237,291
OPM %,7%,8%,6%,6%,8%,8%,7%,7%,8%,7%,5%,8%,7%
Other Income +,19,19,13,5,18,21,18,16,19,30,16,-48,84
Interest,37,45,37,37,48,52,49,54,55,63,77,79,65
Depreciation,39,43,45,47,51,55,57,59,58,62,70,91,99
Profit before tax,146,63,-9,0,138,104,24,53,189,154,-48,19,211
Tax %,26%,26%,-40%,270%,28%,28%,11%,30%,37%,31%,-33%,150%,23%
Net Profit +,108,47,-6,-1,99,75,21,37,118,106,-32,-9,162
EPS in Rs,30.86,13.55,-2.06,-0.14,28.10,21.48,5.69,10.61,34.32,30.66,-9.35,-7.74,38.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,230","1,089","1,652","2,118","2,752","3,963","3,031","4,206","6,927","6,729","9,973","12,186"
Expenses +,"1,128",975,"1,521","1,934","2,538","3,650","2,804","3,928","6,505","6,238","9,237","11,324"
Operating Profit,102,114,131,184,214,313,226,278,422,491,736,862
OPM %,8%,10%,8%,9%,8%,8%,7%,7%,6%,7%,7%,7%
Other Income +,7,3,9,9,9,6,28,30,49,54,71,81
Interest,43,53,64,54,25,43,42,46,112,167,209,284
Depreciation,26,31,40,49,62,85,92,108,139,187,228,323
Profit before tax,40,33,36,89,136,191,120,154,220,191,370,336
Tax %,29%,26%,38%,30%,30%,14%,31%,28%,25%,27%,32%,33%
Net Profit +,29,24,22,62,95,164,83,111,164,139,251,226
EPS in Rs,13.26,11.10,9.30,19.81,29.78,50.37,24.22,32.41,46.66,39.44,72.01,50.48
Dividend Payout %,0%,0%,23%,0%,0%,6%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,24,31,31,31,34,34,34,34,34,35
Reserves,217,241,339,861,955,"1,097","1,570","1,701","1,875","2,031","2,252","4,337"
Borrowings +,366,358,395,114,251,383,399,"1,069","1,455","1,539","2,059","2,702"
Other Liabilities +,401,494,493,721,"1,133","1,388","1,582","2,107","2,876","2,987","4,082","6,693"
Total Liabilities,"1,006","1,115","1,251","1,728","2,371","2,899","3,585","4,910","6,240","6,590","8,426","13,767"
Fixed Assets +,418,500,557,710,809,"1,106","1,144","1,505","2,222","2,825","3,040","5,879"
CWIP,52,36,21,30,34,12,43,128,50,91,198,500
Investments,0,0,0,6,0,0,108,225,193,217,236,38
Other Assets +,536,579,672,983,"1,528","1,781","2,289","3,051","3,775","3,457","4,953","7,350"
Total Assets,"1,006","1,115","1,251","1,728","2,371","2,899","3,585","4,910","6,240","6,590","8,426","13,767"

--- CASH FLOW ---
