--- ABOUT ---
"Incorporated in 1995, Ambica Agarbathies & Aroma Industries Ltd is in the business of production and sale of various types of incense sticks. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
41.7,24.3,31.0,32.8

Book Value,Dividend Yield,ROCE,ROE
21.0,0.00,,3.52

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2016
Sales +,29.88
Expenses +,24.71
Operating Profit,5.17
OPM %,17.30%
Other Income +,-2.64
Interest,2.17
Depreciation,0.03
Profit before tax,0.33
Tax %,203.03%
Net Profit +,-0.33
EPS in Rs,-0.19
Raw PDF,

--- ANNUAL RESULTS ---
,Mar 2009,Mar 2010,Mar 2016
Sales +,50.18,53.77,98.07
Expenses +,43.50,46.39,85.37
Operating Profit,6.68,7.38,12.70
OPM %,13.31%,13.73%,12.95%
Other Income +,1.90,1.87,1.45
Interest,4.00,4.38,8.97
Depreciation,2.77,2.93,3.24
Profit before tax,1.81,1.94,1.94
Tax %,13.81%,31.44%,34.54%
Net Profit +,1.56,1.33,1.27
EPS in Rs,,0.81,0.74
Dividend Payout %,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2009,Mar 2010,Mar 2016
Equity Capital,13.53,16.33,17.14
Reserves,15.03,12.14,18.93
Borrowings +,42.12,40.72,60.82
Other Liabilities +,11.38,17.13,14.75
Total Liabilities,82.06,86.32,111.64
Fixed Assets +,31.59,29.92,38.09
CWIP,14.56,21.35,9.75
Investments,0.00,0.00,0.01
Other Assets +,35.91,35.05,63.79
Total Assets,82.06,86.32,111.64

--- CASH FLOW ---
,Mar 2009,Mar 2010,Mar 2016
Cash from Operating Activity +,,,2.52
Cash from Investing Activity +,,,2.30
Cash from Financing Activity +,,,-5.73
Net Cash Flow,,,-0.91
Free Cash Flow,,,5.68
CFO/OP,,,29%

--- RATIOS ---
,Mar 2009,Mar 2010,Mar 2016
Debtor Days,57.10,45.01,28.17
Inventory Days,184.06,154.99,126.08
Days Payable,47.21,66.46,22.55
Cash Conversion Cycle,193.96,133.54,131.70
Working Capital Days,157.33,145.61,-18.39
ROCE %,,9.13%,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,48.35%,45.44%,44.86%,43.69%,43.41%,43.41%,43.41%,43.41%,43.41%,43.41%,43.41%,43.41%
FIIs +,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,51.65%,54.56%,55.14%,56.29%,56.59%,56.59%,56.58%,56.58%,56.58%,56.58%,56.58%,56.58%
No. of Shareholders,"8,475","7,887","7,917","8,680","8,885","8,777","8,856","8,830","8,649","8,669","8,459","8,335"

--- CAGR BOXES ---




