--- ABOUT ---
"Incorporated in 1973, Amines & Plasticizers Ltd manufactures over 60 different varieties of organic chemicals, amines, solvents, and fertilizers. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,082",197,289 / 127,29.6

Book Value,Dividend Yield,ROCE,ROE
53.1,0.25,16.7,13.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,167,137,157,175,177,137,167,191,166,140,133,142,155
Expenses +,153,123,141,158,155,123,150,174,145,127,122,130,132
Operating Profit,14,14,16,17,22,15,16,17,21,13,11,13,23
OPM %,8%,10%,10%,10%,12%,11%,10%,9%,13%,9%,8%,9%,15%
Other Income +,1,0,1,1,0,0,0,0,0,0,0,0,0
Interest,3,3,4,3,3,2,2,3,3,2,1,1,2
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,11,10,12,13,17,12,13,13,17,10,8,11,21
Tax %,24%,25%,26%,26%,26%,25%,25%,26%,25%,26%,25%,28%,25%
Net Profit +,9,8,9,10,13,9,10,10,13,7,6,8,15
EPS in Rs,1.55,1.44,1.65,1.80,2.35,1.57,1.78,1.77,2.33,1.35,1.12,1.38,2.79
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,302,262,295,326,455,399,442,563,597,647,661,571
Expenses +,279,239,267,298,421,357,389,523,555,578,592,511
Operating Profit,23,23,28,28,34,42,53,40,42,69,69,60
OPM %,8%,9%,10%,9%,7%,10%,12%,7%,7%,11%,10%,10%
Other Income +,-0,0,1,4,3,1,5,5,3,3,1,1
Interest,10,8,6,7,8,9,10,9,10,13,10,5
Depreciation,2,2,2,3,3,3,4,4,5,5,6,6
Profit before tax,10,14,21,23,26,30,44,32,30,54,55,49
Tax %,38%,34%,30%,36%,36%,19%,26%,26%,24%,26%,25%,26%
Net Profit +,6,9,15,15,16,25,33,24,23,40,41,37
EPS in Rs,1.14,1.64,2.69,2.68,2.99,4.47,5.92,4.34,4.16,7.24,7.45,6.64
Dividend Payout %,9%,24%,11%,11%,10%,7%,0%,9%,12%,7%,7%,8%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,11,11,11,11,11,11,11,11,11,11,11
Reserves,28,30,44,57,71,97,130,151,172,209,248,281
Borrowings +,62,59,59,54,79,58,74,72,85,85,77,27
Other Liabilities +,43,40,47,68,91,65,91,76,77,84,81,103
Total Liabilities,138,140,161,190,252,232,305,310,344,389,416,422
Fixed Assets +,36,35,36,40,43,75,73,84,80,80,80,76
CWIP,8,8,10,11,23,3,11,3,5,3,0,0
Investments,0,0,0,0,0,0,0,0,1,1,1,2
Other Assets +,95,97,115,139,186,154,221,223,258,305,335,344
Total Assets,138,140,161,190,252,232,305,310,344,389,416,422

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,7,14,10,22,10,31,44,-27,5,47,29,66
Cash from Investing Activity +,-3,-1,-5,-4,-16,-17,-6,-4,-2,-1,-3,-1
Cash from Financing Activity +,-3,-13,-5,-14,12,-22,6,-13,0,-16,-20,-58
Net Cash Flow,0,-1,0,4,6,-8,44,-43,3,30,6,7
Free Cash Flow,3,12,4,14,-8,4,33,-35,2,43,26,66
CFO/OP,38%,74%,58%,102%,52%,92%,103%,-46%,25%,86%,62%,131%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49,54,55,49,62,63,73,66,74,55,74,89
Inventory Days,62,64,76,98,65,84,73,81,66,76,72,79
Days Payable,57,61,72,92,83,76,100,56,54,57,48,60
Cash Conversion Cycle,54,57,60,55,43,71,47,91,86,75,99,109
Working Capital Days,11,22,30,32,24,51,32,64,71,70,82,114
ROCE %,23%,22%,26%,25%,24%,26%,28%,18%,16%,23%,20%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%,73.17%
Public +,26.83%,26.82%,26.83%,26.83%,26.82%,26.83%,26.84%,26.83%,26.83%,26.83%,26.84%,26.85%
No. of Shareholders,"9,856","8,845","8,370","8,348","9,194","9,944","9,957","10,242","9,931","9,794","9,873","9,541"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,8%
5 Years:,5%
3 Years:,-1%
TTM:,-14%

Compounded Profit Growth
10 Years:,15%
5 Years:,2%
3 Years:,17%
TTM:,-11%

Stock Price CAGR
10 Years:,26%
5 Years:,12%
3 Years:,30%
1 Year:,-17%

Return on Equity
10 Years:,19%
5 Years:,16%
3 Years:,16%
Last Year:,13%

