--- ABOUT ---
"Alembic Pharmaceuticals is in the business of development, manufacturing, and marketing of Pharmaceuticals products i.e. Formulations and Active Pharmaceutical Ingredients. The company has 3 R&D and 5 manufacturing facilities."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"14,998",763,"1,108",20.6

Book Value,Dividend Yield,ROCE,ROE
289,1.44,12.6,13.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,406","1,486","1,595","1,631","1,517","1,562","1,648","1,693","1,770","1,711","1,910","1,876","1,848"
Expenses +,"1,203","1,287","1,387","1,364","1,257","1,325","1,409","1,433","1,498","1,430","1,594","1,585","1,620"
Operating Profit,204,199,208,266,260,237,239,260,271,281,316,292,228
OPM %,14%,13%,13%,16%,17%,15%,15%,15%,15%,16%,17%,16%,12%
Other Income +,1,12,10,3,4,2,30,10,14,6,8,-27,2
Interest,14,14,16,15,11,13,19,22,25,24,24,23,23
Depreciation,74,66,68,69,69,69,71,70,69,74,76,80,89
Profit before tax,116,130,135,185,183,157,180,178,192,190,224,162,119
Tax %,-31%,7%,-1%,2%,3%,14%,15%,23%,18%,19%,18%,18%,-70%
Net Profit +,153,121,137,180,178,135,153,138,157,154,184,132,202
EPS in Rs,7.76,6.14,6.95,9.18,9.07,6.85,7.80,7.04,7.98,7.85,9.40,6.76,10.31
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,056","3,166","3,105","3,131","3,935","4,606","5,393","5,306","5,653","6,229","6,672","7,345"
Expenses +,"1,653","2,159","2,490","2,488","3,061","3,383","3,913","4,432","4,970","5,296","5,664","6,226"
Operating Profit,403,"1,007",615,643,874,"1,223","1,480",874,682,932,"1,008","1,118"
OPM %,20%,32%,20%,21%,22%,27%,27%,16%,12%,15%,15%,15%
Other Income +,4,7,2,7,9,-39,87,56,-2,28,56,-12
Interest,4,5,5,3,18,27,16,18,50,56,79,94
Depreciation,44,72,83,105,115,157,183,287,275,273,279,319
Profit before tax,359,936,529,541,749,"1,000","1,368",625,355,632,707,694
Tax %,21%,23%,23%,22%,21%,20%,19%,17%,4%,3%,18%,3%
Net Profit +,283,720,403,413,583,801,"1,146",521,342,616,582,671
EPS in Rs,15.01,38.20,21.39,21.89,31.00,43.97,58.33,26.50,17.40,31.33,29.68,34.33
Dividend Payout %,23%,9%,19%,18%,18%,23%,24%,38%,46%,35%,37%,35%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,38,38,38,38,38,38,39,39,39,39,39,39
Reserves,847,"1,560","1,865","2,182","2,681","3,182","5,028","5,198","4,331","4,779","5,152","5,636"
Borrowings +,264,114,89,708,"1,128","1,747",584,717,722,513,"1,258","1,430"
Other Liabilities +,493,718,698,"1,013",931,"1,022","1,058","1,167","1,090","1,114","1,324","1,658"
Total Liabilities,"1,641","2,429","2,689","3,941","4,778","5,989","6,709","7,122","6,183","6,446","7,773","8,763"
Fixed Assets +,547,708,799,993,"1,158","1,552","1,788","1,798","2,398","2,547","2,524","3,130"
CWIP,83,93,396,"1,010","1,551","1,846","2,183","2,304",601,524,837,634
Investments,2,87,50,42,49,18,236,118,96,93,127,141
Other Assets +,"1,009","1,541","1,444","1,896","2,019","2,573","2,502","2,902","3,087","3,281","4,285","4,858"
Total Assets,"1,641","2,429","2,689","3,941","4,778","5,989","6,709","7,122","6,183","6,446","7,773","8,763"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,172,948,329,312,812,449,"1,463",552,724,803,88,783
Cash from Investing Activity +,-256,-307,-486,-884,-756,-731,-840,-372,-448,-321,-568,-506
Cash from Financing Activity +,87,-224,-129,503,59,155,-597,-217,-262,-438,444,-164
Net Cash Flow,3,417,-286,-69,115,-127,26,-37,14,45,-37,113
Free Cash Flow,-52,647,348,-495,49,-285,804,128,282,487,-466,290
CFO/OP,60%,114%,73%,70%,112%,56%,115%,77%,115%,88%,16%,79%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,64,40,40,61,45,69,24,56,68,60,77,73
Inventory Days,196,266,269,302,356,417,431,406,315,350,466,462
Days Payable,166,264,213,313,237,220,194,178,145,157,179,154
Cash Conversion Cycle,94,42,96,51,164,266,261,283,237,253,363,381
Working Capital Days,32,36,61,69,24,50,73,74,77,88,87,88
ROCE %,38%,66%,29%,22%,23%,24%,26%,11%,7%,13%,13%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.61%,69.61%,69.61%,69.61%,69.61%,69.61%,69.61%,69.67%,69.68%,69.74%,69.74%,69.74%
FIIs +,4.34%,4.51%,4.52%,4.46%,4.32%,3.94%,4.17%,3.94%,3.96%,4.04%,4.23%,4.26%
DIIs +,13.65%,14.22%,14.51%,15.39%,15.47%,16.05%,16.05%,16.43%,16.46%,16.30%,16.17%,16.17%
Public +,12.39%,11.67%,11.36%,10.54%,10.61%,10.38%,10.17%,9.96%,9.91%,9.92%,9.84%,9.83%
No. of Shareholders,"97,607","89,552","85,212","76,567","74,829","91,429","93,944","91,336","89,013","89,969","87,000","86,432"

--- CAGR BOXES ---




