--- ABOUT ---
"Apollo Micro Systems Ltd is a pioneer in design, development, assembly and testing of electronic and electro mechanical solutions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,623",433,447,138

Book Value,Dividend Yield,ROCE,ROE
36.8,0.06,14.5,11.8

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,107,58,87,91,135,91,161,148,162,134,225,252,293
Expenses +,84,45,69,67,107,69,128,110,126,93,166,202,226
Operating Profit,23,13,18,24,29,22,33,38,36,41,59,50,68
OPM %,21%,22%,21%,26%,21%,25%,20%,26%,22%,31%,26%,20%,23%
Other Income +,-1,0,0,0,1,1,1,1,1,1,1,1,3
Interest,8,8,7,7,8,8,7,9,11,12,13,14,9
Depreciation,3,3,3,3,3,3,4,4,4,4,5,6,7
Profit before tax,11,3,9,14,18,12,22,26,22,25,43,32,55
Tax %,36%,42%,25%,31%,29%,29%,30%,30%,36%,30%,30%,28%,33%
Net Profit +,7,2,7,10,13,8,16,18,14,18,30,23,37
EPS in Rs,0.35,0.08,0.28,0.35,0.46,0.28,0.51,0.60,0.46,0.55,0.93,0.72,1.05
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,246,203,243,298,372,562,904
Expenses +,197,165,198,233,288,433,686
Operating Profit,49,39,46,64,84,129,218
OPM %,20%,19%,19%,22%,23%,23%,24%
Other Income +,2,1,1,-2,2,3,6
Interest,15,16,17,22,30,34,47
Depreciation,10,9,9,10,11,15,22
Profit before tax,25,14,20,29,44,83,155
Tax %,45%,29%,28%,35%,29%,32%,31%
Net Profit +,14,10,15,19,31,56,107
EPS in Rs,0.67,0.49,0.70,0.90,1.10,1.84,3.16
Dividend Payout %,7%,5%,4%,3%,5%,14%,8%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,21,21,21,21,28,31,36
Reserves,275,284,299,363,490,576,"1,277"
Borrowings +,83,117,116,144,208,335,543
Other Liabilities +,86,110,164,165,230,357,512
Total Liabilities,465,532,599,693,956,"1,299","2,369"
Fixed Assets +,50,49,86,106,144,182,477
CWIP,37,52,30,32,35,72,196
Investments,0,0,0,0,0,0,0
Other Assets +,378,430,484,555,777,"1,045","1,695"
Total Assets,465,532,599,693,956,"1,299","2,369"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,47,6,43,-16,-76,10,-130
Cash from Investing Activity +,-19,-23,-24,-35,-60,-91,-357
Cash from Financing Activity +,-36,17,-19,51,136,121,536
Net Cash Flow,-8,0,0,-0,-0,40,49
Free Cash Flow,20,-16,21,-50,-131,-82,-357
CFO/OP,108%,24%,98%,-21%,-87%,13%,-50%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,201,305,205,180,231,155,194
Inventory Days,421,546,597,594,612,553,478
Days Payable,115,189,258,195,239,258,230
Cash Conversion Cycle,507,661,544,579,605,450,443
Working Capital Days,312,372,314,319,348,253,256
ROCE %,,8%,9%,11%,12%,14%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.10%,52.67%,53.21%,53.21%,55.12%,55.12%,55.12%,55.12%,50.65%,50.33%,51.98%,51.98%
FIIs +,0.17%,5.27%,11.01%,11.14%,7.42%,0.19%,0.74%,0.93%,7.16%,8.94%,4.97%,3.63%
DIIs +,3.64%,3.31%,0.01%,0.01%,0.00%,0.87%,0.87%,0.37%,1.61%,1.45%,1.30%,1.82%
Public +,37.10%,38.76%,35.76%,35.62%,37.46%,43.82%,43.29%,43.60%,40.59%,39.27%,41.76%,42.58%
No. of Shareholders,"59,539","85,206","1,43,778","1,79,049","2,15,587","2,82,055","2,86,027","2,80,427","3,05,636","3,40,511","3,60,131","3,73,806"

--- CAGR BOXES ---




