--- ABOUT ---
"Incorporated in 1998, Apollo Sindoori Hotels Ltd is in the business of managing food outlets at hospitals and reputed organizations. It also undertakes out door catering services, skilled man power to hospitals, etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
358,"1,378","1,605",30.5

Book Value,Dividend Yield,ROCE,ROE
604,0.18,10.9,7.75

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,134.44,121.04,127.59,135.48,135.30,127.70,135.06,140.98,138.06,138.28,149.63,161.40,182.35
Expenses +,130.07,114.03,121.96,128.56,130.70,122.58,129.43,135.99,135.08,133.30,143.29,151.82,173.96
Operating Profit,4.37,7.01,5.63,6.92,4.60,5.12,5.63,4.99,2.98,4.98,6.34,9.58,8.39
OPM %,3.25%,5.79%,4.41%,5.11%,3.40%,4.01%,4.17%,3.54%,2.16%,3.60%,4.24%,5.94%,4.60%
Other Income +,6.51,2.32,2.16,2.16,3.88,2.72,2.81,2.37,2.40,4.45,2.79,-2.62,2.61
Interest,2.15,1.85,1.84,2.13,1.97,2.18,2.05,1.72,1.67,1.77,1.60,2.06,2.28
Depreciation,1.73,1.88,1.92,1.91,2.04,2.15,2.47,2.48,2.22,2.95,2.81,3.65,3.92
Profit before tax,7.00,5.60,4.03,5.04,4.47,3.51,3.92,3.16,1.49,4.71,4.72,1.25,4.80
Tax %,70.86%,31.79%,55.58%,26.19%,61.52%,57.55%,43.37%,41.14%,-44.97%,16.35%,34.53%,39.20%,43.54%
Net Profit +,2.04,3.83,1.80,3.72,1.72,1.49,2.22,1.86,2.16,3.95,3.09,0.76,2.71
EPS in Rs,7.84,14.73,6.92,14.31,6.61,5.73,8.54,7.15,8.31,15.19,11.88,2.92,10.42
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,141,186,133,140,165,193,169,208,367,519,542,632
Expenses +,133,178,121,130,153,185,164,196,350,495,523,602
Operating Profit,8,8,12,10,11,8,5,12,17,25,19,29
OPM %,6%,4%,9%,7%,7%,4%,3%,6%,5%,5%,4%,5%
Other Income +,1,-4,6,10,14,15,13,13,20,10,10,7
Interest,1,1,1,1,0,2,2,3,6,8,8,8
Depreciation,1,1,1,1,1,3,5,5,6,8,9,13
Profit before tax,7,2,16,18,24,19,11,18,25,19,12,15
Tax %,35%,52%,23%,18%,15%,17%,13%,16%,32%,42%,36%,32%
Net Profit +,4,1,12,15,21,15,10,15,17,11,8,10
EPS in Rs,17.00,3.73,46.58,58.50,79.06,58.91,36.80,56.95,65.07,42.57,29.69,40.38
Dividend Payout %,9%,40%,3%,4%,4%,3%,3%,3%,2%,5%,8%,7%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,1,1,1,1,1,1,1,1,1
Reserves,24,24,31,46,66,78,87,101,119,134,145,156
Borrowings +,4,3,7,1,0,26,24,23,127,87,81,91
Other Liabilities +,23,34,25,29,34,42,40,41,92,93,89,137
Total Liabilities,52,63,64,77,102,147,152,166,339,315,315,385
Fixed Assets +,5,6,4,4,5,30,28,27,49,52,67,87
CWIP,0,0,0,0,0,0,0,0,0,0,0,2
Investments,0,0,13,22,33,41,49,57,12,14,14,15
Other Assets +,47,57,47,52,64,76,75,83,278,250,234,280
Total Assets,52,63,64,77,102,147,152,166,339,315,315,385

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,3,6,8,18,21,22,17,18,2,14,21,40
Cash from Investing Activity +,-4,-4,-9,-10,-13,-21,-12,-12,-47,6,-3,-52
Cash from Financing Activity +,-1,0,-0,-1,-1,2,-3,-4,41,-59,-12,3
Net Cash Flow,-2,2,-1,7,7,4,2,1,-4,-40,6,-8
Free Cash Flow,2,3,7,17,19,11,16,15,-18,6,10,-4
CFO/OP,50%,97%,95%,215%,228%,307%,371%,173%,126%,96%,166%,153%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,79,72,91,87,83,73,79,64,83,64,57,65
Inventory Days,15,9,8,7,,,,,,,,9
Days Payable,71,76,99,116,,,,,,,,92
Cash Conversion Cycle,24,5,0,-22,83,73,79,64,83,64,57,-18
Working Capital Days,37,21,32,35,35,17,16,18,-27,-17,-5,-13
ROCE %,,28%,48%,42%,42%,23%,12%,17%,12%,12%,9%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%
FIIs +,0.06%,0.06%,0.06%,0.11%,0.10%,0.00%,0.03%,0.01%,0.04%,0.00%,0.00%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,35.26%,35.26%,35.26%,34.94%,35.23%,35.32%,35.29%,35.31%,35.28%,35.32%,35.32%,35.32%
No. of Shareholders,"3,189","2,907","3,229","8,583","8,534","8,216","8,105","7,988","8,121","7,761","7,471","7,096"

--- CAGR BOXES ---




