--- ABOUT ---
"Incorporated in 1992, Arihant Capital Markets Ltd provides Stock & Commodities Broking, PMS, Financial Services, Real Estate, Insurance Broking and other related activities [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
768,70.0,120 / 57.0,24.2

Book Value,Dividend Yield,ROCE,ROE
40.2,0.71,11.0,7.69

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,29.30,42.79,55.97,72.66,63.73,72.81,76.38,51.79,46.34,50.77,56.98,49.05,49.04
Expenses +,23.58,25.40,34.60,43.17,26.89,42.90,45.72,35.15,31.49,30.47,33.18,35.12,41.11
Operating Profit,5.72,17.39,21.37,29.49,36.84,29.91,30.66,16.64,14.85,20.30,23.80,13.93,7.93
OPM %,19.52%,40.64%,38.18%,40.59%,57.81%,41.08%,40.14%,32.13%,32.05%,39.98%,41.77%,28.40%,16.17%
Other Income +,0.08,0.62,0.48,0.98,0.50,1.11,1.40,5.20,0.47,0.71,0.32,0.23,-0.30
Interest,2.53,2.17,2.13,4.18,4.09,5.24,5.94,4.77,3.96,3.91,6.25,6.24,5.21
Depreciation,0.55,0.58,0.59,0.60,0.64,0.68,0.73,0.80,0.84,0.83,0.89,0.87,0.90
Profit before tax,2.72,15.26,19.13,25.69,32.61,25.10,25.39,16.27,10.52,16.27,16.98,7.05,1.52
Tax %,27.94%,24.12%,23.21%,23.78%,24.38%,25.06%,21.47%,24.71%,26.81%,21.94%,22.97%,26.52%,67.11%
Net Profit +,1.95,11.58,14.69,19.59,24.66,18.81,19.94,12.25,7.70,12.70,13.08,5.18,0.50
EPS in Rs,0.19,1.11,1.41,1.88,2.37,1.81,1.92,1.18,0.74,1.22,1.25,0.47,0.05
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,62,56,87,102,93,91,116,170,138,235,247,206
Expenses +,41,39,48,58,58,58,67,97,86,128,152,139
Operating Profit,20,17,39,44,35,33,49,73,51,107,95,66
OPM %,33%,30%,45%,43%,38%,36%,42%,43%,37%,45%,38%,32%
Other Income +,0,0,0,0,1,0,0,0,1,3,7,1
Interest,3,3,13,14,11,9,4,7,11,14,22,22
Depreciation,1,1,1,1,1,1,1,1,2,2,3,3
Profit before tax,16,13,25,30,24,23,44,65,39,93,77,42
Tax %,31%,33%,33%,31%,31%,24%,21%,23%,26%,24%,24%,25%
Net Profit +,11,9,17,21,17,17,35,50,29,71,59,31
EPS in Rs,1.06,0.82,1.60,1.99,1.61,1.68,3.33,4.84,2.80,6.77,5.64,2.87
Dividend Payout %,14%,18%,9%,8%,9%,12%,6%,6%,14%,7%,9%,17%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,11
Reserves,66,73,90,108,124,139,172,218,246,312,374,430
Borrowings +,0,0,8,95,109,41,56,82,60,99,96,239
Other Liabilities +,62,57,91,95,99,144,223,267,206,359,307,418
Total Liabilities,139,140,200,309,343,335,461,579,522,780,787,"1,098"
Fixed Assets +,11,18,19,21,21,21,20,12,14,15,29,34
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,13,0,15,3,15,8,16,26,19,15,24,36
Other Assets +,115,122,165,285,306,307,425,541,489,751,734,"1,028"
Total Assets,139,140,200,309,343,335,461,579,522,780,787,"1,098"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,-13,14,-46,-4,118,-32,-18,15,-30,30,-122
Cash from Investing Activity +,6,5,-16,16,-4,-2,-7,13,-0,6,-12,-22
Cash from Financing Activity +,-2,-4,8,85,3,-77,10,18,-32,27,-14,153
Net Cash Flow,6,-12,6,54,-5,38,-28,13,-17,4,4,9
Free Cash Flow,10,-22,12,-49,-5,117,-32,-11,10,-33,13,-126
CFO/OP,28%,-50%,57%,-84%,8%,382%,-46%,-9%,52%,-8%,52%,-166%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,164,179,282,417,503,303,478,421,459,150,143,174
Inventory Days,,,"1,136",,,,,,,,,
Days Payable,,,"2,291",,,,,,,,,
Cash Conversion Cycle,164,179,-873,417,503,303,478,421,459,150,143,174
Working Capital Days,-40,115,77,-43,287,-198,-72,-53,-38,-317,-201,-355
ROCE %,27%,20%,40%,27%,15%,15%,22%,27%,16%,29%,21%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.12%,71.64%,70.18%,69.81%,69.81%,69.81%,69.81%,69.81%,69.81%,69.81%,67.67%,67.68%
FIIs +,0.21%,0.06%,0.06%,0.18%,0.17%,0.68%,0.51%,0.09%,0.03%,0.22%,0.04%,0.05%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%
Public +,25.67%,28.30%,29.76%,30.00%,30.01%,29.49%,29.68%,30.10%,30.16%,29.97%,32.27%,32.24%
No. of Shareholders,"11,988","13,219","14,753","18,099","22,030","26,637","28,725","29,259","28,520","24,874","32,586","30,812"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,14%
5 Years:,12%
3 Years:,14%
TTM:,-17%

Compounded Profit Growth
10 Years:,14%
5 Years:,-2%
3 Years:,3%
TTM:,-44%

Stock Price CAGR
10 Years:,25%
5 Years:,22%
3 Years:,22%
1 Year:,-7%

Return on Equity
10 Years:,16%
5 Years:,16%
3 Years:,15%
Last Year:,8%

