--- ABOUT ---
Ashoka Buildcon Ltd is engaged in the business of construction and infrastructure facilities on EPC and BOT basis. It is also involved in the sale of RMC (ready mix and making switchgear concrete). [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,794",135,218 / 101,4.71

Book Value,Dividend Yield,ROCE,ROE
234,0.00,26.5,15.3

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,448","1,935","2,154","2,657","3,052","2,465","2,489","2,388","2,694","1,887","1,851","1,827","1,954"
Expenses +,"1,893","1,462","1,608","2,070","2,426","1,866","1,584","1,749","1,917","1,288","1,266","1,392","1,696"
Operating Profit,556,473,546,587,626,599,905,639,777,599,585,435,258
OPM %,23%,24%,25%,22%,21%,24%,36%,27%,29%,32%,32%,24%,13%
Other Income +,-42,38,41,42,193,29,40,39,61,50,-163,"2,416",25
Interest,288,319,321,337,334,308,307,313,318,311,318,200,82
Depreciation,87,96,99,103,68,94,98,58,40,38,40,42,41
Profit before tax,139,97,167,189,417,227,540,307,481,300,64,"2,609",160
Tax %,132%,26%,29%,48%,39%,30%,14%,-116%,6%,24%,-41%,19%,8%
Net Profit +,-45,72,119,99,254,158,462,662,452,227,91,"2,111",147
EPS in Rs,-1.49,2.41,4.00,3.43,8.89,5.36,16.28,23.32,15.40,7.74,2.78,75.21,5.10
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,320","2,825","2,973","3,601","4,930","5,070","4,992","5,999","8,100","9,798","10,037","7,520"
Expenses +,"1,847","1,907","2,037","2,462","3,537","3,495","3,455","4,210","6,132","7,564","7,117","5,642"
Operating Profit,473,918,935,"1,140","1,393","1,575","1,536","1,789","1,969","2,235","2,920","1,878"
OPM %,20%,33%,31%,32%,28%,31%,31%,30%,24%,23%,29%,25%
Other Income +,29,24,82,111,17,93,147,485,64,312,170,"2,327"
Interest,272,800,908,994,"1,021","1,043",970,"1,004","1,104","1,310","1,245",912
Depreciation,152,269,264,291,258,300,276,338,341,367,290,161
Profit before tax,78,-126,-155,-35,131,326,438,932,588,870,"1,555","3,132"
Tax %,102%,77%,45%,239%,131%,51%,38%,17%,50%,40%,-12%,18%
Net Profit +,-1,-224,-225,-119,-40,160,273,771,294,521,"1,734","2,576"
EPS in Rs,3.42,-3.04,-7.31,-3.96,-1.19,5.89,9.84,27.73,10.42,17.92,60.35,90.84
Dividend Payout %,27%,-33%,-15%,-13%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,79,94,94,94,140,140,140,140,140,140,140,140
Reserves,"1,278","1,621",376,222,147,274,479,"1,240","1,535","2,080","3,775","6,439"
