--- ABOUT ---
"Asian Energy Services Ltd is an oilfield service and reservoir imaging company, offering a suite of geophysical services specializing in land and well seismic services and operation and maintenance services for oilfields. [1] It is one of the few companies providing end-to-end services in the upstream oil segment. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,785",367,392,30.9

Book Value,Dividend Yield,ROCE,ROE
110,0.27,16.5,12.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,29,46,45,95,119,60,98,92,215,115,102,235,338
Expenses +,32,47,42,80,94,54,82,79,184,104,94,207,290
Operating Profit,-3,-1,4,15,25,6,15,13,31,11,8,28,48
OPM %,-11%,-3%,8%,16%,21%,10%,16%,14%,15%,10%,8%,12%,14%
Other Income +,2,3,2,1,-1,2,2,3,4,3,-4,4,0
Interest,0,0,0,1,1,1,1,1,2,2,2,4,3
Depreciation,5,4,4,4,4,4,4,4,5,5,5,4,5
Profit before tax,-7,-3,1,11,19,3,13,11,29,8,-3,24,40
Tax %,0%,1%,1%,-13%,24%,32%,27%,26%,23%,28%,48%,27%,18%
Net Profit +,-7,-3,1,13,15,2,9,8,23,6,-4,18,33
EPS in Rs,-1.72,-0.80,0.27,3.30,3.56,0.50,2.07,1.84,5.03,1.24,-0.85,3.90,7.11
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,141,78,124,222,194,273,229,260,110,305,465,791
Expenses +,146,101,140,182,161,207,173,194,129,263,399,696
Operating Profit,-6,-24,-16,41,33,67,55,66,-19,42,66,95
OPM %,-4%,-30%,-13%,18%,17%,24%,24%,25%,-17%,14%,14%,12%
Other Income +,6,27,21,-7,1,-3,-7,3,-1,6,12,3
Interest,9,11,8,6,6,3,1,1,2,2,4,11
Depreciation,18,18,15,17,19,20,23,28,22,17,18,19
Profit before tax,-27,-25,-18,10,9,41,25,41,-45,29,56,69
Tax %,0%,7%,1%,2%,1%,28%,8%,5%,-0%,11%,25%,25%
Net Profit +,-27,-27,-18,10,9,29,23,39,-44,26,42,52
EPS in Rs,-12.10,-12.12,-6.98,2.71,2.39,7.68,5.93,10.19,-11.65,6.22,9.41,11.38
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,11%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,26,38,38,38,38,38,38,41,45,45
Reserves,15,-12,56,102,114,144,166,204,162,237,354,449
Borrowings +,70,110,83,28,10,0,4,8,21,22,24,159
Other Liabilities +,43,50,45,84,56,126,140,88,76,84,170,266
Total Liabilities,150,171,209,252,218,308,348,338,297,384,592,918
Fixed Assets +,106,95,83,100,87,90,132,112,96,112,115,115
CWIP,0,0,0,0,0,0,0,0,0,1,3,46
Investments,0,0,0,0,0,0,0,6,20,12,33,12
Other Assets +,44,75,126,152,132,218,216,220,181,259,441,746
Total Assets,150,171,209,252,218,308,348,338,297,384,592,918

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-8,-1,-18,27,27,89,-7,48,-3,-44,-33,53
Cash from Investing Activity +,-12,-2,-4,-29,-19,-11,-33,-49,-18,-14,-34,-159
Cash from Financing Activity +,18,9,42,-17,-15,-17,1,6,10,49,78,124
Net Cash Flow,-2,5,20,-19,-7,61,-39,5,-11,-9,11,17
Free Cash Flow,-3,-3,-25,11,4,75,-43,6,-4,-73,-52,-8
CFO/OP,134%,4%,112%,72%,105%,141%,-36%,71%,17%,-100%,-37%,72%

--- RATIOS ---
