--- ABOUT ---
"Incorporated in 1982, Asian Hotels (North)  Ltd is in the business of Hospitality, Real estate and Power  Generation [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,273",298,381,471

Book Value,Dividend Yield,ROCE,ROE
216,0.00,3.45,0.46

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2025,Dec 2025,Mar 2026
Sales +,11,22,32,13,35,47,36,53,60,69,92,91,103
Expenses +,19,23,34,23,31,36,35,50,51,51,62,81,79
Operating Profit,-8,-2,-2,-10,4,11,1,3,9,19,29,10,23
OPM %,-72%,-8%,-7%,-73%,11%,23%,2%,6%,15%,27%,32%,11%,23%
Other Income +,1,1,-567,0,-319,-4,-2,0,0,1,187,-40,-7
Interest,25,8,34,27,25,23,35,31,33,31,33,21,14
Depreciation,4,4,4,4,4,8,9,6,6,6,7,5,4
Profit before tax,-36,-12,-607,-40,-344,-25,-45,-33,-30,-17,176,-56,-2
Tax %,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,1%,0%,"-1,634%"
Net Profit +,-36,-12,-618,-40,-344,-25,-45,-33,-30,-17,174,-56,31
EPS in Rs,-16.83,-5.77,-320.61,-20.65,-162.14,-12.38,-23.49,-17.18,-15.34,-8.68,89.54,-29.03,7.34
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2025,Mar 2026
Sales +,321,228,233,241,251,274,274,252,73,131,318,341
Expenses +,248,167,190,171,170,191,192,198,92,124,234,296
Operating Profit,73,61,43,70,81,84,81,54,-19,6,84,45
OPM %,23%,27%,18%,29%,32%,30%,30%,22%,-27%,5%,26%,13%
Other Income +,-310,7,31,46,11,31,4,15,-568,-325,304,-97
Interest,86,74,96,118,99,99,114,127,91,110,134,72
Depreciation,31,11,27,23,21,20,19,18,17,25,22,18
Profit before tax,-354,-17,-48,-24,-28,-4,-48,-76,-695,-454,232,-142
Tax %,4%,90%,6%,-107%,-42%,-8%,-19%,-14%,0%,0%,19%,-28%
Net Profit +,-361,-32,-51,2,-16,-4,-39,-65,-695,-454,187,-102
EPS in Rs,30.71,-16.54,-26.07,0.82,-8.15,-1.91,-18.33,-30.37,-356.89,-218.66,96.26,-23.99
Dividend Payout %,3%,-6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2025,Mar 2026
Equity Capital,19,19,19,19,19,19,19,19,19,19,19,43
Reserves,837,775,745,737,721,719,684,611,409,218,243,878
Borrowings +,819,980,"1,071","1,123","1,154","1,141","1,183","1,212","1,265","1,079",550,334
Other Liabilities +,341,311,265,201,196,228,255,291,310,239,732,438
Total Liabilities,"2,016","2,085","2,100","2,080","2,090","2,108","2,142","2,133","2,003","1,556","1,544","1,692"
Fixed Assets +,"1,543","1,789","1,904","1,839","1,809","1,773","1,759","1,727","1,626","1,479","1,418","1,384"
CWIP,354,143,133,157,188,229,256,279,297,1,1,0
Investments,0,0,0,0,0,1,1,1,1,0,0,0
Other Assets +,119,154,63,83,93,104,125,126,78,76,125,309
Total Assets,"2,016","2,085","2,100","2,080","2,090","2,108","2,142","2,133","2,003","1,556","1,544","1,692"

--- CASH FLOW ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2025,Mar 2026
Cash from Operating Activity +,77,1,-3,54,85,109,105,110,41,15,437,-156
Cash from Investing Activity +,-188,12,-19,16,-14,5,-26,-1,1,-3,-5,17
Cash from Financing Activity +,106,13,-7,-64,-70,-117,-83,-112,-43,-11,-431,268
Net Cash Flow,-5,26,-29,6,1,-3,-4,-3,-1,0,0,130
Free Cash Flow,-116,9,-18,69,66,110,75,108,42,14,431,-138
CFO/OP,127%,14%,7%,84%,107%,133%,134%,198%,-157%,214%,524%,-345%

--- RATIOS ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2025,Mar 2026
Debtor Days,13,16,15,16,16,16,22,18,72,31,19,23
Inventory Days,60,76,57,92,110,117,106,103,187,97,138,93
Days Payable,129,173,332,421,495,488,598,829,"3,033","1,601",518,489
Cash Conversion Cycle,-56,-81,-259,-313,-369,-355,-470,-708,"-2,774","-1,474",-361,-374
Working Capital Days,-426,-677,-550,-370,-308,-339,-415,-587,"-2,422","-1,176","-1,099",-365
ROCE %,4%,5%,1%,3%,3%,4%,3%,2%,-2%,-1%,,3%

--- SHAREHOLDING PATTERN ---
