--- ABOUT ---
"Incorporated in 1992, Avonmore Capital Management Services Ltd provides loans and advances to corporations, and sub- broker advisory services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
308,10.9,23.9,22.3

Book Value,Dividend Yield,ROCE,ROE
13.7,0.00,5.87,3.62

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,27.81,18.66,24.66,32.06,48.21,35.08,54.29,35.25,57.46,36.64,36.92,57.93,61.79
Interest,0.96,0.78,0.62,0.67,1.47,0.98,0.53,1.16,0.66,0.78,0.38,0.72,0.31
Expenses +,25.01,16.27,20.91,27.01,42.40,27.91,31.65,30.60,51.14,30.68,29.56,44.63,72.52
Financing Profit,1.84,1.61,3.13,4.38,4.34,6.19,22.11,3.49,5.66,5.18,6.98,12.58,-11.04
Financing Margin %,6.62%,8.63%,12.69%,13.66%,9.00%,17.65%,40.73%,9.90%,9.85%,14.14%,18.91%,21.72%,-17.87%
Other Income +,3.83,3.21,2.28,2.31,4.38,5.38,1.04,0.72,5.12,5.51,1.96,7.18,6.10
Depreciation,0.61,0.79,0.64,0.72,1.61,1.10,1.22,1.29,1.09,1.54,1.55,1.66,1.53
Profit before tax,5.06,4.03,4.77,5.97,7.11,10.47,21.93,2.92,9.69,9.15,7.39,18.10,-6.47
Tax %,17.19%,6.95%,7.76%,-1.17%,17.16%,17.57%,13.95%,49.32%,11.25%,20.33%,16.24%,15.58%,10.20%
Net Profit +,4.19,3.75,4.40,6.04,5.89,8.63,18.87,1.48,8.60,7.29,6.19,15.28,-7.13
EPS in Rs,0.10,0.10,0.09,0.15,0.03,0.10,0.61,0.01,0.20,0.14,0.16,0.32,-0.34
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,5,52,58,100,77,68,69,84,212,124,180,191
Interest,0,5,4,3,2,3,3,5,3,4,4,2
Expenses +,1,47,50,68,71,60,56,62,70,106,139,175
Financing Profit,3,-0,4,28,4,6,10,17,138,14,37,14
Financing Margin %,74%,-0%,7%,29%,5%,8%,14%,20%,65%,11%,21%,7%
Other Income +,0,3,3,4,11,14,25,31,18,12,13,21
Depreciation,0,2,2,1,2,4,3,2,2,4,5,6
Profit before tax,3,1,5,31,13,16,32,45,154,22,45,28
Tax %,5%,91%,2%,19%,4%,-11%,8%,11%,21%,8%,16%,23%
Net Profit +,7,0,6,28,13,18,30,40,122,20,38,22
EPS in Rs,0.24,0.01,0.20,0.85,0.33,0.55,0.74,1.11,4.09,0.44,1.03,0.49
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25,25,25,25,25,25,25,25,24,24,29,29
Reserves,56,75,82,109,109,126,149,181,254,278,345,358
Borrowing,0,42,32,23,23,27,20,18,26,24,21,25
Other Liabilities +,0,82,79,87,102,98,116,150,138,194,185,170
Total Liabilities,82,224,218,244,259,276,309,374,443,519,580,581
Fixed Assets +,0,36,46,48,62,67,62,62,64,71,76,63
CWIP,0,0,2,0,0,0,0,4,0,2,1,0
Investments,77,47,36,35,32,45,73,95,90,141,166,212
Other Assets +,5,141,135,160,165,164,175,213,289,305,337,306
Total Assets,82,224,218,244,259,276,309,374,443,519,580,581

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
