--- ABOUT ---
"Incorporated in 1985, AYM Syntex Ltd is a manufacturer and exporter of Polyester Filament Yarn, Nylon Filament Yarn and Bulk, Continuous Filament Yarn [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,264",215,263,193

Book Value,Dividend Yield,ROCE,ROE
100,0.00,5.35,1.12

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,329.60,319.53,333.35,331.39,373.89,347.19,403.52,377.67,360.62,326.48,349.15,323.72,365.77
Expenses +,308.80,305.52,312.05,305.94,333.71,317.74,370.46,348.75,333.92,309.81,329.73,300.30,332.46
Operating Profit,20.80,14.01,21.30,25.45,40.18,29.45,33.06,28.92,26.70,16.67,19.42,23.42,33.31
OPM %,6.31%,4.38%,6.39%,7.68%,10.75%,8.48%,8.19%,7.66%,7.40%,5.11%,5.56%,7.23%,9.11%
Other Income +,1.80,-8.79,-4.05,-0.24,13.39,0.77,1.52,1.42,2.30,2.10,4.92,1.29,2.20
Interest,9.51,8.94,10.74,11.86,10.49,11.72,12.67,9.82,8.56,7.59,8.31,8.36,7.76
Depreciation,12.17,14.11,14.20,14.85,14.75,14.95,15.87,15.31,15.88,16.74,16.59,14.04,14.32
Profit before tax,0.92,-17.83,-7.69,-1.50,28.33,3.55,6.04,5.21,4.56,-5.56,-0.56,2.31,13.43
Tax %,2.17%,-35.73%,-35.76%,-38.67%,31.70%,36.06%,34.77%,34.74%,55.70%,-35.97%,-30.36%,35.93%,32.84%
Net Profit +,0.90,-11.46,-4.94,-0.92,19.35,2.27,3.94,3.40,2.02,-3.56,-0.39,1.48,9.02
EPS in Rs,0.18,-2.27,-0.98,-0.18,3.82,0.45,0.78,0.58,0.35,-0.61,-0.07,0.25,1.54
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2008,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,268,278,"1,458","1,358","1,489","1,365"
Expenses +,254,270,"1,361","1,257","1,369","1,272"
Operating Profit,14,9,96,101,120,93
OPM %,5%,3%,7%,7%,8%,7%
Other Income +,-55,10,7,0,4,11
Interest,9,10,36,42,43,32
Depreciation,10,11,57,58,62,62
Profit before tax,-60,-3,11,1,19,10
Tax %,0%,4%,33%,-55%,40%,32%
Net Profit +,-60,-3,7,2,12,7
EPS in Rs,,-1.23,1.42,0.40,1.99,1.12
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2007,Mar 2008,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,95,24,50,51,58,59
Reserves,-40,28,370,373,519,530
Borrowings +,97,100,276,324,202,188
Other Liabilities +,38,57,224,277,251,295
Total Liabilities,189,208,920,"1,025","1,031","1,072"
Fixed Assets +,105,107,448,480,482,525
CWIP,1,1,31,20,11,42
Investments,23,22,0,0,0,0
Other Assets +,59,78,441,524,538,505
Total Assets,189,208,920,"1,025","1,031","1,072"

--- CASH FLOW ---
,Mar 2007,Mar 2008,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,14,13,118,64,108,151
Cash from Investing Activity +,-8,-11,-74,-55,-69,-119
Cash from Financing Activity +,-16,-1,-39,-10,-28,-45
Net Cash Flow,-9,1,5,-2,11,-13
Free Cash Flow,6,1,40,12,34,29
CFO/OP,110%,144%,131%,63%,93%,164%

--- RATIOS ---
,Mar 2007,Mar 2008,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,24,32,26,33,32,36
Inventory Days,57,75,83,104,115,115
Days Payable,70,112,81,115,103,125
Cash Conversion Cycle,11,-6,29,22,44,27
Working Capital Days,25,23,13,2,20,12
ROCE %,,3%,,7%,8%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.86%,73.59%,73.59%,73.54%,73.40%,73.40%,66.00%,65.99%,65.90%,65.90%,65.90%,65.86%
FIIs +,0.09%,0.09%,0.09%,0.10%,0.11%,0.03%,3.47%,3.76%,3.81%,3.28%,3.16%,3.42%
DIIs +,0.15%,0.15%,0.15%,0.13%,0.07%,0.05%,0.40%,0.03%,0.02%,0.41%,0.41%,0.46%
Public +,25.90%,26.18%,26.18%,26.25%,26.42%,26.52%,30.15%,30.21%,30.28%,30.42%,30.53%,30.27%
No. of Shareholders,"11,210","10,864","10,928","11,208","10,765","8,657","9,067","9,560","9,144","9,028","8,781","8,433"

--- CAGR BOXES ---




