--- ABOUT ---
"Incorporated in 1985, Bansal Wire Industries Ltd manufactures and sells wires of multiple varieties [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,802",307,434,29.4

Book Value,Dividend Yield,ROCE,ROE
91.4,0.00,13.8,12.1

Face Value
5.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,548,603,606,709,817,825,925,940,939,"1,055","1,029","1,136"
Expenses +,522,567,570,663,756,762,853,871,867,979,944,"1,060"
Operating Profit,26,36,36,46,61,64,72,70,72,77,85,76
OPM %,5%,6%,6%,6%,7%,8%,8%,7%,8%,7%,8%,7%
Other Income +,1,5,1,1,1,4,1,3,3,5,0,3
Interest,6,6,7,9,12,6,7,11,12,16,15,14
Depreciation,2,2,3,6,5,6,8,11,12,15,15,15
Profit before tax,19,32,27,32,44,57,58,51,50,51,56,50
Tax %,9%,44%,43%,23%,29%,30%,28%,35%,21%,25%,23%,20%
Net Profit +,17,18,15,24,32,40,42,33,39,38,43,40
EPS in Rs,19.00,19.94,1.16,1.83,2.37,2.53,2.66,2.11,2.51,2.45,2.76,2.56
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,197","2,412","2,466","3,507","4,160"
Expenses +,"2,091","2,307","2,321","3,238","3,850"
Operating Profit,106,105,144,269,310
OPM %,5%,4%,6%,8%,7%
Other Income +,7,10,8,9,10
Interest,27,24,29,38,56
Depreciation,8,9,13,30,57
Profit before tax,78,82,110,210,207
Tax %,27%,27%,32%,30%,22%
Net Profit +,57,60,75,146,161
EPS in Rs,62.93,65.83,5.78,9.24,10.28
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,64,78,78
Reserves,214,273,359,"1,191","1,352"
Borrowings +,413,422,681,608,555
Other Liabilities +,59,44,160,291,532
Total Liabilities,695,749,"1,264","2,168","2,517"
Fixed Assets +,116,116,229,693,831
CWIP,0,38,212,178,214
Investments,23,23,1,1,1
Other Assets +,557,573,821,"1,296","1,471"
Total Assets,695,749,"1,264","2,168","2,517"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-12,103,-541,-151,333
Cash from Investing Activity +,-19,-87,-496,-444,-223
Cash from Financing Activity +,30,-15,"1,038",595,-110
Net Cash Flow,-0,0,2,-0,0
Free Cash Flow,-30,15,"-1,033",-610,103
CFO/OP,5%,127%,-361%,-34%,120%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,41,38,53,50,52
Inventory Days,55,45,58,86,81
Days Payable,4,2,11,25,42
Cash Conversion Cycle,92,81,100,110,91
Working Capital Days,35,40,42,59,49
ROCE %,,16%,15%,16%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,77.97%,77.99%,77.99%,77.99%,77.99%,77.99%,77.99%,77.99%
FIIs +,2.30%,2.91%,2.90%,2.36%,2.07%,2.35%,2.12%,0.88%
DIIs +,13.07%,14.92%,15.50%,16.19%,16.15%,15.92%,15.67%,17.06%
Public +,6.67%,4.18%,3.63%,3.47%,3.78%,3.73%,4.23%,4.08%
No. of Shareholders,"1,00,218","62,839","57,969","56,325","56,124","56,030","54,379","52,905"

--- CAGR BOXES ---




