--- ABOUT ---
"Incorporated in 1989, Bannari Amman Spinning Mills Ltd is a manufacturer of cotton yarn, knitted & woven fabrics, processing of fabrics, finished garments, home textiles and wind power generation [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
201,25.1,37.0,13.4

Book Value,Dividend Yield,ROCE,ROE
59.3,0.00,7.39,3.38

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,328.46,194.19,279.14,197.84,248.25,215.86,232.87,213.11,225.52,217.39,228.32,203.90,220.71
Expenses +,324.68,180.24,274.22,181.52,257.37,212.53,212.97,192.87,204.43,194.55,205.78,183.80,200.28
Operating Profit,3.78,13.95,4.92,16.32,-9.12,3.33,19.90,20.24,21.09,22.84,22.54,20.10,20.43
OPM %,1.15%,7.18%,1.76%,8.25%,-3.67%,1.54%,8.55%,9.50%,9.35%,10.51%,9.87%,9.86%,9.26%
Other Income +,0.75,1.48,11.24,2.28,15.66,12.44,0.33,-0.69,-0.38,1.06,1.34,2.09,0.86
Interest,10.53,12.74,11.37,12.46,12.52,11.72,11.29,10.97,11.04,10.70,9.82,11.35,11.15
Depreciation,8.15,7.70,7.73,7.02,7.43,6.44,6.57,6.48,6.39,6.68,6.86,7.20,6.98
Profit before tax,-14.15,-5.01,-2.94,-0.88,-13.41,-2.39,2.37,2.10,3.28,6.52,7.20,3.64,3.16
Tax %,-28.20%,-36.33%,-96.26%,-92.05%,-19.76%,-230.54%,50.63%,49.52%,43.60%,30.06%,22.78%,37.64%,56.33%
Net Profit +,-10.17,-3.20,-0.12,-0.07,-10.76,3.12,1.17,1.06,1.84,4.56,5.55,2.26,1.38
EPS in Rs,-1.29,-0.60,-0.29,-0.25,-1.61,0.39,0.15,0.13,0.23,0.57,0.69,0.28,0.17
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,730,822,868,"1,008","1,174","1,134","1,019","1,560","1,046",924,887,870
Expenses +,647,726,783,911,"1,057","1,038",940,"1,393","1,024",894,823,784
Operating Profit,83,96,85,97,117,96,78,167,22,30,65,86
OPM %,11%,12%,10%,10%,10%,8%,8%,11%,2%,3%,7%,10%
Other Income +,3,1,3,6,9,18,4,6,13,27,11,5
Interest,38,38,44,60,67,72,62,53,43,49,45,43
Depreciation,28,30,30,31,34,33,33,34,28,30,26,28
Profit before tax,20,29,15,11,25,10,-12,86,-36,-22,5,21
Tax %,33%,33%,22%,15%,6%,41%,-14%,34%,-37%,-35%,-34%,33%
Net Profit +,13,20,12,10,24,6,-10,56,-23,-14,7,14
EPS in Rs,1.66,2.45,1.44,1.10,2.63,0.30,-1.38,6.56,-3.70,-2.75,0.90,1.72
Dividend Payout %,18%,13%,25%,29%,12%,0%,0%,7%,0%,0%,0%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,32,32,32,32,40
Reserves,228,244,269,279,297,297,286,420,388,367,383,434
Borrowings +,462,499,555,702,725,680,584,520,566,507,467,397
Other Liabilities +,146,189,101,211,222,255,229,276,299,322,123,114
Total Liabilities,852,947,941,"1,208","1,259","1,247","1,114","1,249","1,285","1,228","1,005",984
Fixed Assets +,452,514,574,669,659,640,613,599,505,482,478,522
CWIP,50,20,3,1,1,4,17,30,5,10,15,11
Investments,5,4,21,1,1,0,0,2,6,4,4,6
Other Assets +,344,409,345,537,598,603,484,618,769,732,509,445
Total Assets,852,947,941,"1,208","1,259","1,247","1,114","1,249","1,285","1,228","1,005",984

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,113,59,26,22,67,139,160,56,1,125,23,117
Cash from Investing Activity +,-75,-60,-67,-42,-26,7,-12,-34,-46,-9,54,-45
