--- ABOUT ---
Bata India is primarily engaged in the business of manufacturing and trading of footwear and accessories through its retail and wholesale network.

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,610",748,"1,288",58.0

Book Value,Dividend Yield,ROCE,ROE
124,1.20,12.2,10.5

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,778.59,958.15,819.12,903.47,797.87,944.63,837.14,918.79,788.21,941.85,801.33,944.68,827.63
Expenses +,596.53,718.63,637.47,721.03,615.59,760.02,663.08,719.28,610.37,743.03,656.39,732.63,676.88
Operating Profit,182.06,239.52,181.65,182.44,182.28,184.61,174.06,199.51,177.84,198.82,144.94,212.05,150.75
OPM %,23.38%,25.00%,22.18%,20.19%,22.85%,19.54%,20.79%,21.71%,22.56%,21.11%,18.09%,22.45%,18.21%
Other Income +,9.94,13.27,-25.40,11.05,21.90,150.53,17.72,-0.92,22.80,12.21,13.16,13.11,-8.31
Interest,27.21,28.14,28.44,29.46,30.96,30.81,31.79,31.11,34.76,34.87,33.83,32.29,33.63
Depreciation,76.50,81.09,81.71,85.99,90.29,87.21,90.21,90.18,103.70,106.09,104.98,104.00,105.00
Profit before tax,88.29,143.56,46.10,78.04,82.93,217.12,69.78,77.30,62.18,70.07,19.29,88.87,3.81
Tax %,25.68%,25.54%,26.27%,25.69%,23.25%,19.83%,25.51%,24.08%,26.15%,25.79%,27.94%,25.62%,41.99%
Net Profit +,65.62,106.89,33.99,57.98,63.65,174.06,51.98,58.70,45.92,52.00,13.90,66.10,2.21
EPS in Rs,5.11,8.32,2.64,4.51,4.95,13.54,4.04,4.57,3.57,4.05,1.08,5.14,0.17
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 15m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,694","2,423","2,474","2,634","2,931","3,056","1,708","2,388","3,452","3,479","3,489","3,516"
Expenses +,"2,343","2,129","2,178","2,271","2,441","2,210","1,540","1,960","2,647","2,682","2,736","2,809"
Operating Profit,351,294,296,364,490,846,169,427,804,797,753,707
OPM %,13%,12%,12%,14%,17%,28%,10%,18%,23%,23%,22%,20%
Other Income +,75,97,18,49,66,66,87,54,39,19,186,30
Interest,18,16,15,15,14,129,108,99,118,126,141,135
Depreciation,79,79,65,60,64,296,265,242,295,339,371,420
Profit before tax,329,297,234,337,478,487,-117,140,430,351,426,182
Tax %,30%,27%,32%,35%,31%,32%,-23%,26%,25%,25%,22%,26%
Net Profit +,231,217,159,221,329,329,-89,103,323,263,331,134
EPS in Rs,18.00,16.91,12.37,17.16,25.60,25.59,-6.95,8.01,25.13,20.42,25.73,10.44
Dividend Payout %,18%,21%,28%,23%,24%,16%,-58%,680%,54%,59%,74%,86%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,64,64,64,64,64,64,64,64,64,64,64,64
Reserves,957,"1,157","1,260","1,410","1,678","1,830","1,694","1,750","1,374","1,463","1,511","1,531"
Borrowings +,0,0,0,0,0,"1,249","1,032","1,094","1,246","1,357","1,446","1,387"
Other Liabilities +,616,512,599,667,732,589,542,616,587,466,801,796
Total Liabilities,"1,637","1,733","1,923","2,141","2,474","3,732","3,332","3,525","3,272","3,350","3,823","3,778"
Fixed Assets +,309,304,268,296,317,"1,369","1,120","1,226","1,392","1,509","1,800","1,651"
CWIP,48,19,30,12,17,20,34,5,4,4,14,4
Investments,0,0,0,0,0,0,0,0,0,0,1,36
Other Assets +,"1,280","1,410","1,625","1,833","2,140","2,343","2,179","2,294","1,876","1,837","2,008","2,087"
Total Assets,"1,637","1,733","1,923","2,141","2,474","3,732","3,332","3,525","3,272","3,350","3,823","3,778"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,119,204,257,160,345,582,461,212,629,453,738,595
Cash from Investing Activity +,-66,-114,-229,-112,-278,-189,-53,93,439,40,53,-257
Cash from Financing Activity +,-50,-52,-56,-56,-63,-436,-369,-341,"-1,011",-518,-638,-531
Net Cash Flow,2,37,-28,-7,4,-43,39,-37,57,-24,153,-194
Free Cash Flow,-15,165,209,85,263,496,425,164,539,355,670,530
CFO/OP,75%,106%,109%,76%,99%,91%,245%,51%,90%,69%,114%,96%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8,11,10,12,8,8,17,11,9,8,12,19
Inventory Days,208,217,225,232,238,246,265,292,218,227,195,164
Days Payable,105,104,129,146,146,142,192,153,99,73,84,77
Cash Conversion Cycle,111,124,106,99,100,112,90,150,128,162,123,107
