--- ABOUT ---
"AGC Networks Ltd. (AGC), incorporated in 1986 by Tata Telecom Pvt. Ltd. to manufacture telecommunication equipment. It is currently held by Essar Telecom Ltd. Over the years, AGC evolved into an information and communication (ICT) solutions provider and integrator with a differentiated vertical approach in business communication systems, applications and services mainly within India.The company is present at multiple geographies such as Middle East, Africa, North America, Australia, New Zealand, Singapore, Philippines and UK servicing over 8000+ customers. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"18,168","1,023","1,104 / 435",66.2

Book Value,Dividend Yield,ROCE,ROE
72.5,0.10,22.2,26.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,682","1,571","1,574","1,655","1,480","1,423","1,497","1,502","1,545","1,387","1,585","1,660","1,691"
Expenses +,"1,585","1,484","1,476","1,541","1,355","1,309","1,365","1,368","1,402","1,282","1,442","1,513","1,534"
Operating Profit,97,87,99,114,125,115,133,134,143,105,143,147,157
OPM %,6%,6%,6%,7%,8%,8%,9%,9%,9%,8%,9%,9%,9%
Other Income +,-13,-2,-5,2,-8,-14,-17,-12,-10,1,-13,-21,-5
Interest,34,33,32,36,40,34,32,31,47,34,39,40,45
Depreciation,31,28,29,28,29,26,28,31,28,27,29,30,31
Profit before tax,19,24,33,52,47,40,55,59,58,45,61,57,76
Tax %,-19%,2%,4%,21%,13%,8%,6%,5%,-5%,-5%,9%,12%,15%
Net Profit +,23,24,32,41,41,37,51,56,60,47,56,50,65
EPS in Rs,1.38,1.43,1.90,2.43,2.43,2.21,3.04,3.31,3.57,2.79,3.27,2.92,3.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,891,881,780,733,"1,853","4,994","4,674","5,370","6,288","6,282","5,967","6,322"
Expenses +,867,876,747,700,"1,806","4,666","4,310","5,112","6,014","5,855","5,429","5,765"
Operating Profit,24,6,32,33,47,328,364,258,273,426,538,557
OPM %,3%,1%,4%,5%,3%,7%,8%,5%,4%,7%,9%,9%
Other Income +,38,7,13,19,-67,-178,-75,0,-25,-14,-68,-44
Interest,26,27,26,25,45,132,98,74,111,141,145,158
Depreciation,18,8,7,8,15,92,96,99,107,114,113,116
Profit before tax,18,-22,13,19,-79,-73,96,86,29,156,212,239
Tax %,16%,55%,18%,22%,-1%,10%,19%,15%,20%,12%,3%,9%
Net Profit +,15,-35,10,15,-79,-80,78,73,24,138,205,218
EPS in Rs,1.04,-2.43,0.73,1.05,-5.30,-5.38,4.80,4.43,1.41,8.19,12.09,12.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,8%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,28,28,28,28,30,30,33,33,34,34,34,36
Reserves,58,25,41,47,-11,-206,174,228,262,447,725,"1,251"
Borrowings +,161,177,173,158,808,596,328,481,628,712,942,"1,153"
Other Liabilities +,385,393,346,346,"1,605","1,886","1,768","1,911","2,078","1,607","1,371","1,854"
Total Liabilities,633,623,589,580,"2,432","2,306","2,303","2,652","3,002","2,800","3,072","4,294"
Fixed Assets +,90,109,111,114,399,557,622,732,794,808,769,883
CWIP,0,0,0,0,0,0,0,0,2,0,0,0
Investments,0,0,0,0,0,0,0,0,30,32,33,0
Other Assets +,543,514,478,467,"2,032","1,749","1,681","1,920","2,175","1,960","2,271","3,410"
Total Assets,633,623,589,580,"2,432","2,306","2,303","2,652","3,002","2,800","3,072","4,294"

--- CASH FLOW ---
