--- ABOUT ---
"Incorporated in 2011, B&B Triplewall Containers Ltd manufactures corrugated boxes and boards [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
438,214,240,21.2

Book Value,Dividend Yield,ROCE,ROE
64.4,0.00,13.7,17.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,80.29,85.61,95.36,91.56,102.87,106.24,120.51,123.44,141.57,152.25,146.33,155.43,162.34
Expenses +,69.23,76.10,84.84,82.09,92.29,98.12,111.72,116.18,125.76,134.00,124.83,132.91,134.05
Operating Profit,11.06,9.51,10.52,9.47,10.58,8.12,8.79,7.26,15.81,18.25,21.50,22.52,28.29
OPM %,13.78%,11.11%,11.03%,10.34%,10.28%,7.64%,7.29%,5.88%,11.17%,11.99%,14.69%,14.49%,17.43%
Other Income +,0.33,0.31,0.23,0.19,0.17,0.19,0.30,0.18,0.31,0.26,0.38,0.21,0.39
Interest,1.64,1.55,1.52,1.81,2.18,2.40,3.77,5.73,5.76,6.02,5.71,5.91,5.09
Depreciation,2.43,2.08,2.61,2.89,3.41,2.46,5.01,10.63,13.04,10.05,10.20,10.28,12.08
Profit before tax,7.32,6.19,6.62,4.96,5.16,3.45,0.31,-8.92,-2.68,2.44,5.97,6.54,11.51
Tax %,24.04%,27.14%,23.72%,27.42%,29.65%,27.54%,67.74%,-24.55%,-26.12%,28.69%,26.97%,28.13%,22.76%
Net Profit +,5.57,4.51,5.05,3.60,3.63,2.50,0.11,-6.73,-1.98,1.74,4.36,4.70,8.90
EPS in Rs,2.72,2.20,2.56,1.76,1.77,1.31,0.11,-3.22,-0.89,0.95,2.28,2.41,4.43
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,313,337,375,492,616
Expenses +,268,298,336,452,526
Operating Profit,45,38,39,40,91
OPM %,14%,11%,11%,8%,15%
Other Income +,1,1,1,1,1
Interest,5,6,7,18,23
Depreciation,8,9,10,31,43
Profit before tax,33,24,23,-8,26
Tax %,25%,25%,27%,-22%,26%
Net Profit +,24,18,17,-6,20
EPS in Rs,11.92,8.74,8.24,-2.70,10.06
Dividend Payout %,8%,11%,12%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,21,21,21,21,21
Reserves,68,84,99,91,112
Borrowings +,59,131,189,240,235
Other Liabilities +,33,39,56,72,72
Total Liabilities,180,274,364,423,439
Fixed Assets +,55,59,67,239,212
CWIP,7,60,150,0,4
Investments,0,0,0,0,1
Other Assets +,118,155,148,184,223
Total Assets,180,274,364,423,439

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,8,2,57,23,30
Cash from Investing Activity +,-12,-64,-107,-38,-7
Cash from Financing Activity +,4,64,49,15,-23
Net Cash Flow,-0,1,-1,0,0
Free Cash Flow,-5,-63,-51,-16,22
CFO/OP,33%,24%,160%,65%,36%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,59,63,77,65,59
Inventory Days,82,89,72,83,94
Days Payable,41,48,57,59,40
Cash Conversion Cycle,100,104,91,88,112
Working Capital Days,49,46,16,0,16
ROCE %,,16%,11%,3%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,72.06%,73.76%,73.76%,73.76%
Public +,28.57%,28.58%,28.58%,28.57%,28.58%,28.56%,28.58%,28.57%,27.94%,26.23%,26.24%,26.24%
No. of Shareholders,"1,629","2,010","3,050","3,098","3,180","3,158","3,220","3,167","3,096","3,079","3,000","2,852"

--- CAGR BOXES ---




