--- ABOUT ---
"Incorporated in 1995, Mrs. Bectors Food Specialities Ltd  manufactures biscuits and bakery products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,843",190,318,41.5

Book Value,Dividend Yield,ROCE,ROE
41.4,0.63,14.2,11.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,346,374,415,429,406,439,496,492,446,473,551,533,486
Expenses +,298,316,350,368,348,375,426,431,391,415,482,465,424
Operating Profit,48,58,65,61,59,64,70,61,56,58,69,68,62
OPM %,14%,15%,16%,14%,14%,15%,14%,12%,12%,12%,13%,13%,13%
Other Income +,4,5,3,5,7,5,6,7,11,7,7,7,10
Interest,2,2,3,3,4,4,4,3,2,3,3,2,3
Depreciation,13,14,15,16,16,17,19,19,20,21,24,23,22
Profit before tax,37,47,50,46,45,48,52,46,45,41,49,50,47
Tax %,25%,25%,25%,25%,26%,25%,26%,26%,24%,25%,25%,25%,24%
Net Profit +,28,35,37,35,34,35,39,35,34,31,37,38,35
EPS in Rs,0.94,1.18,1.27,1.18,1.14,1.20,1.27,1.13,1.12,1.01,1.19,1.24,1.15
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,691,784,762,881,988,"1,362","1,624","1,874","2,044"
Expenses +,604,687,669,739,865,"1,187","1,381","1,622","1,786"
Operating Profit,86,97,93,141,123,175,243,252,258
OPM %,12%,12%,12%,16%,12%,13%,15%,13%,13%
Other Income +,2,2,3,10,6,12,19,29,31
Interest,7,13,16,10,7,13,12,13,12
Depreciation,28,35,42,45,46,53,61,76,90
Profit before tax,53,51,39,97,76,121,188,192,187
Tax %,32%,35%,22%,26%,25%,25%,25%,25%,25%
Net Profit +,36,33,30,72,57,90,140,143,141
EPS in Rs,1.25,1.16,1.06,2.46,1.94,3.06,4.77,4.67,4.59
Dividend Payout %,12%,13%,14%,20%,26%,20%,14%,26%,28%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,57,57,57,59,59,59,59,61,61
Reserves,209,237,262,372,410,486,604,"1,104","1,210"
Borrowings +,139,165,134,132,136,127,245,184,191
Other Liabilities +,105,117,113,118,117,160,192,216,226
Total Liabilities,511,577,566,681,722,831,"1,100","1,565","1,687"
Fixed Assets +,261,363,354,354,411,426,524,623,931
CWIP,92,16,7,55,12,49,94,238,90
Investments,4,4,4,10,11,11,4,4,7
Other Assets +,154,195,202,261,288,345,478,700,660
Total Assets,511,577,566,681,722,831,"1,100","1,565","1,687"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,,109,110,84,164,153,161,218
Cash from Investing Activity +,,,-43,-125,-57,-151,-224,-331,-213
Cash from Financing Activity +,,,-51,28,-30,-37,69,248,-54
Net Cash Flow,,,15,14,-2,-23,-1,79,-49
Free Cash Flow,,,68,30,25,56,-61,-97,5
CFO/OP,,,131%,94%,86%,111%,83%,84%,101%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,37,47,36,30,28,24,30,26,31
Inventory Days,34,30,39,45,52,39,44,50,41
Days Payable,37,42,42,45,38,38,45,38,38
Cash Conversion Cycle,33,35,33,30,42,26,29,38,34
Working Capital Days,4,14,7,23,19,13,8,12,18
ROCE %,,15%,12%,21%,14%,21%,25%,18%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.17%,51.18%,51.18%,51.19%,51.19%,49.03%,49.03%,49.04%,49.04%,49.04%,49.04%,49.04%
FIIs +,7.57%,9.10%,9.32%,8.39%,8.22%,13.12%,15.63%,16.03%,15.75%,14.38%,12.81%,10.40%
DIIs +,18.24%,18.71%,17.98%,21.10%,20.77%,20.92%,19.71%,19.53%,20.07%,22.06%,23.55%,25.20%
Public +,23.02%,21.02%,21.53%,19.33%,19.82%,16.91%,15.62%,15.42%,15.14%,14.51%,14.60%,15.35%
No. of Shareholders,"74,731","85,552","93,210","91,418","95,302","93,130","94,229","98,170","95,165","94,127","98,788","1,01,347"

--- CAGR BOXES ---




