--- ABOUT ---
"Incorporated in 1983, Bhartiya International Ltd is in the business of manufacturing and trading of leather products and textile products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
962,717,988 / 602,71.6

Book Value,Dividend Yield,ROCE,ROE
363,0.00,8.05,2.87

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,146.78,171.87,227.65,198.35,179.66,229.24,295.91,262.97,241.14,279.96,399.40,365.95,312.70
Expenses +,131.09,158.54,201.80,184.29,165.98,216.94,267.44,245.56,222.34,254.11,363.96,337.27,299.54
Operating Profit,15.69,13.33,25.85,14.06,13.68,12.30,28.47,17.41,18.80,25.85,35.44,28.68,13.16
OPM %,10.69%,7.76%,11.36%,7.09%,7.61%,5.37%,9.62%,6.62%,7.80%,9.23%,8.87%,7.84%,4.21%
Other Income +,54.71,0.71,0.67,0.87,5.43,0.63,1.82,1.15,15.51,0.90,0.26,0.73,0.56
Interest,8.44,9.73,10.62,10.44,11.34,10.25,12.12,11.76,11.25,11.62,13.08,12.55,12.49
Depreciation,6.54,6.54,6.34,6.58,6.08,6.40,6.40,6.54,6.42,6.47,6.45,6.50,7.38
Profit before tax,55.42,-2.23,9.56,-2.09,1.69,-3.72,11.77,0.26,16.64,8.66,16.17,10.36,-6.15
Tax %,1.23%,59.19%,41.53%,55.98%,16.57%,45.70%,34.83%,684.62%,10.40%,35.57%,38.53%,35.23%,42.60%
Net Profit +,54.73,-3.54,5.58,-3.26,1.41,-5.43,7.67,-1.52,14.91,5.58,9.93,6.70,-8.78
EPS in Rs,44.85,-2.89,4.58,-2.66,1.16,-4.44,6.29,-1.24,11.49,4.30,7.40,5.00,-6.55
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,558,622,642,711,748,721,548,694,799,778,"1,029","1,358"
Expenses +,508,569,598,661,688,661,521,684,712,700,928,"1,255"
Operating Profit,50,53,44,49,60,60,28,10,87,78,101,103
OPM %,9%,9%,7%,7%,8%,8%,5%,1%,11%,10%,10%,8%
Other Income +,-1,-2,6,7,13,4,5,32,52,7,6,2
Interest,13,13,18,23,35,29,28,29,45,52,56,50
Depreciation,6,6,6,7,8,10,10,24,25,26,26,27
Profit before tax,30,32,26,26,29,26,-6,-11,68,7,25,29
Tax %,28%,29%,31%,33%,33%,17%,5%,49%,9%,97%,37%,54%
Net Profit +,21,25,18,17,20,21,-6,-17,63,0,16,13
EPS in Rs,18.73,21.09,15.37,14.34,16.23,17.43,-5.04,-13.54,51.29,0.18,12.06,10.02
Dividend Payout %,5%,6%,8%,8%,7%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,12,12,12,12,12,12,12,12,12,13,13
Reserves,166,211,254,363,383,335,328,311,376,378,436,474
Borrowings +,204,222,265,348,383,441,437,478,501,517,479,542
Other Liabilities +,92,100,88,187,140,117,126,142,123,190,244,329
Total Liabilities,473,544,619,910,917,904,903,943,"1,012","1,097","1,172","1,359"
Fixed Assets +,67,75,87,97,114,125,187,194,199,179,159,150
CWIP,6,9,8,25,10,11,8,8,0,1,3,12
Investments,38,38,43,127,123,47,38,6,54,43,44,27
Other Assets +,362,422,481,661,670,721,669,735,758,873,966,"1,170"
Total Assets,473,544,619,910,917,904,903,943,"1,012","1,097","1,172","1,359"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-21,-12,-2,-56,8,-7,26,46,12,66,44,40
Cash from Investing Activity +,-8,-14,-21,-28,-1,-12,-24,-46,-22,-21,-14,-40
