--- ABOUT ---
Birla corporation It is a company of M.P Birla Group. The Co is engaged in the manufacturing of cement of various kinds and also has a presence in the jute goods industry. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,842","1,018","1,537",14.0

Book Value,Dividend Yield,ROCE,ROE
956,0.98,9.78,7.82

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,463","2,407","2,286","2,310","2,654","2,190","1,953","2,257","2,815","2,454","2,207","2,159","2,836"
Expenses +,"2,188","2,109","1,997","1,932","2,182","1,932","1,775","2,009","2,281","2,107","1,902","1,866","2,326"
Operating Profit,274,298,289,378,472,258,177,248,534,347,305,293,510
OPM %,11%,12%,13%,16%,18%,12%,9%,11%,19%,14%,14%,14%,18%
Other Income +,67,16,27,16,33,17,17,15,10,32,27,-15,67
Interest,89,97,95,97,82,86,85,83,73,71,67,65,62
Depreciation,140,140,143,145,150,146,145,139,142,131,134,133,134
Profit before tax,113,76,77,153,273,44,-36,41,328,177,131,80,380
Tax %,25%,22%,24%,29%,29%,26%,-29%,25%,22%,33%,31%,34%,23%
Net Profit +,85,60,58,109,193,33,-25,31,257,120,90,53,295
EPS in Rs,11.03,7.75,7.58,14.17,25.11,4.24,-3.27,4.05,33.32,15.53,11.75,6.85,38.28
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,210","3,268","4,348","5,730","6,549","6,916","6,785","7,461","8,682","9,656","9,214","9,656"
Expenses +,"2,908","2,982","3,724","4,922","5,600","5,569","5,434","6,351","7,898","8,216","7,994","8,201"
Operating Profit,302,286,624,808,949,"1,347","1,352","1,110",785,"1,440","1,221","1,454"
OPM %,9%,9%,14%,14%,14%,19%,20%,15%,9%,15%,13%,15%
Other Income +,143,146,139,62,78,74,28,67,107,90,56,110
Interest,78,82,277,378,371,388,296,243,339,372,327,264
Depreciation,154,149,256,332,339,352,371,397,510,578,572,532
Profit before tax,213,201,230,160,317,682,713,538,43,580,378,769
Tax %,18%,17%,5%,4%,19%,26%,12%,26%,6%,27%,22%,27%
Net Profit +,175,168,219,154,256,505,630,399,40,421,295,558
EPS in Rs,22.76,21.78,28.50,19.99,33.20,65.60,81.83,51.76,5.26,54.61,38.34,72.41
Dividend Payout %,26%,28%,23%,33%,23%,11%,12%,19%,48%,18%,26%,17%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,77,77,77,77,77,77,77,77,77,77,77,77
Reserves,"2,550","2,848","3,209","4,203","4,418","4,729","5,409","5,972","5,904","6,597","6,938","7,288"
Borrowings +,"1,302","1,281","4,255","4,130","4,049","4,282","4,146","4,326","4,462","3,903","3,489","3,391"
Other Liabilities +,"1,066","1,023","2,157","2,664","2,787","3,087","3,268","3,488","3,646","3,880","3,858","3,755"
Total Liabilities,"4,995","5,229","9,698","11,075","11,332","12,175","12,901","13,863","14,089","14,458","14,361","14,510"
