--- ABOUT ---
"Incorporated in 1986, Birla Precision Technologies Ltd manufactures and sells Machine Tool Accessories, Tools, Precision / Automotive Components and Castings [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
259,37.9,54.5,23.0

Book Value,Dividend Yield,ROCE,ROE
25.6,0.13,9.54,6.79

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,64.75,40.72,56.95,66.97,60.91,46.94,55.65,56.80,54.17,59.62,63.76,57.55,66.19
Expenses +,61.99,36.28,51.32,55.86,57.32,43.25,51.40,52.69,47.91,53.01,55.83,57.54,63.56
Operating Profit,2.76,4.44,5.63,11.11,3.59,3.69,4.25,4.11,6.26,6.61,7.93,0.01,2.63
OPM %,4.26%,10.90%,9.89%,16.59%,5.89%,7.86%,7.64%,7.24%,11.56%,11.09%,12.44%,0.02%,3.97%
Other Income +,4.33,0.19,0.56,0.39,0.88,0.86,-0.15,0.79,0.95,0.26,0.25,3.95,4.18
Interest,0.80,0.79,0.73,0.75,1.23,1.19,1.17,1.48,1.88,1.31,1.12,1.29,1.30
Depreciation,1.74,1.73,1.65,1.62,1.49,2.16,1.98,1.58,0.86,1.09,1.04,1.03,1.59
Profit before tax,4.55,2.11,3.81,9.13,1.75,1.20,0.95,1.84,4.47,4.47,6.02,1.64,3.92
Tax %,115.38%,22.27%,39.63%,24.10%,181.14%,43.33%,40.00%,49.46%,17.90%,35.79%,22.76%,7.93%,43.11%
Net Profit +,-0.70,1.64,2.30,6.93,-1.43,0.68,0.56,0.94,3.67,2.88,4.66,1.51,2.23
EPS in Rs,-0.11,0.25,0.35,1.06,-0.22,0.10,0.08,0.14,0.56,0.44,0.68,0.22,0.33
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,174,171,246,253,226,214,247
Expenses +,166,162,228,236,200,195,230
Operating Profit,7,9,19,17,25,18,17
OPM %,4%,5%,8%,7%,11%,9%,7%
Other Income +,-10,2,2,10,2,2,9
Interest,6,5,5,3,4,6,5
Depreciation,5,4,4,5,6,7,5
Profit before tax,-13,1,11,19,17,8,16
Tax %,0%,2%,1%,28%,44%,31%,30%
Net Profit +,-13,1,11,14,9,6,11
EPS in Rs,-2.34,0.22,1.71,2.16,1.43,0.89,1.65
Dividend Payout %,0%,0%,0%,0%,7%,6%,3%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,13,13,13,13,13,14
Reserves,89,94,105,118,137,144,161
Borrowings +,28,27,24,32,44,56,53
Other Liabilities +,60,66,72,71,73,64,92
Total Liabilities,188,199,214,235,268,277,320
Fixed Assets +,32,29,33,69,67,61,80
CWIP,0,0,9,0,4,14,4
Investments,0,7,7,7,7,16,12
Other Assets +,156,163,165,159,189,186,225
Total Assets,188,199,214,235,268,277,320

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,6,25,22,27,-10,8,22
Cash from Investing Activity +,0,-20,-8,-32,-3,-25,-19
Cash from Financing Activity +,-6,-1,-8,5,18,7,3
Net Cash Flow,-0,3,6,-1,4,-10,6
Free Cash Flow,5,23,4,-0,-19,-2,-2
CFO/OP,80%,270%,119%,170%,-24%,83%,127%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68,70,55,58,68,78,95
Inventory Days,314,268,271,288,425,329,291
Days Payable,178,169,155,166,230,193,86
Cash Conversion Cycle,203,169,171,180,263,214,301
Working Capital Days,132,110,77,51,84,93,42
ROCE %,,5%,12%,12%,11%,7%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.84%,59.84%,59.84%,60.28%,60.28%,60.28%,60.28%,60.29%,60.29%,61.68%,61.68%,61.68%
FIIs +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%
Public +,40.13%,40.14%,40.12%,39.71%,39.70%,39.70%,39.70%,39.69%,39.70%,38.28%,38.31%,38.30%
No. of Shareholders,"67,064","66,649","66,915","68,798","68,081","67,303","67,398","67,131","66,923","66,711","66,246","66,163"

--- CAGR BOXES ---




