--- ABOUT ---
"Bombay Dyeing & Manufacturing Company is currently engaged in the business of Real Estate Development, Polyester Staple Fibre and Retail (Textiles). [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,788",135,197,99.9

Book Value,Dividend Yield,ROCE,ROE
111,0.30,1.99,1.20

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,670,498,441,369,381,451,381,415,359,378,363,324,396
Expenses +,766,495,425,393,425,439,422,399,372,392,375,352,397
Operating Profit,-95,3,15,-24,-44,12,-42,16,-13,-14,-13,-27,-2
OPM %,-14%,1%,4%,-7%,-12%,3%,-11%,4%,-4%,-4%,-4%,-8%,-0%
Other Income +,21,6,82,"3,898",71,22,532,90,36,37,30,26,42
Interest,135,115,148,58,5,6,8,3,3,4,4,3,3
Depreciation,9,8,8,8,8,8,8,8,8,8,9,8,9
Profit before tax,-219,-113,-59,"3,807",14,20,474,94,13,11,5,-13,28
Tax %,12%,6%,-11%,20%,-369%,24%,17%,25%,8%,-24%,59%,-22%,26%
Net Profit +,-246,-120,-52,"3,054",66,16,393,70,12,14,2,-10,21
EPS in Rs,-11.92,-5.80,-2.52,147.87,3.22,0.75,19.03,3.39,0.56,0.67,0.09,-0.48,1.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,385","1,848","1,924","2,662","4,430","1,895","1,193","2,001","2,674","1,688","1,605","1,460"
Expenses +,"2,132","1,660","1,647","2,077","2,722","1,566","1,167","1,850","2,708","1,737","1,632","1,516"
Operating Profit,253,187,276,585,"1,708",328,26,151,-35,-49,-26,-56
OPM %,11%,10%,14%,22%,39%,17%,2%,8%,-1%,-3%,-2%,-4%
Other Income +,58,46,27,-105,45,49,89,-129,102,"4,057",680,134
Interest,232,290,368,413,489,554,588,524,523,326,19,13
Depreciation,47,34,32,30,30,33,34,33,33,31,33,33
Profit before tax,31,-90,-97,38,"1,234",-209,-507,-534,-489,"3,650",601,31
Tax %,34%,1%,30%,7%,0%,-257%,-7%,-14%,6%,19%,18%,14%
Net Profit +,20,-91,-127,35,"1,228",328,-469,-460,-517,"2,949",490,27
EPS in Rs,0.99,-4.41,-6.13,1.70,60.12,15.87,-22.71,-22.29,-25.02,142.77,23.73,1.30
Dividend Payout %,81%,-11%,-11%,59%,2%,1%,0%,0%,0%,1%,5%,31%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,41,41,41,41,41,41,41,41,41,41,41,41
Reserves,"1,511","1,245",293,596,168,46,-210,-772,"-1,287","1,833","2,330","2,244"
Borrowings +,"1,835","2,519","2,542","2,803","3,971","4,153","4,172","4,442","3,642",3,3,3
Other Liabilities +,698,654,761,707,"1,000",561,635,520,598,684,622,675
Total Liabilities,"4,085","4,459","3,637","4,147","5,181","4,800","4,639","4,231","2,994","2,560","2,995","2,963"
Fixed Assets +,879,631,572,556,528,521,488,466,442,575,583,600
CWIP,75,72,75,74,5,1,1,0,0,14,27,61
Investments,54,54,773,950,"1,062",377,474,367,194,747,"1,467","1,303"
Other Assets +,"3,077","3,701","2,218","2,566","3,586","3,901","3,677","3,397","2,357","1,225",919,999
Total Assets,"4,085","4,459","3,637","4,147","5,181","4,800","4,639","4,231","2,994","2,560","2,995","2,963"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,48,-436,169,-451,-774,99,604,522,861,355,-17,-182
Cash from Investing Activity +,-89,49,120,559,190,271,141,6,177,"3,532",35,209
Cash from Financing Activity +,29,405,-254,-154,600,-398,-591,-268,"-1,320","-3,965",-41,-38
Net Cash Flow,-12,18,36,-47,16,-28,153,260,-282,-78,-23,-11
Free Cash Flow,51,-438,171,-257,-674,88,659,512,855,"4,591",467,-256
CFO/OP,21%,-228%,65%,-70%,-45%,32%,"2,334%",352%,"-2,517%","-1,064%",-73%,382%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,41,47,26,29,90,138,200,54,36,11,10,11
Inventory Days,244,258,149,126,574,822,"1,252",490,194,69,78,151
Days Payable,165,113,126,108,136,104,236,91,64,101,87,122
Cash Conversion Cycle,120,193,48,47,527,855,"1,217",453,166,-21,2,39
Working Capital Days,31,-22,-218,158,148,349,134,61,-19,-4,28,244
ROCE %,,5%,10%,19%,45%,8%,1%,6%,1%,1%,3%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,53.60%,53.60%,53.58%,53.58%,53.58%,53.58%,53.59%,53.59%,53.58%,53.58%,53.56%,53.56%
FIIs +,1.39%,0.98%,0.97%,1.92%,0.73%,1.06%,1.20%,1.58%,0.96%,0.89%,0.88%,1.04%
DIIs +,1.72%,1.54%,1.27%,1.42%,1.43%,1.45%,1.45%,1.42%,1.13%,0.98%,0.98%,0.99%
Public +,43.31%,43.90%,44.18%,43.06%,44.26%,43.91%,43.78%,43.43%,44.33%,44.55%,44.58%,44.40%
No. of Shareholders,"1,40,726","1,48,123","1,45,543","1,35,374","1,36,806","1,39,706","1,47,960","1,50,289","1,51,349","1,53,308","1,49,818","1,48,774"

--- CAGR BOXES ---




