--- ABOUT ---
"Incorporated in 2006, Bharat Road Network Ltd is in the business of designing, building, operating, maintaining and carrying out all other activities pertaining to road projects, under the aforesaid SPV model [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
158,18.8,26.5,

Book Value,Dividend Yield,ROCE,ROE
48.0,0.00,-6.48,-8.08

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,94,99,91,97,93,103,76,232,47,46,17,42,49
Expenses +,109,47,98,49,49,53,68,54,42,18,64,8,88
Operating Profit,-15,52,-7,49,44,50,8,177,5,28,-47,34,-40
OPM %,-16%,53%,-7%,50%,47%,48%,11%,76%,11%,61%,-276%,82%,-81%
Other Income +,2,2,2,2,5,5,5,7,6,5,67,8,-48
Interest,46,47,48,47,46,46,5,1,1,0,0,0,0
Depreciation,15,16,16,16,34,21,18,18,18,19,7,17,22
Profit before tax,-74,-9,-68,-12,-31,-13,-10,165,-8,14,12,25,-110
Tax %,-7%,-22%,-3%,-16%,-6%,-16%,2%,0%,-10%,3%,1%,-1%,0%
Net Profit +,-69,-7,-66,-10,-30,-11,-10,164,-7,13,12,25,-110
EPS in Rs,-7.20,-1.40,-6.64,-1.87,-3.42,-1.85,-0.85,20.20,-0.57,1.22,0.57,2.19,-7.51
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,8,1,142,153,401,299,210,216,326,380,274,154
Expenses +,9,4,173,172,248,116,163,266,322,242,218,179
Operating Profit,-1,-3,-32,-18,153,184,46,-50,4,138,57,-24
OPM %,-11%,-388%,-22%,-12%,38%,61%,22%,-23%,1%,36%,21%,-16%
Other Income +,33,4,1,98,48,34,35,-133,14,11,206,31
Interest,41,50,31,44,205,193,167,182,184,188,54,0
Depreciation,0,0,0,0,34,36,39,43,57,82,74,66
Profit before tax,-8,-50,-62,35,-37,-12,-125,-408,-222,-121,134,-59
Tax %,0%,0%,1%,33%,16%,9%,-5%,-5%,-8%,-6%,-2%,1%
Net Profit +,-26,-93,-62,23,-44,-13,-119,-389,-205,-113,136,-59
EPS in Rs,-26.42,-92.54,-11.40,2.78,-4.56,-1.90,-13.61,-44.83,-24.96,-13.34,16.81,-3.53
Dividend Payout %,0%,0%,0%,36%,-11%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,55,84,84,84,84,84,84,84,84,84
Reserves,-4,-77,386,979,928,917,802,425,218,106,247,319
Borrowings +,567,885,559,"1,041","1,372","1,556","1,539","1,492","1,413","1,328",434,434
Other Liabilities +,56,18,231,465,581,767,717,845,991,"1,216",670,599
Total Liabilities,629,837,"1,231","2,569","2,965","3,324","3,143","2,846","2,706","2,734","1,435","1,436"
Fixed Assets +,2,2,25,893,869,"1,689","1,661","1,629","1,536","1,453",578,501
CWIP,160,303,420,542,797,100,132,158,242,347,1,0
Investments,381,361,449,562,523,486,426,206,119,120,116,93
Other Assets +,86,171,337,573,776,"1,048",924,853,810,814,740,842
Total Assets,629,837,"1,231","2,569","2,965","3,324","3,143","2,846","2,706","2,734","1,435","1,436"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-32,-35,-9,143,296,238,51,22,259,264,71,-126
Cash from Investing Activity +,38,-215,-333,"-1,031",-365,-157,168,196,81,-208,-62,328
Cash from Financing Activity +,-30,264,353,881,86,-86,-199,-233,-250,-114,-68,-80
Net Cash Flow,-24,14,11,-7,17,-5,20,-15,90,-57,-59,122
Free Cash Flow,-133,-178,-349,-0,-25,82,66,-6,251,160,19,-133
CFO/OP,"3,500%","1,157%",26%,-801%,198%,130%,114%,-47%,"6,047%",191%,128%,474%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85,"1,124",12,247,90,144,236,233,66,0,1,3
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,85,"1,124",12,247,90,144,236,233,66,0,1,3
Working Capital Days,"-1,877",-754,-103,-393,-93,10,-32,-235,-411,-845,-467,-138
ROCE %,6%,0%,-3%,5%,7%,7%,1%,-4%,-2%,4%,15%,-6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,53.76%,53.76%,53.76%,52.23%,52.10%,51.97%,51.97%,51.97%,51.97%,51.97%,51.97%,51.97%
FIIs +,0.00%,0.00%,0.00%,0.06%,0.00%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%
Public +,46.24%,46.24%,46.24%,47.70%,47.89%,48.04%,47.92%,47.92%,47.91%,47.92%,47.92%,47.92%
No. of Shareholders,"21,869","23,599","25,670","51,896","52,534","51,038","50,492","51,195","52,763","54,581","53,152","52,422"

--- CAGR BOXES ---




