--- ABOUT ---
"Bombay Stock Exchange (BSE Ltd) is an Indian Stock Exchange located at Dalal Street in Mumbai. The Co. facilitates a market for trading in equity, currencies, debt instruments, derivatives, and mutual funds. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,63,742","4,020","4,447",65.9

Book Value,Dividend Yield,ROCE,ROE
164,0.25,58.0,44.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,259,260,362,426,539,602,813,768,847,958,"1,068","1,244","1,564"
Expenses +,132,146,173,280,388,319,358,533,362,332,388,512,523
Operating Profit,127,114,189,146,151,282,456,236,484,625,680,732,"1,041"
OPM %,49%,44%,52%,34%,28%,47%,56%,31%,57%,65%,64%,59%,67%
Other Income +,22,430,24,22,29,91,30,83,205,115,91,108,78
Interest,6,7,9,0,0,0,0,0,0,0,0,0,0
Depreciation,21,21,23,25,26,24,29,30,30,27,32,45,55
Profit before tax,122,516,182,143,154,349,457,288,660,713,739,795,"1,063"
Tax %,27%,15%,35%,26%,30%,24%,24%,24%,25%,25%,25%,25%,25%
Net Profit +,89,440,118,106,107,264,346,219,494,538,557,597,795
EPS in Rs,2.24,10.89,2.97,2.66,2.64,6.53,8.54,5.41,12.17,13.28,13.73,14.78,19.58
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,584,635,572,676,652,609,630,841,925,"1,568","3,212","4,834"
Expenses +,293,392,381,401,434,482,429,489,609,857,"1,336","1,755"
Operating Profit,290,243,190,274,219,127,202,352,316,711,"1,876","3,079"
OPM %,50%,38%,33%,41%,34%,21%,32%,42%,34%,45%,58%,64%
Other Income +,-10,23,137,529,56,62,19,52,78,417,22,392
Interest,1,0,1,1,1,2,10,28,37,39,32,0
Depreciation,59,54,50,45,51,51,58,48,60,95,113,159
Profit before tax,221,212,276,757,223,135,153,327,297,995,"1,754","3,311"
Tax %,20%,17%,4%,7%,10%,11%,7%,25%,31%,22%,25%,25%
Net Profit +,177,177,265,702,199,121,142,245,206,772,"1,322","2,487"
EPS in Rs,1.66,1.38,4.57,14.22,4.27,3.02,3.58,6.27,5.43,19.17,32.65,61.31
Dividend Payout %,33%,61%,68%,28%,78%,63%,65%,72%,74%,26%,23%,16%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,11,11,11,10,9,9,27,27,27,27,82
Reserves,"2,450","2,512","2,652","3,070","2,918","2,416","2,498","2,627","2,674","3,275","4,397","6,591"
Borrowings +,4,1,3,0,0,0,0,0,0,0,0,0
Other Liabilities +,"1,730","1,717","2,517","1,918","1,575","2,051","2,120","3,531","3,293","6,148","5,918","6,773"
Total Liabilities,"4,195","4,240","5,183","4,998","4,504","4,476","4,627","6,185","5,994","9,450","10,342","13,446"
