--- ABOUT ---
"Incorporated in 1999, Barak Valley Cements Ltd manufactures and sells Cement mainly in north eastern states of India"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
91.1,41.1,70.0 / 30.8,314

Book Value,Dividend Yield,ROCE,ROE
56.6,0.00,4.48,0.23

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,60.68,55.57,50.76,59.09,68.59,53.54,41.71,54.72,57.96,57.52,47.35,47.65,59.65
Expenses +,54.21,49.05,43.87,52.80,64.15,46.61,39.24,48.91,53.65,52.94,44.94,47.00,56.07
Operating Profit,6.47,6.52,6.89,6.29,4.44,6.93,2.47,5.81,4.31,4.58,2.41,0.65,3.58
OPM %,10.66%,11.73%,13.57%,10.64%,6.47%,12.94%,5.92%,10.62%,7.44%,7.96%,5.09%,1.36%,6.00%
Other Income +,0.93,0.93,0.18,0.15,2.37,0.10,0.05,0.26,0.64,0.19,0.18,0.20,0.90
Interest,2.38,1.85,2.10,1.63,2.04,1.31,1.42,1.59,1.26,1.04,1.15,1.42,0.91
Depreciation,1.85,1.66,1.65,1.81,2.37,1.47,1.48,1.48,1.50,1.48,1.15,1.33,1.41
Profit before tax,3.17,3.94,3.32,3.00,2.40,4.25,-0.38,3.00,2.19,2.25,0.29,-1.90,2.16
Tax %,59.62%,17.01%,16.87%,20.00%,148.75%,25.41%,44.74%,55.00%,46.12%,41.33%,162.07%,21.58%,32.41%
Net Profit +,1.28,3.26,2.76,2.40,-1.17,3.17,-0.54,1.36,1.18,1.33,-0.18,-2.31,1.45
EPS in Rs,0.58,1.47,1.25,1.08,-0.53,1.43,-0.24,0.61,0.53,0.60,-0.08,-1.04,0.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,157,128,130,157,148,162,147,176,183,234,208,212
Expenses +,140,121,119,139,134,145,127,156,159,210,188,201
Operating Profit,18,6,11,18,15,17,20,19,23,24,20,11
OPM %,11%,5%,9%,12%,10%,11%,13%,11%,13%,10%,9%,5%
Other Income +,-1,0,1,1,4,6,1,-5,2,4,1,1
Interest,11,10,9,13,11,11,11,10,9,8,6,4
Depreciation,6,5,4,7,7,6,6,6,7,7,6,5
Profit before tax,-1,-9,-2,-2,1,6,4,-1,8,13,9,3
Tax %,5%,1%,48%,21%,66%,3%,40%,286%,34%,43%,43%,90%
Net Profit +,-1,-9,-3,-2,0,6,2,-5,5,7,5,0
EPS in Rs,-0.45,-3.91,-1.23,-1.03,0.15,2.74,1.06,-2.04,2.36,3.27,2.33,0.13
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,22,22,22,22,22,22,22,22,22,22
Reserves,61,52,89,87,87,93,95,86,91,98,103,103
Borrowings +,90,86,101,105,103,105,115,78,61,49,33,29
Other Liabilities +,49,52,64,55,59,57,59,44,59,65,61,55
Total Liabilities,222,212,276,269,272,278,291,230,233,234,219,210
Fixed Assets +,125,125,196,192,190,189,186,147,140,135,132,126
CWIP,1,0,1,3,5,15,23,0,0,0,-0,2
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,97,87,79,74,77,74,81,83,93,99,87,81
Total Assets,222,212,276,269,272,278,291,230,233,234,219,210

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,34,16,26,13,21,8,8,-6,23,16,12,11
Cash from Investing Activity +,-5,-5,-34,-5,-7,-16,-11,53,1,-5,2,1
