--- ABOUT ---
"CarTrade Tech Ltd is a multi-channel auto platform provider company with coverage and presence across vehicle types and Value Added Services. The company operates various brands such as CarWale, CarTrade, Shriram Automall, BikeWale, CarTradeExchange, Adroit Auto, and AutoBiz. The platform connects new and used automobile customers, vehicle dealers, vehicle OEMs, and other businesses to buy and sell different types of vehicles. The company offers a variety of solutions across automotive transactions for buying, selling, marketing, financing, and other activities. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,287","2,559","3,291",53.9

Book Value,Dividend Yield,ROCE,ROE
519,0.00,11.8,9.69

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,96,86,120,139,145,142,154,176,170,173,193,210,203
Expenses +,84,81,99,113,118,120,122,126,123,130,130,131,132
Operating Profit,12,5,21,25,27,22,33,50,46,44,64,78,72
OPM %,12%,6%,18%,18%,19%,16%,21%,28%,27%,25%,33%,37%,35%
Other Income +,21,21,-2,-32,17,15,18,17,20,25,29,12,18
Interest,2,2,2,2,3,3,3,3,3,3,3,3,3
Depreciation,8,8,9,10,10,10,11,11,10,9,9,9,11
Profit before tax,23,16,8,-19,31,24,37,53,53,57,80,78,75
Tax %,24%,14%,34%,26%,20%,7%,17%,15%,14%,17%,20%,21%,6%
Net Profit +,18,14,5,-24,25,23,31,46,46,47,64,62,71
EPS in Rs,3.19,2.77,0.64,-5.17,4.80,4.72,5.89,9.01,8.82,9.03,12.53,11.68,13.49
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,33,78,243,298,250,313,364,490,641,779
Expenses +,195,131,213,258,210,446,330,410,490,522
Operating Profit,-162,-53,30,40,40,-133,34,80,152,257
OPM %,-499%,-68%,12%,14%,16%,-43%,9%,16%,24%,33%
Other Income +,18,20,24,20,32,46,64,3,70,84
Interest,0,0,3,4,5,7,9,10,12,12
Depreciation,1,3,15,17,20,25,29,37,41,39
Profit before tax,-146,-37,35,39,47,-119,61,36,168,290
Tax %,0%,0%,27%,20%,-120%,2%,33%,44%,14%,16%
Net Profit +,-146,-37,26,31,103,-121,40,20,145,244
EPS in Rs,-461.48,-107.09,48.39,63.43,258.07,-28.33,7.26,3.05,28.38,46.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,3,4,47,47,47,47,48
Reserves,948,"1,185","1,193","1,224","1,638","1,933","1,997","2,023","2,173","2,436"
Borrowings +,31,35,68,77,93,77,86,112,131,140
Other Liabilities +,39,28,159,163,189,220,210,326,353,385
Total Liabilities,"1,021","1,252","1,424","1,467","1,924","2,276","2,340","2,508","2,705","3,009"
Fixed Assets +,792,789,"1,010","1,016","1,022","1,041","1,042","1,489","1,497","1,522"
CWIP,0,0,0,0,0,0,0,0,0,1
Investments,165,405,287,295,645,884,985,510,614,910
Other Assets +,65,58,127,157,255,351,312,509,594,576
Total Assets,"1,021","1,252","1,424","1,467","1,924","2,276","2,340","2,508","2,705","3,009"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,-50,35,17,35,63,48,16,171,257
Cash from Investing Activity +,,-222,-20,-8,-341,-281,-17,13,-138,-231
Cash from Financing Activity +,,269,-5,-11,308,229,-39,-33,-27,-23
Net Cash Flow,,-3,9,-2,2,12,-7,-4,7,3
Free Cash Flow,,-50,33,12,30,57,41,13,166,231
CFO/OP,,99%,174%,65%,114%,-58%,149%,37%,114%,109%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,197,99,54,57,69,48,52,55,49,44
Inventory Days,,,,0,,,,,,
Days Payable,,,,417,,,,,,
Cash Conversion Cycle,197,99,54,-359,69,48,52,55,49,44
Working Capital Days,148,108,-25,35,35,-19,-10,-24,1,438
ROCE %,,-5%,,2%,3%,-6%,3%,4%,8%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,69.69%,70.14%,71.93%,69.71%,59.31%,51.63%,55.12%,60.96%,67.30%,68.51%,64.58%,60.15%
DIIs +,4.61%,4.52%,4.38%,4.96%,12.91%,22.01%,19.67%,15.36%,10.49%,9.95%,9.97%,12.07%
Public +,25.69%,25.33%,23.68%,25.33%,27.78%,26.36%,25.21%,23.68%,22.20%,21.54%,25.44%,27.79%
No. of Shareholders,"3,43,391","3,26,417","3,05,593","2,89,384","2,79,172","2,58,990","2,27,256","1,95,201","1,77,058","1,52,103","1,54,468","1,45,442"

--- CAGR BOXES ---




