--- ABOUT ---
"Incorporated in 1997, Consolidated Construction Consortium Limited is is an integrated turnkey construction service provider which is engaged in construction design, engineering, procurement, construction and project management."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
655,14.7,28.9 / 12.8,

Book Value,Dividend Yield,ROCE,ROE
6.24,0.00,-1.85,-4.32

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,35.51,22.28,35.06,43.63,29.86,28.23,56.63,52.17,44.96,51.31,66.06,74.14,103.20
Expenses +,36.52,27.02,35.66,642.31,77.56,32.41,70.21,80.66,52.53,73.00,69.93,73.21,111.48
Operating Profit,-1.01,-4.74,-0.60,-598.68,-47.70,-4.18,-13.58,-28.49,-7.57,-21.69,-3.87,0.93,-8.28
OPM %,-2.84%,-21.27%,-1.71%,"-1,372.18%",-159.75%,-14.81%,-23.98%,-54.61%,-16.84%,-42.27%,-5.86%,1.25%,-8.02%
Other Income +,0.56,1.00,1.95,2.62,"1,317.87",6.21,64.33,38.91,68.19,101.08,6.06,5.74,7.13
Interest,19.64,20.14,20.22,20.30,-43.20,3.41,3.47,3.65,4.05,0.98,2.11,2.25,0.69
Depreciation,1.57,1.37,1.39,1.39,1.31,1.19,1.20,1.24,1.20,0.47,0.51,0.56,0.65
Profit before tax,-21.66,-25.25,-20.26,-617.75,"1,312.06",-2.57,46.08,5.53,55.37,77.94,-0.43,3.86,-2.49
Tax %,-4.85%,-0.00%,-0.00%,0.01%,-1.82%,-0.00%,-0.00%,313.20%,-1.01%,-0.00%,-0.00%,9.07%,-19.68%
Net Profit +,-20.61,-25.25,-20.25,-617.82,"1,335.89",-2.57,46.08,-11.79,55.92,77.94,-0.43,3.52,-2.00
EPS in Rs,-0.52,-0.63,-0.51,-15.50,33.52,-0.06,1.16,-0.28,1.25,1.74,-0.01,0.08,-0.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,670,403,586,471,465,344,204,131,139,131,182,295
Expenses +,701,444,600,492,462,405,251,192,171,750,236,328
Operating Profit,-31,-41,-14,-21,3,-61,-48,-62,-32,-619,-54,-33
OPM %,-5%,-10%,-2%,-5%,1%,-18%,-23%,-47%,-23%,-474%,-30%,-11%
Other Income +,5,12,19,66,46,20,35,6,4,"1,291",178,120
Interest,130,141,147,124,116,110,83,78,79,17,15,6
Depreciation,26,17,17,8,6,7,9,7,6,5,5,2
Profit before tax,-182,-188,-159,-87,-73,-158,-104,-142,-114,649,104,79
Tax %,1%,-0%,-0%,-0%,-1%,-0%,-1%,-1%,-1%,-4%,16%,-0%
Net Profit +,-183,-188,-159,-87,-72,-157,-103,-141,-113,673,88,79
EPS in Rs,-9.92,-4.71,-3.99,-2.18,-1.81,-3.94,-2.58,-3.53,-2.82,16.88,1.96,1.77
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,37,80,80,80,80,80,80,80,80,80,89,89
Reserves,105,-20,-59,-140,-214,-371,-474,-613,-725,-52,110,189
Borrowings +,"1,310","1,254","1,339","1,111","1,143","1,356","1,402","1,456","1,516",141,0,0
Other Liabilities +,454,344,342,512,480,324,329,306,306,374,222,216
Total Liabilities,"1,906","1,658","1,702","1,563","1,489","1,390","1,337","1,228","1,176",542,422,495
Fixed Assets +,184,169,436,264,258,402,393,386,379,208,204,73
CWIP,23,23,23,23,23,23,23,23,23,-0,-0,0
Investments,2,1,2,1,0,0,0,0,0,0,0,28
Other Assets +,"1,697","1,466","1,241","1,276","1,209",965,922,820,775,334,218,393
Total Assets,"1,906","1,658","1,702","1,563","1,489","1,390","1,337","1,228","1,176",542,422,495

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-18,-126,57,49,42,16,8,8,-0,51,156,-98
Cash from Investing Activity +,54,5,-10,5,15,-2,1,2,-0,126,-13,41
Cash from Financing Activity +,16,49,-47,-48,-62,-19,-7,-5,-1,-174,-80,-0
Net Cash Flow,53,-71,1,5,-4,-4,2,4,-2,3,63,-57
Free Cash Flow,36,-126,41,49,42,16,7,8,-1,182,156,-103
CFO/OP,58%,307%,-496%,-107%,"1,651%",-37%,-24%,-18%,-7%,-9%,-93%,297%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,325,503,250,326,153,149,214,258,140,65,86,115
Inventory Days,280,468,168,245,243,294,438,"1,198",685,500,186,94
Days Payable,412,610,203,323,330,471,523,"1,657",987,"1,122",471,181
Cash Conversion Cycle,193,361,216,248,65,-28,129,-201,-162,-557,-200,28
Working Capital Days,141,326,-273,-222,-321,"-1,307","-2,411","-4,067","-4,117",-683,-188,27
ROCE %,-3%,-3%,-1%,2%,4%,-3%,-3%,-7%,-4%,-119%,-0%,-2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,15.16%,15.16%,15.16%,15.16%,62.39%,62.39%,64.16%,60.05%,60.05%,60.05%,60.05%,60.05%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.00%,0.02%,0.00%,0.04%
DIIs +,57.13%,57.13%,57.13%,57.13%,10.01%,10.01%,9.54%,8.93%,8.93%,8.93%,8.93%,8.93%
Public +,27.70%,27.71%,27.71%,27.72%,27.60%,27.60%,26.28%,31.00%,31.02%,31.00%,31.01%,30.98%
No. of Shareholders,"47,747","47,734","47,728","47,708","47,700","47,345","46,428","45,657","45,013","51,161","49,216","47,795"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-3%
5 Years:,8%
3 Years:,28%
TTM:,62%

Compounded Profit Growth
10 Years:,7%
5 Years:,14%
3 Years:,24%
TTM:,68%

Stock Price CAGR
10 Years:,18%
5 Years:,90%
3 Years:,114%
1 Year:,-19%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,-4%

