--- ABOUT ---
"Central Depository Services Limited is a Market Infrastructure Institution (MII), part of the capital market structure, providing services to all market participants - exchanges, clearing corporations, depository participants (DPs), issuers and investors. It is a facilitator for holding of securities in the dematerialised form and an enabler for securities transactions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"28,903","1,383","1,814 / 1,116",63.4

Book Value,Dividend Yield,ROCE,ROE
93.8,0.90,32.0,24.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,125,150,207,214,241,257,322,278,224,259,319,304,263
Expenses +,56,70,79,84,93,103,122,117,115,129,143,145,147
Operating Profit,68,80,128,130,148,154,200,161,109,130,176,160,116
OPM %,55%,53%,62%,61%,61%,60%,62%,58%,49%,50%,55%,52%,44%
Other Income +,19,24,23,21,29,30,37,21,32,36,22,29,6
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,6,6,7,8,10,12,13,14,15,16,17,18
Profit before tax,82,98,145,145,168,175,225,168,127,151,183,172,103
Tax %,23%,25%,25%,26%,23%,23%,28%,23%,21%,32%,23%,23%,23%
Net Profit +,63,74,109,107,129,134,162,130,100,102,140,133,80
EPS in Rs,3.02,3.52,5.21,5.14,6.18,6.42,7.75,6.22,4.80,4.90,6.71,6.38,3.84
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,105,123,146,188,196,225,344,551,555,812,"1,082","1,145"
Expenses +,60,59,67,77,87,136,132,186,236,324,457,563
Operating Profit,45,64,79,110,109,89,212,365,319,488,625,582
OPM %,43%,52%,54%,59%,56%,40%,62%,66%,57%,60%,58%,51%
Other Income +,23,72,41,38,49,59,57,55,66,95,119,94
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,4,4,7,10,12,9,11,19,27,49,66
Profit before tax,63,131,117,141,148,136,260,409,365,556,695,609
Tax %,31%,31%,26%,27%,23%,22%,22%,24%,24%,25%,24%,25%
Net Profit +,43,91,87,104,115,107,201,312,276,420,526,455
EPS in Rs,2.09,4.35,4.10,4.94,5.43,5.08,9.59,14.89,13.20,20.05,25.20,21.82
Dividend Payout %,53%,29%,37%,35%,37%,44%,47%,50%,61%,55%,50%,58%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,104,104,104,104,104,104,104,104,104,104,209,209
Reserves,265,375,429,494,564,619,773,988,"1,109","1,359","1,551","1,751"
Borrowings +,0,0,0,0,0,0,0,0,2,1,3,2
Other Liabilities +,122,74,73,92,116,138,206,232,241,317,399,457
Total Liabilities,491,553,606,690,784,862,"1,084","1,326","1,457","1,781","2,162","2,419"
Fixed Assets +,7,4,5,76,75,74,73,106,125,342,446,502
CWIP,0,0,0,0,0,0,23,4,174,4,7,6
Investments,389,457,503,521,593,665,709,925,937,"1,149","1,351","1,487"
Other Assets +,95,92,98,93,115,123,278,290,221,287,357,424
Total Assets,491,553,606,690,784,862,"1,084","1,326","1,457","1,781","2,162","2,419"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,43,28,43,79,86,82,193,283,249,386,543,467
Cash from Investing Activity +,-19,0,18,-67,-67,-33,-107,-146,-126,-249,-298,-185
Cash from Financing Activity +,-23,-28,-31,-38,-20,-51,-47,-94,-158,-169,-231,-262
Net Cash Flow,0,1,29,-26,-1,-1,38,44,-35,-32,14,19
Free Cash Flow,40,27,37,3,74,73,175,258,44,313,387,346
CFO/OP,140%,102%,94%,107%,110%,119%,118%,105%,107%,102%,110%,107%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,24,39,33,37,36,42,40,30,25,30,18,21
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,24,39,33,37,36,42,40,30,25,30,18,21
Working Capital Days,-253,-100,-79,-92,-79,-85,-110,-75,-45,-22,-57,200
ROCE %,14%,22%,22%,24%,22%,18%,31%,40%,30%,40%,42%,32%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%
FIIs +,15.10%,15.25%,18.16%,11.38%,14.00%,13.77%,17.15%,11.34%,12.90%,11.54%,12.40%,11.36%
DIIs +,22.03%,21.80%,21.33%,23.15%,24.92%,21.57%,19.11%,15.41%,14.24%,14.18%,15.12%,14.42%
Public +,47.87%,47.94%,45.51%,50.47%,46.09%,49.66%,48.74%,58.25%,57.87%,59.28%,57.49%,59.22%
No. of Shareholders,"8,32,125","8,09,315","7,77,030","8,43,101","8,28,805","11,03,616","11,73,419","15,29,589","14,97,889","15,12,183","14,62,630","15,14,807"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,25%
5 Years:,27%
3 Years:,27%
TTM:,6%

Compounded Profit Growth
10 Years:,21%
5 Years:,18%
3 Years:,18%
TTM:,-13%

Stock Price CAGR
10 Years:,%
5 Years:,23%
3 Years:,38%
1 Year:,-19%

