--- ABOUT ---
"Founded in 2002, Ceigall India Limited is an infrastructure construction company with expertise in specialized structural projects, including elevated roads, flyovers, bridges, railway overpasses, tunnels, highways, expressways, and runways. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,526",375,391,20.9

Book Value,Dividend Yield,ROCE,ROE
123,0.00,17.3,15.7

Face Value
5.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,650,741,695,944,822,772,831,"1,012",838,807,991,"1,387"
Expenses +,563,614,555,779,678,649,707,884,729,693,852,"1,163"
Operating Profit,87,127,140,164,144,123,123,128,109,114,139,224
OPM %,13%,17%,20%,17%,18%,16%,15%,13%,13%,14%,14%,16%
Other Income +,8,9,12,8,8,15,11,23,14,17,11,12
Interest,23,24,21,26,35,35,27,37,42,37,37,44
Depreciation,12,14,13,16,13,14,12,16,14,16,16,16
Profit before tax,60,97,117,131,104,88,95,98,67,77,97,176
Tax %,27%,24%,33%,17%,25%,26%,25%,26%,24%,27%,25%,27%
Net Profit +,44,74,78,108,78,66,71,72,51,56,72,129
EPS in Rs,5.63,4.70,5.04,6.93,5.05,3.86,4.20,4.25,3.05,3.33,4.25,7.27
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,873,"1,134","2,068","3,029","3,437","4,022"
Expenses +,713,948,"1,773","2,512","2,918","3,437"
Operating Profit,160,186,296,518,518,585
OPM %,18%,16%,14%,17%,15%,15%
Other Income +,12,13,19,37,56,54
Interest,7,11,52,94,134,160
Depreciation,14,19,38,55,56,62
Profit before tax,151,169,225,405,385,418
Tax %,26%,26%,26%,25%,25%,26%
Net Profit +,112,126,167,304,287,309
EPS in Rs,"1,145.50",16.02,21.29,19.48,16.88,17.90
Dividend Payout %,0%,0%,4%,0%,0%,3%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.98,39,39,79,87,87
Reserves,304,392,554,809,"1,745","2,051"
Borrowings +,30,316,703,"1,066","1,397","1,311"
Other Liabilities +,139,212,532,638,"1,018","2,074"
Total Liabilities,474,959,"1,828","2,592","4,248","5,523"
Fixed Assets +,67,126,249,301,339,341
CWIP,1,4,2,2,23,4
Investments,13,71,23,2,6,10
Other Assets +,394,759,"1,555","2,287","3,880","5,169"
Total Assets,474,959,"1,828","2,592","4,248","5,523"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,103,-135,-73,-190,-520,-91
Cash from Investing Activity +,-20,-164,-134,-58,-130,-44
Cash from Financing Activity +,-6,310,326,275,846,8
Net Cash Flow,77,11,119,26,197,-127
Free Cash Flow,70,-214,-229,-296,-624,-129
CFO/OP,89%,-47%,-3%,-16%,-79%,6%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,15,31,56,52,72,58
Inventory Days,30,34,57,41,37,11
Days Payable,56,50,191,119,260,164
Cash Conversion Cycle,-11,15,-78,-26,-151,-95
Working Capital Days,18,16,4,20,59,62
ROCE %,,33%,27%,30%,19%,17%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,82.05%,82.05%,82.05%,82.05%,82.05%,82.05%,82.05%
FIIs +,2.97%,1.58%,1.47%,1.81%,2.48%,2.90%,3.14%
DIIs +,6.88%,7.67%,8.23%,7.33%,5.67%,5.08%,5.37%
Public +,8.09%,8.70%,8.25%,8.80%,9.79%,9.96%,9.44%
No. of Shareholders,"1,92,262","1,79,431","1,70,885","1,67,926","1,66,761","1,59,998","1,49,520"

--- CAGR BOXES ---




