--- ABOUT ---
"Incorporated in 1965, CenturyEnka Ltd manufactures and sells Synthetic Yarn and related products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,147",525,578,11.2

Book Value,Dividend Yield,ROCE,ROE
685,1.91,8.98,7.02

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,473,428,396,451,469,528,536,493,444,402,409,412,484
Expenses +,450,407,387,435,435,487,499,467,435,382,377,371,429
Operating Profit,23,21,9,16,34,41,38,27,9,20,31,41,55
OPM %,5%,5%,2%,3%,7%,8%,7%,5%,2%,5%,8%,10%,11%
Other Income +,7,9,12,6,7,7,7,7,15,14,8,5,13
Interest,1,1,1,2,1,1,1,1,1,1,1,1,1
Depreciation,12,11,13,13,13,13,14,14,14,14,14,14,15
Profit before tax,17,18,6,7,27,34,30,19,9,19,25,32,53
Tax %,14%,23%,31%,34%,24%,29%,28%,25%,27%,19%,12%,25%,25%
Net Profit +,14,14,4,5,20,24,21,14,7,15,22,24,39
EPS in Rs,6.63,6.19,1.96,2.14,9.28,11.13,9.79,6.40,3.09,7.04,10.22,10.86,18.03
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,072","1,744","2,002","1,705"
Expenses +,"1,930","1,664","1,887","1,558"
Operating Profit,142,80,114,147
OPM %,7%,5%,6%,9%
Other Income +,19,33,37,40
Interest,2,5,5,3
Depreciation,41,50,55,55
Profit before tax,118,58,92,129
Tax %,23%,26%,28%,22%
Net Profit +,90,43,66,101
EPS in Rs,41.34,19.56,30.42,46.15
Dividend Payout %,24%,51%,33%,24%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,22,22
Reserves,"1,300","1,343","1,396","1,474"
Borrowings +,68,52,37,22
Other Liabilities +,233,268,327,333
Total Liabilities,"1,623","1,684","1,782","1,851"
Fixed Assets +,645,806,788,762
CWIP,106,4,13,13
Investments,344,342,409,489
Other Assets +,528,533,571,588
Total Assets,"1,623","1,684","1,782","1,851"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,219,88,118,125
Cash from Investing Activity +,-251,-47,-76,-80
Cash from Financing Activity +,29,-43,-42,-40
Net Cash Flow,-3,-2,0,6
Free Cash Flow,-16,-13,71,99
CFO/OP,176%,120%,120%,102%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,41,32,42
Inventory Days,64,86,87,92
Days Payable,28,41,48,61
Cash Conversion Cycle,74,86,71,73
Working Capital Days,61,72,61,148
ROCE %,,3%,6%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,24.79%,24.86%,24.86%,24.86%,24.86%,24.86%,24.87%,24.87%,24.87%,24.87%,24.87%,24.87%
FIIs +,3.42%,3.35%,2.95%,2.91%,3.44%,3.44%,3.12%,2.71%,2.16%,2.10%,2.12%,2.07%
DIIs +,5.11%,5.11%,6.27%,6.27%,9.62%,9.37%,9.42%,9.24%,9.86%,10.98%,11.03%,11.04%
Public +,66.68%,66.68%,65.91%,65.95%,62.10%,62.33%,62.59%,63.18%,63.11%,62.06%,61.99%,62.04%
No. of Shareholders,"46,494","43,989","42,429","41,079","38,059","38,734","39,563","39,143","39,084","37,823","37,439","36,944"

--- CAGR BOXES ---




