--- ABOUT ---
"Capri Global is a diversified Non-Banking Financial Company (NBFC) with a presence across diverse segments like MSME, Affordable Housing, Construction Finance segments, and Car Loan distribution; forayed into Gold Loans in Aug 22. Capri Global also owns UP Warriorz which is an Indian professional franchise women's cricket team that compete in the Women's Premier League (WPL), based in Lucknow, Uttar Pradesh. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"21,260",221,226,22.4

Book Value,Dividend Yield,ROCE,ROE
74.9,0.09,11.7,16.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,455,501,557,605,649,718,752,821,957,"1,004","1,121","1,223","1,385"
Interest,164,177,196,221,243,272,311,333,358,394,406,431,499
Expenses +,193,225,252,270,276,325,289,293,336,356,378,426,485
Financing Profit,97,99,109,114,130,121,152,195,263,253,338,366,401
Financing Margin %,21%,20%,20%,19%,20%,17%,20%,24%,28%,25%,30%,30%,29%
Other Income +,0,0,0,1,1,0,1,1,1,1,3,2,3
Depreciation,19,16,23,25,24,23,25,26,29,25,26,28,31
Profit before tax,78,84,86,89,107,99,128,171,236,230,314,340,373
Tax %,17%,24%,24%,24%,22%,23%,24%,25%,25%,24%,25%,25%,24%
Net Profit +,65,64,65,68,83,76,97,128,178,175,236,255,283
EPS in Rs,0.79,0.77,0.79,0.82,1.00,0.92,1.18,1.55,2.15,1.82,2.45,2.65,2.94
Gross NPA %,1.74%,1.89%,1.96%,2.10%,1.92%,1.97%,1.60%,1.70%,1.53%,1.67%,1.28%,1.40%,1.00%
Net NPA %,1.21%,1.37%,1.32%,1.36%,1.06%,1.13%,1.00%,1.10%,0.90%,0.99%,0.74%,0.90%,0.70%
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,198,189,229,351,589,717,737,969,"1,465","2,313","3,248","4,731"
Interest,5,12,38,97,207,283,290,332,534,837,"1,274","1,730"
Expenses +,48,120,97,140,191,203,201,368,620,"1,023","1,242","1,645"
Financing Profit,145,58,94,114,191,230,246,270,311,452,732,"1,356"
Financing Margin %,73%,30%,41%,32%,32%,32%,33%,28%,21%,20%,23%,29%
Other Income +,8,2,6,1,3,2,0,12,1,1,3,11
Depreciation,4,3,4,6,7,11,11,10,44,88,102,110
Profit before tax,149,56,96,108,187,222,236,273,268,366,633,"1,257"
Tax %,36%,22%,39%,40%,27%,27%,25%,25%,24%,24%,24%,25%
Net Profit +,95,44,58,65,136,161,177,205,205,279,479,949
EPS in Rs,1.16,0.53,0.71,0.79,1.65,1.96,2.15,2.49,2.48,3.39,5.80,9.86
Dividend Payout %,6%,12%,9%,8%,5%,2%,4%,4%,5%,4%,3%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,35,35,35,35,35,35,35,35,41,82,83,96
Reserves,"1,030","1,068","1,126","1,217","1,348","1,504","1,682","1,887","3,524","3,754","4,222","7,107"
Borrowing,50,141,728,"1,566","2,769","2,837","3,774","4,808","7,511","10,407","15,577","24,112"
Other Liabilities +,49,77,98,153,126,66,322,422,725,907,950,"1,360"
Total Liabilities,"1,164","1,320","1,986","2,971","4,277","4,441","5,813","7,153","11,801","15,150","20,831","32,676"
Fixed Assets +,9,8,13,15,14,32,28,34,291,350,341,364
CWIP,0,0,0,0,0,0,0,2,17,19,3,0
Investments,117,110,68,56,9,361,807,377,216,216,160,"1,236"
Other Assets +,"1,038","1,202","1,905","2,900","4,254","4,048","4,978","6,739","11,278","14,565","20,326","31,076"
Total Assets,"1,164","1,320","1,986","2,971","4,277","4,441","5,813","7,153","11,801","15,150","20,831","32,676"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,59,-73,-511,-857,"-1,115",210,-319,"-1,341","-3,007","-3,699","-4,312","-8,728"
Cash from Investing Activity +,-88,2,46,40,41,-352,-465,467,65,-7,60,"-1,088"
Cash from Financing Activity +,44,69,460,835,"1,196",54,892,"1,026","4,096","2,869","5,118","10,391"
Net Cash Flow,15,-1,-6,18,122,-88,108,152,"1,154",-837,867,575
Free Cash Flow,61,-76,-521,-865,"-1,120",207,-325,"-1,352","-3,138","-3,757","-4,361","-8,786"
CFO/OP,75%,-63%,-364%,-388%,-265%,50%,-47%,-207%,-346%,-278%,-208%,-274%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,9%,4%,5%,5%,10%,11%,11%,11%,7%,8%,12%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.91%,69.91%,69.88%,69.88%,69.88%,69.88%,69.87%,69.87%,59.95%,59.95%,59.92%,59.92%
FIIs +,0.08%,0.63%,0.81%,0.85%,1.01%,1.07%,1.04%,0.98%,4.72%,4.83%,4.50%,5.62%
DIIs +,14.34%,14.35%,14.15%,14.18%,14.10%,14.55%,14.51%,14.52%,20.53%,20.29%,20.11%,20.09%
Public +,15.68%,15.11%,15.17%,15.09%,15.00%,14.51%,14.59%,14.62%,14.81%,14.95%,15.46%,14.33%
No. of Shareholders,"7,432","7,053","7,261","29,874","31,030","30,984","32,211","49,562","61,368","62,839","65,201","63,725"

--- CAGR BOXES ---




