--- ABOUT ---
"Chalet Hotels is engaged in the business of hospitality (hotels), commercial and retail operations and real estate development.(Source : 202003-01 Annual Report Page No:113)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,571",802,"1,082 / 690",27.2

Book Value,Dividend Yield,ROCE,ROE
169,0.12,17.1,19.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,338,311,315,374,418,361,377,458,522,895,735,582,558
Expenses +,186,201,189,208,235,221,228,253,281,537,436,317,292
Operating Profit,152,110,126,166,183,140,150,205,241,357,299,265,266
OPM %,45%,35%,40%,44%,44%,39%,40%,45%,46%,40%,41%,46%,48%
Other Income +,-11,4,4,6,6,8,6,7,15,14,9,7,13
Interest,41,45,50,48,53,32,34,45,48,49,45,46,41
Depreciation,30,31,35,35,37,39,42,48,50,54,57,58,60
Profit before tax,71,37,44,89,99,78,79,118,159,269,205,167,178
Tax %,49%,-138%,18%,20%,17%,22%,274%,18%,22%,24%,24%,26%,8%
Net Profit +,37,89,36,71,82,61,-139,97,124,203,155,124,163
EPS in Rs,1.79,4.32,1.77,3.44,4.01,2.78,-6.35,4.42,5.67,9.30,7.08,5.67,7.44
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,441,582,737,796,987,981,286,508,"1,128","1,417","1,718","2,770"
Expenses +,377,446,624,551,668,644,279,409,676,833,982,"1,582"
Operating Profit,64,136,113,245,319,337,7,98,453,585,736,"1,187"
OPM %,14%,23%,15%,31%,32%,34%,2%,19%,40%,41%,43%,43%
Other Income +,18,13,311,-66,44,24,14,11,92,20,36,42
Interest,161,216,218,212,266,146,152,144,154,197,159,180
Depreciation,62,99,127,112,115,113,117,118,117,138,179,230
Profit before tax,-141,-166,79,-145,-18,101,-248,-153,273,269,434,819
Tax %,-10%,-32%,-61%,-36%,-58%,1%,-44%,-47%,33%,-3%,67%,21%
Net Profit +,-126,-112,127,-93,-8,100,-139,-81,183,278,142,645
EPS in Rs,-8.31,-7.39,8.38,-5.43,-0.37,5.01,-6.78,-3.98,8.94,13.54,6.53,29.46
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,152,152,152,171,205,205,205,205,205,205,218,219
Reserves,480,365,315,324,"1,218","1,350","1,211","1,136","1,337","1,646","2,828","3,479"
Borrowings +,"2,072","2,351","2,636","2,725","1,546","1,902","2,058","2,597","2,853","3,005","2,604","2,368"
Other Liabilities +,538,487,449,432,562,579,545,527,562,922,"1,427","1,243"
Total Liabilities,"3,242","3,355","3,552","3,652","3,531","4,035","4,019","4,465","4,957","5,778","7,077","7,309"
Fixed Assets +,"2,295","2,390","2,839","2,819","2,753","3,019","3,080","3,413","3,854","4,406","5,210","5,693"
CWIP,49,32,21,22,34,88,36,32,98,37,183,132
Investments,13,47,0,4,5,5,4,6,7,10,108,29
Other Assets +,885,886,692,807,738,924,899,"1,013",999,"1,325","1,575","1,453"
Total Assets,"3,242","3,355","3,552","3,652","3,531","4,035","4,019","4,465","4,957","5,778","7,077","7,309"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,79,201,249,366,252,60,62,477,689,950,"1,067"
Cash from Investing Activity +,,-172,329,-118,147,-391,-50,-396,-591,-620,"-1,355",-575
Cash from Financing Activity +,,53,-463,-157,-523,133,-34,411,126,-108,496,-466
