--- ABOUT ---
"Container Corporation Of India (CONCOR) is engaged in the business of providing inland transportation of containers by rail. It also covers the Management of Ports, Air cargo complexes and establishes cold chains. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"35,929",472,629,28.9

Book Value,Dividend Yield,ROCE,ROE
170,1.95,12.4,9.81

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,184","1,923","2,195","2,211","2,325","2,103","2,288","2,208","2,288","2,154","2,355","2,308","2,263"
Expenses +,"1,733","1,527","1,648","1,693","1,827","1,662","1,706","1,743","1,847","1,721","1,779","1,793","1,836"
Operating Profit,451,396,546,517,498,442,582,465,441,433,576,514,427
OPM %,21%,21%,25%,23%,21%,21%,25%,21%,19%,20%,24%,22%,19%
Other Income +,94,81,105,92,93,94,96,96,129,95,88,92,89
Interest,17,16,17,19,20,19,19,18,17,17,19,20,21
Depreciation,158,142,153,159,165,169,166,85,160,162,147,154,153
Profit before tax,371,319,482,431,406,347,493,457,392,349,498,433,342
Tax %,26%,24%,25%,24%,26%,25%,25%,26%,27%,26%,26%,24%,24%
Net Profit +,279,245,368,331,318,259,366,367,300,267,380,335,264
EPS in Rs,3.66,3.22,4.82,4.34,4.16,3.39,4.80,4.81,3.94,3.50,4.97,4.38,3.45
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"6,032","6,278","5,980","6,612","6,956","6,530","6,427","7,653","8,169","8,653","8,887","9,079"
Expenses +,"4,637","4,936","4,732","5,120","5,164","4,836","5,380","5,903","6,301","6,695","6,957","7,129"
Operating Profit,"1,395","1,342","1,248","1,492","1,792","1,694","1,047","1,750","1,868","1,959","1,930","1,950"
OPM %,23%,21%,21%,23%,26%,26%,16%,23%,23%,23%,22%,21%
Other Income +,354,347,309,343,364,-560,223,270,333,400,446,364
Interest,18,0,6,6,7,46,43,63,65,72,74,78
Depreciation,411,355,367,420,452,544,553,561,573,619,581,616
Profit before tax,"1,320","1,335","1,184","1,409","1,697",544,674,"1,396","1,563","1,669","1,721","1,621"
Tax %,20%,28%,28%,25%,28%,25%,26%,25%,25%,24%,25%,25%
Net Profit +,"1,056",967,854,"1,060","1,222",406,501,"1,054","1,174","1,262","1,292","1,246"
EPS in Rs,13.85,12.68,11.26,14.04,16.14,5.30,6.63,13.87,15.41,16.55,16.92,16.30
Dividend Payout %,25%,27%,39%,39%,42%,54%,60%,52%,57%,56%,54%,27%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,195,195,195,244,305,305,305,305,305,305,305,381
Reserves,"7,322","8,112","8,576","9,078","10,023","9,741","9,883","10,449","10,922","11,519","12,076","12,562"
Borrowings +,190,10,62,62,771,70,723,735,778,939,861,965
Other Liabilities +,"1,289","1,262","1,293","1,534","1,700","1,673","1,500","1,513","1,461","1,276","1,234","1,269"
Total Liabilities,"8,995","9,579","10,126","10,918","12,798","11,789","12,410","13,002","13,465","14,038","14,476","15,176"
Fixed Assets +,"3,675","3,008","3,658","4,019","4,564","5,348","5,663","5,723","5,621","6,015","6,578","7,177"
CWIP,395,623,617,692,626,943,923,755,837,893,854,901
Investments,488,"1,101","1,080","1,126","1,169","1,199","1,261","1,207","1,214","1,107","1,119","1,069"
Other Assets +,"4,437","4,848","4,771","5,080","6,438","4,299","4,564","5,317","5,794","6,024","5,924","6,028"
Total Assets,"8,995","9,579","10,126","10,918","12,798","11,789","12,410","13,002","13,465","14,038","14,476","15,176"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,166",-781,"2,029","1,313","-1,941","4,286","1,029","1,370","1,406","1,388","1,712","1,482"
Cash from Investing Activity +,-648,-753,-882,-745,"1,381","-2,875",34,"-1,068",-593,-699,-629,-236
Cash from Financing Activity +,-349,-298,-292,-492,481,"-1,470",-457,-595,-854,-840,-914,-954
Net Cash Flow,169,"-1,833",855,76,-79,-59,606,-293,-41,-150,169,292
Free Cash Flow,167,"-1,641",945,433,"-2,658","3,290",567,766,835,603,868,344
CFO/OP,110%,-34%,194%,111%,-78%,261%,121%,99%,98%,93%,97%,95%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,4,3,4,5,5,9,9,9,10,14,16,20
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,4,3,4,5,5,9,9,9,10,14,16,20
Working Capital Days,-37,-15,5,5,131,-25,-37,-32,-20,-11,-4,2
ROCE %,18%,16%,14%,15%,16%,13%,7%,13%,14%,14%,14%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%,54.80%
