--- ABOUT ---
Confidence Petroleum India Ltd is engaged in manufacturing of LPG cylinders and is also a supplier of auto LPG in India with its network of bottling plants and Auto LPG dispensing stations across India. It also supplies packed LPG cylinders and is also engaged in LPG bottling catering to industrial and commercial customers. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,340",70.4,80.6,25.2

Book Value,Dividend Yield,ROCE,ROE
42.7,0.14,9.23,6.76

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,669,875,639,554,631,778,746,697,925,"1,112",983,"1,394","1,216"
Expenses +,605,799,550,470,520,703,668,616,834,"1,029",901,"1,308","1,120"
Operating Profit,63,76,89,84,110,75,78,81,90,83,82,86,95
OPM %,9%,9%,14%,15%,18%,10%,10%,12%,10%,7%,8%,6%,8%
Other Income +,2,1,5,9,2,5,11,22,7,7,11,9,6
Interest,11,8,21,19,26,19,20,19,21,21,24,25,14
Depreciation,27,25,26,42,68,41,44,47,43,41,42,43,45
Profit before tax,27,45,47,32,19,21,25,37,34,27,27,27,43
Tax %,22%,26%,34%,15%,26%,25%,15%,28%,19%,25%,25%,22%,19%
Net Profit +,21,33,31,27,14,15,22,26,27,20,20,21,34
EPS in Rs,0.68,1.12,0.94,0.96,0.31,0.45,0.53,0.92,0.69,0.61,0.61,0.63,0.94
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,306,355,497,607,"1,005","1,078",863,"1,428","2,205","2,698","3,146","4,705"
Expenses +,274,320,456,536,878,951,742,"1,242","1,988","2,339","2,821","4,358"
Operating Profit,32,35,41,71,126,127,121,186,216,359,324,347
OPM %,11%,10%,8%,12%,13%,12%,14%,13%,10%,13%,10%,7%
Other Income +,-14,1,2,3,5,6,3,6,10,15,42,32
Interest,12,11,12,12,11,12,9,9,27,74,79,84
Depreciation,29,23,24,24,30,51,52,67,84,160,175,171
Profit before tax,-22,2,7,38,90,69,63,116,115,140,113,125
Tax %,3%,44%,30%,29%,29%,24%,25%,25%,27%,27%,23%,23%
Net Profit +,-23,1,5,27,67,52,49,90,84,105,91,97
EPS in Rs,-0.89,0.04,0.19,1.04,2.44,1.91,1.74,3.16,2.85,3.32,2.73,2.80
Dividend Payout %,0%,0%,0%,5%,4%,0%,6%,3%,4%,3%,4%,4%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,26,26,26,26,27,27,28,28,28,32,33,33
Reserves,187,188,156,227,365,420,505,666,778,"1,150","1,295","1,385"
Borrowings +,62,58,112,82,77,73,88,97,412,633,765,761
Other Liabilities +,97,91,113,141,151,185,168,259,421,388,457,556
Total Liabilities,372,363,407,476,620,705,789,"1,050","1,640","2,202","2,550","2,736"
Fixed Assets +,183,180,199,243,356,378,456,554,708,"1,010","1,048","1,112"
CWIP,15,15,29,23,20,39,19,63,37,23,83,28
Investments,8,8,10,13,29,8,12,29,30,35,7,7
Other Assets +,166,160,170,197,215,281,302,405,864,"1,134","1,412","1,590"
