--- ABOUT ---
"CRISIL Ltd is a globally diversified analytical Company providing ratings, research, risk and policy advisory services. CRISIL is India’s leading ratings agency and the foremost provider of high-end research to large banks and leading corporations. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"30,217","4,132","6,330",36.0

Book Value,Dividend Yield,ROCE,ROE
415,0.61,32.6,24.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,715,771,736,918,738,797,812,913,813,843,911,"1,082","1,058"
Expenses +,511,567,544,649,546,591,588,626,581,604,648,742,739
Operating Profit,203,204,192,269,192,207,224,287,232,239,263,340,319
OPM %,28%,26%,26%,29%,26%,26%,28%,31%,29%,28%,29%,31%,30%
Other Income +,17,18,36,36,21,18,21,30,31,24,37,27,36
Interest,1,1,1,1,1,1,1,2,6,6,6,5,7
Depreciation,26,26,26,25,17,16,16,21,30,32,32,35,39
Profit before tax,194,195,200,279,195,208,229,294,227,225,262,327,308
Tax %,25%,23%,24%,25%,30%,28%,25%,24%,30%,24%,26%,26%,24%
Net Profit +,146,151,152,210,138,150,172,225,160,172,193,242,233
EPS in Rs,19.94,20.60,20.79,28.74,18.84,20.53,23.46,30.72,21.86,23.46,26.41,33.02,31.90
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales +,"1,253","1,380","1,548","1,658","1,748","1,732","1,982","2,301","2,769","3,140","3,260","3,649","3,893"
Expenses +,865,980,"1,104","1,203","1,277","1,276","1,471","1,690","2,039","2,258","2,349","2,564","2,733"
Operating Profit,389,400,443,455,471,456,511,611,730,882,911,"1,085","1,160"
OPM %,31%,29%,29%,27%,27%,26%,26%,27%,26%,28%,28%,30%,30%
Other Income +,24,43,50,25,73,73,83,123,122,94,90,107,124
Interest,0,0,0,0,2,0,14,9,6,4,4,22,23
Depreciation,36,37,55,47,43,37,121,106,103,104,70,129,138
Profit before tax,376,406,438,434,500,492,458,618,742,868,926,"1,041","1,122"
Tax %,29%,30%,33%,30%,27%,30%,23%,25%,24%,24%,26%,26%,
Net Profit +,268,285,294,304,363,344,355,466,564,658,684,766,839
EPS in Rs,37.62,40.04,41.26,42.46,50.35,47.57,48.87,63.92,77.25,90.06,93.54,104.75,114.79
Dividend Payout %,53%,57%,65%,66%,60%,67%,68%,72%,62%,60%,60%,57%,

--- BALANCE SHEET ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,841,849,978,"1,041","1,129","1,165","1,305","1,571","1,785","2,182","2,558","3,026"
Borrowings +,0,0,0,0,3,3,0,132,83,47,250,297
Other Liabilities +,416,475,400,446,495,514,895,793,956,"1,061","1,127","1,252"
Total Liabilities,"1,265","1,331","1,385","1,495","1,634","1,689","2,207","2,504","2,831","3,297","3,942","4,582"
Fixed Assets +,432,413,309,293,350,349,763,661,619,635,976,"1,440"
CWIP,0,3,4,13,7,12,14,5,14,31,55,30
Investments,375,383,465,525,477,453,476,645,683,"1,056","1,454","1,180"
Other Assets +,458,532,607,663,800,875,955,"1,193","1,515","1,576","1,457","1,932"
Total Assets,"1,265","1,331","1,385","1,495","1,634","1,689","2,207","2,504","2,831","3,297","3,942","4,582"

--- CASH FLOW ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity +,265,270,279,291,379,446,500,403,456,780,765,756
Cash from Investing Activity +,-185,2,-19,-179,-64,-77,-300,-97,-59,-326,-387,-267
Cash from Financing Activity +,-112,-262,-227,-187,-203,-229,-265,-291,-368,-408,-442,-470
Net Cash Flow,-31,10,33,-75,111,140,-64,15,29,47,-64,18
Free Cash Flow,245,245,256,258,347,418,466,430,417,721,594,688
CFO/OP,100%,100%,98%,101%,116%,130%,122%,98%,93%,116%,118%,96%

--- RATIOS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,41,52,49,57,59,42,57,86,100,78,62,69
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,41,52,49,57,59,42,57,86,100,78,62,69
Working Capital Days,-46,-39,-7,2,-9,-27,-35,-18,0,-7,-31,5
ROCE %,48%,45%,45%,41%,45%,42%,37%,38%,41%,41%,34%,33%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.67%,66.66%,66.65%,66.65%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%
FIIs +,7.17%,7.25%,7.19%,7.20%,7.17%,7.22%,7.55%,7.69%,8.08%,7.81%,7.67%,7.18%
