--- ABOUT ---
"D.B. Corp Ltd is engaged in the business of publishing newspapers, radio broadcasting, providing integrated internet and mobile interactive services and event management. Its major brands include Dainik Bhaskar (Hindi daily), Divya Bhaskar and Saurashtra Samachar (Gujarat daily) and Divya Marathi (Marathi daily). [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,640",204,292,11.0

Book Value,Dividend Yield,ROCE,ROE
136,5.88,18.2,14.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,531,554,586,645,617,590,559,643,548,559,614,605,576
Expenses +,456,438,434,462,445,425,438,465,465,449,476,470,472
Operating Profit,75,116,152,183,172,164,121,177,83,111,138,135,104
OPM %,14%,21%,26%,28%,28%,28%,22%,28%,15%,20%,22%,22%,18%
Other Income +,14,19,16,20,25,26,24,13,19,28,20,24,13
Interest,6,5,6,7,6,6,7,6,7,7,7,6,7
Depreciation,30,27,29,29,29,28,27,24,24,24,25,25,26
Profit before tax,54,104,133,167,162,157,110,160,71,108,126,129,85
Tax %,23%,24%,25%,26%,24%,25%,25%,26%,26%,25%,26%,26%,27%
Net Profit +,41,79,100,124,123,118,83,118,52,81,93,96,62
EPS in Rs,2.31,4.42,5.63,6.96,6.88,6.62,4.63,6.63,2.94,4.54,5.24,5.36,3.49
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,010","2,049","2,258","2,311","2,463","2,224","1,508","1,769","2,129","2,402","2,339","2,356"
Expenses +,"1,446","1,512","1,614","1,746","1,957","1,740","1,201","1,463","1,806","1,779","1,793","1,867"
Operating Profit,564,538,644,565,506,484,307,305,324,623,546,488
OPM %,28%,26%,29%,24%,21%,22%,20%,17%,15%,26%,23%,21%
Other Income +,24,21,15,23,15,10,25,17,38,81,81,85
Interest,8,14,7,7,8,25,24,18,21,24,25,26
Depreciation,88,85,86,92,99,121,115,110,112,114,104,100
Profit before tax,492,460,565,488,414,348,193,195,228,565,499,448
Tax %,36%,36%,34%,34%,34%,21%,27%,27%,26%,25%,26%,26%
Net Profit +,316,292,375,324,274,275,141,143,169,426,371,332
EPS in Rs,17.23,15.90,20.38,17.60,15.66,15.72,8.08,8.05,9.50,23.89,20.82,18.63
Dividend Payout %,45%,69%,40%,1%,64%,64%,37%,62%,63%,54%,58%,38%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,184,184,184,184,175,175,175,177,178,178,178,178
Reserves,"1,105","1,214","1,410","1,745","1,652","1,503","1,648","1,705","1,770","2,043","2,046","2,251"
Borrowings +,124,137,81,45,51,345,248,199,213,253,283,262
Other Liabilities +,493,417,409,481,516,463,405,456,418,518,547,506
Total Liabilities,"1,905","1,951","2,084","2,455","2,394","2,486","2,476","2,537","2,579","2,993","3,055","3,197"
Fixed Assets +,816,867,910,"1,002",986,"1,221","1,202","1,154","1,073","1,059",997,"1,104"
CWIP,4,46,21,21,1,1,0,0,1,2,10,3
Investments,69,71,27,36,37,18,14,14,66,67,69,67
Other Assets +,"1,016",968,"1,126","1,397","1,370","1,245","1,259","1,369","1,439","1,864","1,980","2,023"
Total Assets,"1,905","1,951","2,084","2,455","2,394","2,486","2,476","2,537","2,579","2,993","3,055","3,197"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,425,341,360,364,235,363,374,371,244,579,414,365
Cash from Investing Activity +,-153,-183,-32,-198,-21,-154,-137,-224,-144,-380,-11,-173
Cash from Financing Activity +,-205,-245,-244,-42,-381,-307,-151,-155,-132,-194,-366,-208
Net Cash Flow,67,-87,84,124,-166,-98,86,-7,-32,5,37,-16
Free Cash Flow,354,142,307,185,171,322,310,340,219,537,366,207
CFO/OP,105%,96%,86%,92%,76%,96%,142%,144%,98%,117%,101%,101%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,63,67,68,87,94,104,120,99,80,77,71,72
Inventory Days,79,99,110,80,99,120,202,142,92,93,144,121
Days Payable,68,70,116,129,117,132,158,158,92,117,138,103
Cash Conversion Cycle,73,96,62,38,76,92,164,83,80,53,77,90
Working Capital Days,15,20,58,68,85,67,99,76,65,46,54,62
ROCE %,37%,32%,36%,27%,22%,19%,10%,10%,12%,25%,21%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.97%,71.96%,71.93%,71.93%,72.36%,72.36%,72.34%,72.95%,73.48%,73.78%,74.25%,74.50%
FIIs +,12.51%,13.02%,13.35%,13.34%,13.44%,13.86%,14.07%,13.06%,12.77%,12.62%,12.24%,12.05%
DIIs +,4.21%,4.35%,4.63%,4.74%,4.68%,4.85%,4.80%,4.07%,4.16%,4.18%,4.20%,4.18%
Public +,11.31%,10.66%,10.09%,9.99%,9.53%,8.92%,8.78%,9.89%,9.57%,9.42%,9.29%,9.28%
No. of Shareholders,"34,327","41,114","44,062","39,140","36,769","38,946","39,346","43,136","43,259","42,295","41,424","40,879"

--- CAGR BOXES ---




