--- ABOUT ---
"Incorporated in 1979, Deccan Cements Ltd manufactures and sells Cement and does generation and selling of power from hydel and wind sources [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
797,569,"1,184",44.6

Book Value,Dividend Yield,ROCE,ROE
536,0.11,3.31,2.42

Face Value
5.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,172.15,120.46,115.45,118.92,150.56,140.31,130.85,213.89
Expenses +,160.83,118.28,106.71,105.80,122.68,120.15,119.47,196.67
Operating Profit,11.32,2.18,8.74,13.12,27.88,20.16,11.38,17.22
OPM %,6.58%,1.81%,7.57%,11.03%,18.52%,14.37%,8.70%,8.05%
Other Income +,3.02,2.89,3.31,6.98,2.74,2.32,1.58,13.87
Interest,3.02,3.41,3.51,2.81,3.47,3.27,5.50,15.04
Depreciation,7.01,7.11,7.07,6.89,6.68,6.74,8.15,14.04
Profit before tax,4.31,-5.45,1.47,10.40,20.47,12.47,-0.69,2.01
Tax %,34.80%,-25.87%,45.58%,23.65%,24.96%,27.19%,-20.29%,-135.32%
Net Profit +,2.81,-4.05,0.81,7.95,15.35,9.07,-0.56,4.72
EPS in Rs,2.01,-2.89,0.58,5.68,10.96,6.48,-0.40,3.37
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,527,636
Expenses +,492,559
Operating Profit,35,77
OPM %,7%,12%
Other Income +,16,21
Interest,13,27
Depreciation,28,36
Profit before tax,11,34
Tax %,30%,17%
Net Profit +,8,29
EPS in Rs,5.37,20.40
Dividend Payout %,11%,2%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,7,7
Reserves,715,744
Borrowings +,714,753
Other Liabilities +,189,208
Total Liabilities,"1,625","1,711"
Fixed Assets +,402,"1,352"
CWIP,805,3
Investments,0,0
Other Assets +,417,357
Total Assets,"1,625","1,711"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,-38,76
Cash from Investing Activity +,-227,-137
Cash from Financing Activity +,178,9
Net Cash Flow,-87,-53
Free Cash Flow,-312,-69
CFO/OP,-101%,99%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,40,28
Inventory Days,541,382
Days Payable,194,197
Cash Conversion Cycle,386,213
Working Capital Days,-65,-85
ROCE %,,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%
FIIs +,9.40%,9.24%,10.07%,10.82%,10.94%,11.87%,11.55%,10.30%,9.91%,9.93%,12.85%,14.30%
DIIs +,0.49%,0.49%,0.49%,0.65%,0.97%,0.78%,0.78%,0.78%,0.78%,0.90%,0.78%,0.78%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
Public +,33.87%,34.01%,33.19%,32.28%,31.85%,31.10%,31.42%,32.67%,33.06%,32.92%,30.11%,28.66%
No. of Shareholders,"16,449","15,807","14,876","14,118","13,911","13,420","12,679","11,935","11,529","11,952","11,314","10,857"

--- CAGR BOXES ---




