--- ABOUT ---
"Incorporated in 1982, Delta Manufacturing Ltd manufactures hard ferrites and textiles. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
68.0,62.6,101 / 41.0,

Book Value,Dividend Yield,ROCE,ROE
2.12,0.00,-0.45,-12.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,19.72,21.08,20.72,17.03,18.03,15.78,14.38,15.00,15.59,14.32,13.80,15.53,18.49
Expenses +,20.82,21.72,21.21,17.83,17.88,17.20,15.92,13.23,13.65,15.37,13.63,15.55,17.83
Operating Profit,-1.10,-0.64,-0.49,-0.80,0.15,-1.42,-1.54,1.77,1.94,-1.05,0.17,-0.02,0.66
OPM %,-5.58%,-3.04%,-2.36%,-4.70%,0.83%,-9.00%,-10.71%,11.80%,12.44%,-7.33%,1.23%,-0.13%,3.57%
Other Income +,0.94,0.26,0.28,-0.37,-1.81,-0.16,-0.05,-6.63,-1.43,0.33,-1.79,-3.77,-2.63
Interest,1.07,0.98,1.15,0.43,0.52,0.53,0.56,0.22,0.27,0.69,0.21,0.22,0.20
Depreciation,1.18,1.17,1.18,0.78,0.78,0.80,0.81,0.64,0.62,0.81,0.59,0.68,0.87
Profit before tax,-2.41,-2.53,-2.54,-2.38,-2.96,-2.91,-2.96,-5.72,-0.38,-2.22,-2.42,-4.69,-3.04
Tax %,1.66%,-0.40%,-0.79%,1.68%,-1.35%,-0.34%,0.00%,2.27%,-2.63%,-1.35%,-0.41%,10.87%,-14.14%
Net Profit +,-2.45,-2.52,-2.52,-2.42,-2.92,-2.91,-2.96,-5.85,-0.37,-2.18,-2.41,-5.20,-2.62
EPS in Rs,-2.26,-2.32,-2.32,-2.23,-2.69,-2.68,-2.73,-5.39,-0.34,-2.01,-2.22,-4.79,-2.41
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,56,55,60,72,101,124,70,88,80,67,61,62
Expenses +,53,54,58,68,96,124,71,91,85,70,64,61
Operating Profit,3,1,2,3,5,-0,-1,-3,-6,-3,-3,1
OPM %,5%,2%,3%,5%,4%,-0%,-1%,-4%,-7%,-4%,-5%,2%
Other Income +,0,-2,0,1,0,1,2,34,-0,-3,-3,-10
Interest,1,3,4,5,5,6,6,4,4,2,2,1
Depreciation,1,2,2,2,4,7,5,4,5,3,3,3
Profit before tax,2,-6,-4,-3,-4,-12,-10,22,-15,-10,-12,-12
Tax %,20%,23%,15%,18%,-7%,2%,-31%,13%,15%,-0%,-0%,1%
Net Profit +,1,-7,-4,-3,-3,-12,-7,19,-17,-10,-12,-12
EPS in Rs,1.90,-10.54,-6.74,-5.04,-5.15,-11.34,-6.18,17.76,-15.43,-9.58,-11.14,-11.44
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,6,6,11,11,11,11,11,11,11
Reserves,27,21,22,18,43,32,26,44,27,16,4,-9
Borrowings +,29,38,36,45,57,62,67,47,40,40,28,40
Other Liabilities +,13,13,20,23,34,32,33,27,28,28,25,26
Total Liabilities,76,79,84,92,140,137,137,130,105,95,68,68
Fixed Assets +,38,42,45,46,59,64,60,46,50,47,31,36
CWIP,4,1,0,0,5,0,0,5,0,0,0,0
Investments,0,0,0,0,6,2,1,3,6,2,0,0
Other Assets +,34,36,39,47,70,71,76,76,50,46,36,32
Total Assets,76,79,84,92,140,137,137,130,105,95,68,68

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,5,-4,2,-1,2,-0,3,-3,-4,2,1,1
Cash from Investing Activity +,-16,-2,-4,-2,-7,1,-0,43,-3,2,0,-10
Cash from Financing Activity +,13,6,0,4,6,-3,-2,-26,-10,-4,-1,9
Net Cash Flow,1,0,-2,1,1,-2,1,14,-17,-0,-0,0
Free Cash Flow,-11,-6,-0,-4,-5,-4,2,-12,-5,-0,-1,-9
CFO/OP,177%,-335%,136%,-33%,52%,-124%,-615%,71%,39%,-57%,-33%,72%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,79,100,96,100,125,98,179,113,95,103,89,72
Inventory Days,192,192,213,169,187,149,340,181,232,242,175,128
Days Payable,123,168,178,143,146,119,282,147,172,203,164,132
Cash Conversion Cycle,149,124,131,126,166,128,237,147,155,142,100,69
Working Capital Days,18,-5,-35,-38,-25,-41,-119,-64,-65,-97,-88,-173
ROCE %,4%,0%,0%,3%,1%,-6%,-5%,-7%,-10%,-7%,-11%,-0%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.08%,72.08%,72.08%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%
DIIs +,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%
Public +,27.83%,27.84%,27.84%,27.80%,27.81%,27.81%,27.79%,27.80%,27.80%,27.80%,27.80%,27.80%
No. of Shareholders,"14,146","14,722","13,030","12,748","12,566","12,577","12,199","12,160","12,510","12,247","11,870","11,693"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,1%
5 Years:,-3%
3 Years:,-8%
TTM:,1%

Compounded Profit Growth
10 Years:,6%
5 Years:,13%
3 Years:,24%
TTM:,91%

Stock Price CAGR
10 Years:,10%
5 Years:,5%
3 Years:,-5%
1 Year:,-32%

Return on Equity
10 Years:,-22%
5 Years:,-28%
3 Years:,-38%
Last Year:,-13%

