--- ABOUT ---
"Den network ltd is a mass media & entertainment company that provides visual entertainment to its customers through cable TV, over-the-top (OTT) entertainment, and broadband services. It has curated media content from Various broadcasters across a wide range of genres and entertains 13 million+ households in India across 13 key states and 433 cities and is the Largest Subscriber Base amongst all cable players in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,579",33.1,42.8,9.52

Book Value,Dividend Yield,ROCE,ROE
79.3,0.00,5.58,4.48

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,283,273,277,273,258,248,249,261,248,241,241,251,241
Expenses +,249,244,235,233,218,221,221,233,220,222,223,238,225
Operating Profit,34,29,42,40,40,27,28,27,28,19,18,13,15
OPM %,12%,11%,15%,15%,16%,11%,11%,10%,11%,8%,7%,5%,6%
Other Income +,27,50,52,51,57,55,69,55,67,71,52,58,55
Interest,1,1,1,1,1,1,1,1,0,1,0,0,0
Depreciation,29,28,29,28,28,26,27,26,26,24,23,23,21
Profit before tax,31,50,64,62,69,55,69,55,69,65,46,48,49
Tax %,-304%,15%,29%,23%,-12%,22%,25%,24%,13%,17%,24%,16%,26%
Net Profit +,126,42,46,48,77,43,52,42,60,54,35,40,36
EPS in Rs,2.80,0.89,0.96,0.99,1.66,0.95,1.09,0.84,1.30,1.14,0.74,0.80,0.80
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,130",948,"1,157","1,285","1,206","1,291","1,307","1,226","1,130","1,081","1,005",974
Expenses +,"1,037","1,123",981,"1,007","1,029","1,079","1,058","1,024",979,927,893,906
Operating Profit,93,-176,176,278,177,212,250,202,152,154,113,68
OPM %,8%,-19%,15%,22%,15%,16%,19%,16%,13%,14%,11%,7%
Other Income +,88,51,10,30,-165,176,190,120,112,206,244,233
Interest,82,79,65,66,59,32,3,0,1,3,2,2
Depreciation,186,206,276,249,242,247,251,148,119,113,106,91
Profit before tax,-88,-409,-155,-7,-288,110,186,174,143,245,249,208
Tax %,38%,5%,21%,139%,4%,47%,-2%,2%,-65%,13%,21%,20%
Net Profit +,-122,-431,-188,-17,-301,59,189,171,236,213,197,166
EPS in Rs,-8.08,-24.21,-10.74,-1.76,-5.81,1.47,4.15,3.69,5.09,4.50,4.19,3.47
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,178,178,194,195,477,477,477,477,477,477,477,477
Reserves,"1,532",792,620,591,"2,069","2,126","2,298","2,476","2,731","2,943","3,143","3,308"
Borrowings +,998,854,505,530,482,213,0,0,28,26,23,20
Other Liabilities +,649,"1,107","1,088","1,041",927,872,678,554,524,481,500,478
Total Liabilities,"3,357","2,931","2,407","2,357","3,955","3,688","3,452","3,507","3,759","3,927","4,142","4,283"
Fixed Assets +,"1,425","1,474","1,299","1,186",935,763,609,557,562,515,463,404
CWIP,110,129,45,50,19,21,37,21,29,18,14,8
Investments,145,109,101,127,"2,139",70,"2,140","1,913","1,426","1,709","1,516",210
Other Assets +,"1,676","1,219",962,994,862,"2,834",666,"1,016","1,741","1,685","2,149","3,661"
Total Assets,"3,357","2,931","2,407","2,357","3,955","3,688","3,452","3,507","3,759","3,927","4,142","4,283"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,61,8,202,185,42,268,218,129,139,84,18,-17
Cash from Investing Activity +,-48,186,2,-80,"-2,047",429,-361,-258,-54,-66,-22,24
Cash from Financing Activity +,-109,-161,-277,-41,"1,933",-688,134,96,-115,-7,-7,-3
Net Cash Flow,-96,33,-74,64,-72,9,-9,-33,-30,11,-11,4
Free Cash Flow,-243,-371,39,30,-54,195,109,27,41,30,-22,-57
CFO/OP,145%,-35%,132%,66%,43%,126%,62%,59%,69%,59%,44%,102%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,129,101,74,86,68,38,26,21,28,37,55,40
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,129,101,74,86,68,38,26,21,28,37,55,40
Working Capital Days,-194,-277,-167,-99,-125,-155,-86,-78,-82,-69,-66,-6
ROCE %,-1%,-12%,-4%,4%,-1%,4%,2%,2%,3%,2%,5%,6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.91%,74.90%,74.90%,74.90%
FIIs +,1.24%,1.30%,0.98%,1.11%,0.96%,0.76%,0.74%,0.82%,0.63%,0.49%,0.51%,0.46%
DIIs +,0.20%,0.21%,0.17%,0.18%,0.18%,0.19%,0.20%,0.14%,0.14%,0.14%,0.14%,0.14%
Public +,23.57%,23.50%,23.86%,23.72%,23.87%,24.05%,24.07%,24.05%,24.23%,24.40%,24.36%,24.42%
Others +,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
No. of Shareholders,"89,345","99,902","1,08,548","1,23,334","1,39,856","1,59,039","1,63,164","1,67,086","1,63,348","1,58,377","1,53,581","1,48,675"

--- CAGR BOXES ---




