--- ABOUT ---
"Incorporated in 1997, Dev Information Technology Ltd is in the business of providing IT enabled services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
160,28.5,50.9 / 22.2,141

Book Value,Dividend Yield,ROCE,ROE
19.4,0.70,3.46,1.28

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,44.26,60.46,27.95,31.74,43.44,35.46,35.94,47.71,51.55,42.99,48.51,44.14,53.87
Expenses +,39.41,57.39,25.90,29.29,37.24,29.67,37.02,44.71,48.79,39.43,45.37,50.51,50.96
Operating Profit,4.85,3.07,2.05,2.45,6.20,5.79,-1.08,3.00,2.76,3.56,3.14,-6.37,2.91
OPM %,10.96%,5.08%,7.33%,7.72%,14.27%,16.33%,-3.01%,6.29%,5.35%,8.28%,6.47%,-14.43%,5.40%
Other Income +,0.20,0.22,0.56,0.23,0.53,0.27,12.31,0.44,0.23,0.47,94.22,0.72,2.13
Interest,0.24,0.34,0.35,0.33,0.40,0.52,0.99,0.51,0.58,0.54,0.71,0.54,0.98
Depreciation,0.37,0.27,0.30,0.33,0.49,0.75,0.79,0.70,0.79,0.71,0.84,1.08,0.63
Profit before tax,4.44,2.68,1.96,2.02,5.84,4.79,9.45,2.23,1.62,2.78,95.81,-7.27,3.43
Tax %,18.92%,31.72%,15.82%,15.35%,26.54%,22.34%,14.07%,18.39%,29.63%,21.22%,24.98%,2.20%,-161.22%
Net Profit +,3.59,1.83,1.66,1.71,4.28,3.71,8.11,1.82,1.13,2.18,71.88,-7.42,8.96
EPS in Rs,0.60,0.33,0.30,0.31,0.74,0.63,1.49,0.31,0.22,0.37,12.75,-1.29,1.61
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,46,47,64,70,78,69,85,100,124,164,171,190
Expenses +,42,42,57,61,68,64,82,96,117,150,160,186
Operating Profit,3,5,6,9,10,5,3,4,7,14,10,3
OPM %,7%,10%,10%,12%,12%,7%,3%,4%,6%,8%,6%,2%
Other Income +,0,1,0,0,1,2,1,1,7,2,13,98
Interest,1,1,2,2,2,1,1,1,1,1,3,3
Depreciation,1,1,1,2,2,2,2,2,1,1,3,3
Profit before tax,2,3,4,6,7,4,0,2,11,12,18,95
Tax %,28%,36%,33%,28%,35%,-1%,860%,104%,20%,24%,18%,20%
Net Profit +,1,2,3,4,4,4,-0,-0,9,9,15,76
EPS in Rs,2.44,3.96,0.74,0.69,0.79,0.67,-0.06,0.02,1.62,1.65,2.64,13.44
Dividend Payout %,8%,6%,7%,7%,6%,7%,0%,425%,6%,6%,4%,1%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.50,0.50,4,6,6,6,6,11,11,11,11,11
Reserves,8,10,12,20,24,28,27,22,30,44,57,98
Borrowings +,8,8,8,9,11,11,11,10,7,15,20,31
Other Liabilities +,10,12,19,19,15,14,18,24,19,25,34,49
Total Liabilities,27,31,43,54,56,58,62,66,68,95,122,189
Fixed Assets +,4,4,9,9,14,12,10,10,14,22,23,27
CWIP,0,0,0,0,0,0,0,1,1,3,4,0
Investments,0,0,0,0,0,5,4,3,3,3,4,48
Other Assets +,22,27,34,45,42,41,47,53,49,67,92,114
Total Assets,27,31,43,54,56,58,62,66,68,95,122,189

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,2,6,-3,7,5,6,6,-2,-1,-9,-2
Cash from Investing Activity +,-0,-0,-6,-1,-7,-7,-0,-2,-1,-2,9,-1
Cash from Financing Activity +,-0,-1,-1,6,0,1,-1,-3,-4,4,-2,7
Net Cash Flow,0,0,-1,2,0,-2,4,1,-7,1,-2,4
Free Cash Flow,0,1,0,-4,-0,2,5,4,-7,-3,-13,-5
CFO/OP,23%,53%,94%,-32%,74%,135%,125%,227%,-18%,15%,-46%,73%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,114,127,117,138,92,115,94,114,103,114,159,175
Inventory Days,16,48,46,65,64,83,75,39,60,75,,28
Days Payable,98,142,169,167,131,136,117,146,150,122,,113
Cash Conversion Cycle,31,32,-7,36,25,63,53,6,14,68,159,90
Working Capital Days,62,33,20,57,51,53,24,22,55,62,82,80
ROCE %,19%,26%,29%,24%,22%,8%,3%,7%,28%,23%,11%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.53%,67.48%,71.31%,70.20%,70.20%,68.74%,66.63%,66.63%,66.63%,66.63%,66.63%,41.58%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,1.45%,1.48%,0.45%,0.33%,0.33%,0.33%,0.33%
Public +,32.48%,32.52%,28.69%,29.80%,29.80%,29.82%,31.88%,32.93%,33.03%,33.03%,33.03%,58.08%
No. of Shareholders,"7,980","7,181","8,303","8,419","9,229","14,104","19,317","20,459","23,706","34,023","30,359","29,498"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,15%
5 Years:,17%
3 Years:,15%
TTM:,11%

Compounded Profit Growth
10 Years:,-6%
5 Years:,19%
3 Years:,-50%
TTM:,-81%

Stock Price CAGR
10 Years:,%
5 Years:,21%
3 Years:,-22%
1 Year:,-33%

Return on Equity
10 Years:,9%
5 Years:,9%
3 Years:,8%
Last Year:,1%

