--- ABOUT ---
"Incorporated in 1933, Dhampur Sugar Mills Ltd manufactures and sells sugar, chemicals, ethanol, and cogeneration of power. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
908,141,167,13.9

Book Value,Dividend Yield,ROCE,ROE
186,1.42,6.43,5.54

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,671,783,459,364,562,504,421,412,619,521,504,451,491
Expenses +,567,689,437,311,465,477,422,370,518,499,495,395,406
Operating Profit,104,94,22,54,96,27,-0,42,101,23,10,56,85
OPM %,16%,12%,5%,15%,17%,5%,-0%,10%,16%,4%,2%,12%,17%
Other Income +,4,1,5,16,4,4,6,7,1,8,2,6,7
Interest,11,14,7,6,15,16,12,10,12,16,10,8,14
Depreciation,16,13,12,16,17,13,13,16,19,14,14,16,18
Profit before tax,82,68,7,48,69,2,-20,22,71,1,-13,37,60
Tax %,26%,33%,28%,33%,25%,28%,-33%,30%,31%,30%,-38%,29%,24%
Net Profit +,61,45,5,32,52,2,-13,15,49,1,-8,27,46
EPS in Rs,9.09,6.83,0.81,4.78,7.93,0.24,-2.06,2.31,7.50,0.13,-1.23,4.12,7.10
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,777","2,233","2,584","3,352","2,892","3,484","4,157","1,904","2,460","2,169","1,957","1,967"
Expenses +,"1,644","2,023","2,068","2,997","2,433","3,132","3,696","1,613","2,152","1,902","1,787","1,794"
Operating Profit,134,210,516,354,460,353,461,292,308,267,170,173
OPM %,8%,9%,20%,11%,16%,10%,11%,15%,12%,12%,9%,9%
Other Income +,17,35,25,27,18,31,12,10,11,27,18,23
Interest,150,159,167,122,90,101,80,50,44,43,50,49
Depreciation,55,55,54,58,70,76,78,50,52,59,62,62
Profit before tax,-54,31,320,203,317,207,315,202,223,192,75,86
Tax %,-76%,18%,28%,25%,21%,-4%,27%,29%,29%,30%,30%,24%
Net Profit +,-13,26,230,151,251,216,229,144,158,135,52,65
EPS in Rs,-2.19,4.30,34.42,22.85,37.81,32.61,34.52,21.69,23.72,20.54,7.98,10.12
Dividend Payout %,0%,0%,17%,13%,17%,18%,17%,28%,25%,0%,0%,20%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,59,60,66,66,66,66,66,66,66,65,65,64
Reserves,348,635,836,935,"1,158","1,295","1,494",819,976,"1,035","1,087","1,133"
Borrowings +,"1,626","1,672","1,915","1,449","1,824","1,752","1,158",886,744,981,936,899
Other Liabilities +,995,828,514,685,877,755,753,394,335,276,299,319
Total Liabilities,"3,028","3,196","3,331","3,136","3,927","3,869","3,471","2,165","2,122","2,357","2,387","2,415"
Fixed Assets +,"1,254","1,496","1,494","1,597","1,597","1,638","1,614",999,"1,045","1,150","1,132","1,094"
CWIP,18,28,27,24,34,7,21,29,103,17,9,13
Investments,1,1,3,2,12,2,3,5,2,47,27,264
Other Assets +,"1,755","1,671","1,807","1,512","2,284","2,222","1,833","1,132",971,"1,143","1,219","1,045"
Total Assets,"3,028","3,196","3,331","3,136","3,927","3,869","3,471","2,165","2,122","2,357","2,387","2,415"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-81,168,-48,805,-203,338,880,-0,383,-53,201,243
Cash from Investing Activity +,-46,-42,-56,-140,-90,-49,-80,-105,-146,-92,22,-244
Cash from Financing Activity +,125,-117,106,-647,268,-293,-738,77,-243,109,-111,-109
Net Cash Flow,-2,9,2,19,-26,-3,62,-28,-6,-36,112,-109
Free Cash Flow,-130,120,-103,660,-283,278,796,-88,234,-105,183,214
CFO/OP,-60%,80%,4%,243%,-32%,109%,199%,12%,137%,-9%,127%,149%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,41,31,27,49,36,26,31,29,28,28,21
Inventory Days,327,265,315,158,302,216,146,230,129,208,215,206
Days Payable,176,99,56,73,120,81,67,63,35,26,32,38
Cash Conversion Cycle,196,207,289,113,231,171,105,198,123,209,211,189
Working Capital Days,-67,-53,-12,-22,19,16,19,11,20,23,24,63
ROCE %,5%,8%,19%,12%,15%,10%,14%,11%,15%,11%,6%,6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,49.09%,49.09%,49.09%,49.12%,49.12%,49.12%,49.10%,49.10%,49.87%,49.87%,49.87%,49.87%
FIIs +,6.45%,7.57%,6.21%,6.02%,5.50%,3.99%,2.14%,1.98%,2.04%,2.05%,1.91%,2.41%
DIIs +,0.45%,0.47%,0.45%,0.46%,0.46%,0.46%,0.46%,0.47%,0.48%,0.48%,0.58%,0.83%
Public +,44.02%,42.88%,44.24%,44.40%,44.92%,46.43%,48.30%,48.45%,47.61%,47.59%,47.63%,46.91%
No. of Shareholders,"71,180","72,719","79,510","85,141","90,194","93,555","95,019","93,875","92,063","90,737","88,579","86,339"

--- CAGR BOXES ---




