--- ABOUT ---
"Incorporated in 2010, Dhunseri Investments Ltd operates as an investment company [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
514,843,"1,575",28.6

Book Value,Dividend Yield,ROCE,ROE
"4,498",0.36,3.24,0.66

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,141.62,52.95,60.81,73.06,278.37,178.52,160.06,124.85,41.26,185.20,66.19,69.58,53.21
Interest,2.14,0.90,0.96,8.31,5.99,2.34,19.72,-8.67,15.83,26.91,14.67,9.76,14.78
Expenses +,135.00,25.10,29.16,63.93,267.65,122.16,103.35,79.19,163.99,90.64,111.38,115.03,132.97
Financing Profit,4.48,26.95,30.69,0.82,4.73,54.02,36.99,54.33,-138.56,67.65,-59.86,-55.21,-94.54
Financing Margin %,3.16%,50.90%,50.47%,1.12%,1.70%,30.26%,23.11%,43.52%,-335.82%,36.53%,-90.44%,-79.35%,-177.67%
Other Income +,62.95,27.17,76.09,11.72,12.45,51.04,105.50,58.14,15.91,43.01,36.90,56.67,103.07
Depreciation,5.83,5.83,5.62,6.60,10.91,10.93,10.84,6.88,10.37,10.48,6.50,6.39,6.34
Profit before tax,61.60,48.29,101.16,5.94,6.27,94.13,131.65,105.59,-133.02,100.18,-29.46,-4.93,2.19
Tax %,27.29%,15.59%,22.34%,114.48%,162.20%,18.25%,37.23%,15.42%,-17.92%,22.83%,12.22%,-76.06%,-59.36%
Net Profit +,44.79,40.77,78.56,-0.86,-3.90,76.93,82.65,89.30,-109.18,77.30,-33.06,-1.18,3.50
EPS in Rs,26.68,38.38,74.92,-9.86,-23.29,76.51,87.30,80.51,-95.45,86.89,-43.89,-5.38,-8.15
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,32,"2,506","2,805",741,77,211,280,243,465,539,361
Interest,0,64,52,23,7,5,5,6,16,29,66
Expenses +,14,"2,267","2,577",738,114,72,202,232,358,471,438
Financing Profit,19,175,175,-20,-44,134,73,5,91,39,-143
Financing Margin %,58%,7%,6%,-3%,-57%,64%,26%,2%,20%,7%,-40%
Other Income +,0,460,21,65,36,197,363,723,99,202,237
Depreciation,0,36,31,5,28,26,23,22,29,43,26
Profit before tax,19,599,165,40,-36,306,413,706,162,198,68
Tax %,8%,-7%,18%,-6%,-38%,18%,22%,25%,29%,30%,31%
Net Profit +,-62,652,149,42,-23,249,320,528,115,140,47
EPS in Rs,-101.16,594.68,162.60,47.51,5.58,230.97,252.62,480.15,80.14,148.89,29.49
Dividend Payout %,-1%,0%,1%,3%,27%,1%,1%,1%,3%,2%,10%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,6,6,6,6,6,6,6,6
Reserves,266,884,"1,016","1,428","1,363","1,664","1,937","2,264","2,552","2,676","2,736"
Borrowing,0,873,812,70,92,66,115,365,377,388,952
Other Liabilities +,6,601,887,509,466,652,872,"1,342","1,487","1,347","1,402"
Total Liabilities,279,"2,364","2,721","2,013","1,927","2,388","2,930","3,976","4,422","4,416","5,096"
Fixed Assets +,1,583,604,35,55,72,77,78,639,626,596
CWIP,0,58,59,46,46,46,85,540,55,74,819
Investments,265,871,884,"1,718","1,725","2,129","2,545","2,957","3,238","3,221","3,287"
Other Assets +,13,852,"1,175",215,102,141,224,402,491,496,394
Total Assets,279,"2,364","2,721","2,013","1,927","2,388","2,930","3,976","4,422","4,416","5,096"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,4,-417,134,9,48,26,-34,383,133,65,137
Cash from Investing Activity +,-3,-265,97,27,-5,37,36,-360,-92,-74,-725
Cash from Financing Activity +,-1,708,-136,-76,-31,-56,11,200,-43,-41,484
Net Cash Flow,1,26,95,-40,12,7,13,223,-2,-51,-104
Free Cash Flow,4,-409,116,-1,40,-17,-114,24,41,-9,-588
CFO/OP,34%,-168%,76%,649%,-147%,19%,28%,"3,826%",164%,208%,-196%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,-23%,36%,10%,4%,0%,9%,9%,14%,2%,3%,1%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%
FIIs +,0.09%,0.09%,0.09%,0.09%,0.09%,0.11%,0.11%,0.11%,0.12%,0.10%,0.10%,0.10%
DIIs +,0.05%,0.05%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%
Public +,24.91%,24.90%,24.91%,24.91%,24.91%,24.90%,24.88%,24.88%,24.89%,24.90%,24.90%,24.91%
No. of Shareholders,"10,319","10,293","10,643","11,026","10,908","10,808","10,523","10,553","10,739","10,696","10,367","10,282"

--- CAGR BOXES ---




