--- ABOUT ---
"PrataapSnacks  Limited  (PSL)  is  an  Indian snack food company engaged in manufacturing and marketing of multiple product variants like potato chips, extruded snacks and namkeen (traditional Indian snacks) under the Yellow Diamond brand and sweet snacks under the Rich Feast brand."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,716","1,136","1,223",133

Book Value,Dividend Yield,ROCE,ROE
288,0.04,1.15,3.14

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023
Sales +,314,196,327,339,310,280,371,385,361,383,457,426,387
Expenses +,300,188,303,322,296,269,346,367,357,385,435,403,368
Operating Profit,14,8,23,18,14,11,24,18,5,-2,22,23,19
OPM %,4%,4%,7%,5%,4%,4%,7%,5%,1%,-1%,5%,5%,5%
Other Income +,2,2,2,2,3,1,8,-12,2,2,3,2,1
Interest,2,2,2,1,1,2,2,2,2,2,2,2,1
Depreciation,15,16,13,13,13,13,13,13,14,14,18,15,15
Profit before tax,-1,-8,11,5,2,-2,17,-8,-9,-16,5,8,4
Tax %,"-2,075%",-21%,23%,15%,-210%,-27%,15%,-15%,-68%,-28%,18%,38%,-495%
Net Profit +,20,-6,8,5,7,-2,15,-7,-3,-11,4,5,22
EPS in Rs,8.43,-2.54,3.60,1.94,3.04,-0.68,6.26,-3.09,-1.26,-4.86,1.81,2.24,9.21
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Sales +,173,344,446,559,757,894,"1,017","1,171","1,394","1,171","1,397","1,653"
Expenses +,154,316,425,525,700,851,930,"1,087","1,300","1,108","1,338","1,590"
Operating Profit,18,28,20,34,57,43,87,83,94,63,58,63
OPM %,11%,8%,5%,6%,8%,5%,9%,7%,7%,5%,4%,4%
Other Income +,1,1,1,1,-5,2,7,11,9,9,-0,8
Interest,1,4,5,6,6,5,3,1,7,6,7,7
Depreciation,3,7,12,15,18,25,30,38,62,55,54,62
Profit before tax,15,18,5,13,28,15,62,56,34,11,-2,2
Tax %,17%,17%,-8%,24%,1%,-38%,28%,20%,-39%,-28%,-222%,"-1,245%"
Net Profit +,13,15,5,10,27,21,44,45,47,14,3,20
EPS in Rs,409.74,482.79,174.68,316.50,875.00,10.80,18.84,19.03,20.01,6.04,1.24,8.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,5%,5%,5%,8%,40%,12%

--- BALANCE SHEET ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Equity Capital,0.31,0.31,0.31,0.31,0.31,2,12,12,12,12,12,12
Reserves,101,146,176,188,216,236,508,550,596,611,613,665
Borrowings +,1,43,52,46,56,80,7,18,73,57,80,60
Other Liabilities +,21,33,52,65,70,98,136,246,239,205,203,176
Total Liabilities,123,222,280,299,341,416,663,826,921,886,907,912
Fixed Assets +,63,125,143,158,168,205,268,526,588,558,550,581
CWIP,3,3,15,24,30,52,2,7,20,21,14,15
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,56,94,122,117,143,159,392,293,313,307,343,316
Total Assets,123,222,280,299,341,416,663,826,921,886,907,912
