--- ABOUT ---
"Incorporated in 2025, Digitide Solutions Ltd is in the business of providing AI-led digital solutions, data intelligence, and business process services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,319",88.5,280,129

Book Value,Dividend Yield,ROCE,ROE
56.2,0.00,10.9,1.23

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,696.01,732.63,732.52,735.74,764.19,780.30,799.95
Expenses +,590.46,622.15,650.59,653.16,679.05,692.75,712.05
Operating Profit,105.55,110.48,81.93,82.58,85.14,87.55,87.90
OPM %,15.17%,15.08%,11.18%,11.22%,11.14%,11.22%,10.99%
Other Income +,20.73,-8.18,-23.17,-5.29,-9.73,-22.47,-10.92
Interest,9.88,9.56,10.53,11.22,13.13,12.01,14.66
Depreciation,47.65,47.49,48.79,46.08,50.63,49.05,66.41
Profit before tax,68.75,45.25,-0.56,19.99,11.65,4.02,-4.09
Tax %,19.58%,35.76%,146.43%,51.53%,75.11%,151.00%,22.49%
Net Profit +,55.30,29.07,-1.39,9.69,2.91,-2.05,-5.01
EPS in Rs,,,,0.38,-0.12,-0.51,-0.85
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025 14m,Mar 2026
Sales +,"3,269","3,080"
Expenses +,"2,794","2,737"
Operating Profit,475,343
OPM %,15%,11%
Other Income +,-9,-48
Interest,50,51
Depreciation,221,212
Profit before tax,195,32
Tax %,29%,82%
Net Profit +,138,6
EPS in Rs,,-1.10
Dividend Payout %,0%,0%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,0.00,149
Reserves,832,689
Borrowings +,354,531
Other Liabilities +,536,667
Total Liabilities,"1,722","2,036"
Fixed Assets +,683,879
CWIP,9,2
Investments,84,61
Other Assets +,945,"1,095"
Total Assets,"1,722","2,036"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,368,263
Cash from Investing Activity +,-95,-62
Cash from Financing Activity +,-259,-191
Net Cash Flow,14,10
Free Cash Flow,290,157
CFO/OP,87%,98%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,62,53
Inventory Days,,
Days Payable,,
Cash Conversion Cycle,62,53
Working Capital Days,6,15
ROCE %,,11%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.98%,56.98%,56.98%,57.37%
FIIs +,9.43%,8.05%,7.64%,7.70%
DIIs +,12.61%,11.88%,12.00%,11.61%
Public +,20.97%,23.09%,23.38%,23.31%
No. of Shareholders,"1,11,616","1,05,237","99,335","85,011"

--- CAGR BOXES ---




