--- ABOUT ---
"Incorporated in 1987, Donear Industries Ltd manufactures Textiles and deals in Rental Property [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
471,90.7,120,10.8

Book Value,Dividend Yield,ROCE,ROE
53.2,0.22,13.5,17.0

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,242.60,199.00,209.87,247.17,257.66,196.32,236.92,240.27,238.97
Expenses +,213.15,178.37,188.09,220.19,244.34,175.14,206.56,212.28,230.82
Operating Profit,29.45,20.63,21.78,26.98,13.32,21.18,30.36,27.99,8.15
OPM %,12.14%,10.37%,10.38%,10.92%,5.17%,10.79%,12.81%,11.65%,3.41%
Other Income +,2.55,1.56,2.81,0.00,2.90,1.01,3.00,2.66,9.37
Interest,6.81,7.37,8.63,8.18,8.06,6.88,9.99,7.16,6.44
Depreciation,3.15,2.77,2.97,3.65,3.72,3.20,3.45,3.51,3.82
Profit before tax,22.04,12.05,12.99,15.15,4.44,12.11,19.92,19.98,7.26
Tax %,27.81%,27.05%,18.63%,27.99%,63.29%,27.33%,37.80%,14.41%,29.06%
Net Profit +,15.91,8.78,10.57,10.90,1.61,8.81,12.39,17.10,5.14
EPS in Rs,3.06,1.69,2.03,2.10,0.31,1.69,2.38,3.29,0.99
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,799,914,912
Expenses +,710,821,825
Operating Profit,89,93,88
OPM %,11%,10%,10%
Other Income +,9,7,16
Interest,38,42,30
Depreciation,12,13,14
Profit before tax,47,45,59
Tax %,27%,29%,27%
Net Profit +,35,32,43
EPS in Rs,6.68,6.13,8.35
Dividend Payout %,3%,3%,2%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10
Reserves,194,224,266
Borrowings +,338,390,427
Other Liabilities +,168,163,148
Total Liabilities,710,788,852
Fixed Assets +,87,96,102
CWIP,8,11,11
Investments,8,8,8
Other Assets +,607,673,732
Total Assets,710,788,852

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,71,-1,16
Cash from Investing Activity +,-28,-18,-12
Cash from Financing Activity +,-47,20,-1
Net Cash Flow,-4,2,2
Free Cash Flow,51,-27,2
CFO/OP,97%,8%,33%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,79,85,89
Inventory Days,289,272,324
Days Payable,61,66,59
Cash Conversion Cycle,307,291,354
Working Capital Days,52,52,67
ROCE %,,15%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.56%,74.56%,74.56%,74.56%,74.56%,74.56%,74.56%,74.56%,74.56%,74.56%,74.56%,74.56%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.03%,0.11%,0.14%,0.12%,0.10%,0.00%,0.04%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.07%,0.14%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,25.44%,25.44%,25.44%,25.44%,25.34%,25.20%,25.17%,25.31%,25.32%,25.45%,25.40%,25.43%
No. of Shareholders,"14,646","16,890","17,196","17,290","18,238","17,303","18,453","18,130","18,051","18,149","17,572","16,969"

--- CAGR BOXES ---




