--- ABOUT ---
"Incorporated in 1973, DTL is into manufacturing of hydraulic gear pumps and automotive turbochargers. They serve clients across Aerospace, automotive and hydraulic industries. DTL has manufacturing facilities in Europe and India serving customers across 6 continents. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,418","10,923","12,875 / 6,320",148

Book Value,Dividend Yield,ROCE,ROE
"1,251",0.05,9.98,6.62

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,368,363,351,346,370,346,361,315,381,371,392,425,433
Expenses +,318,326,312,305,328,306,320,276,343,333,346,375,385
Operating Profit,49,37,39,41,43,40,41,39,38,38,46,50,49
OPM %,13%,10%,11%,12%,12%,12%,11%,12%,10%,10%,12%,12%,11%
Other Income +,7,38,8,9,50,3,7,-0,13,10,-0,-8,0
Interest,15,13,16,16,18,14,15,14,14,14,15,14,14
Depreciation,17,16,16,17,17,17,18,17,17,18,19,20,19
Profit before tax,25,46,15,16,58,12,16,8,19,15,12,8,15
Tax %,30%,10%,20%,30%,2%,3%,25%,56%,17%,30%,72%,27%,18%
Net Profit +,18,41,12,11,57,11,12,4,16,11,3,6,13
EPS in Rs,27.69,65.22,19.08,17.72,90.06,17.96,18.97,5.57,25.37,16.98,5.22,9.10,19.81
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,626","1,490","1,506","1,321","1,500","1,230","1,118","1,253","1,316","1,429","1,404","1,621"
Expenses +,"1,471","1,346","1,339","1,190","1,326","1,071",991,"1,081","1,132","1,268","1,243","1,439"
Operating Profit,155,144,167,131,174,159,127,172,184,162,160,183
OPM %,10%,10%,11%,10%,12%,13%,11%,14%,14%,11%,11%,11%
Other Income +,29,5,1,5,7,18,6,-8,10,105,23,2
Interest,83,75,80,76,81,83,72,62,68,65,59,58
Depreciation,51,52,53,47,49,80,78,77,70,66,69,77
Profit before tax,50,21,36,13,50,14,-16,25,55,136,55,50
Tax %,43%,41%,45%,94%,45%,-184%,34%,38%,23%,10%,22%,35%
Net Profit +,29,12,20,1,27,39,-22,15,43,122,43,32
EPS in Rs,45.18,19.36,30.94,1.14,43.32,61.60,-34.49,24.40,67.48,192.09,67.87,51.11
Dividend Payout %,0%,0%,0%,0%,5%,0%,0%,0%,11%,6%,3%,21%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,6,6,6,6,6,7,7,7,7
Reserves,245,251,292,308,319,367,362,375,535,661,711,787
Borrowings +,516,596,680,710,659,743,744,687,754,585,571,638
Other Liabilities +,382,329,350,395,401,375,316,318,373,319,362,418
Total Liabilities,"1,150","1,182","1,329","1,419","1,385","1,491","1,429","1,387","1,669","1,572","1,650","1,850"
Fixed Assets +,644,627,759,793,644,826,708,685,682,792,801,880
CWIP,4,29,24,8,6,3,3,15,79,10,29,7
Investments,0,0,1,1,0,0,0,0,0,0,0,0
Other Assets +,502,527,545,617,735,661,717,686,908,770,820,962
Total Assets,"1,150","1,182","1,329","1,419","1,385","1,491","1,429","1,387","1,669","1,572","1,650","1,850"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,116,43,118,88,124,226,121,107,131,97,144,95
Cash from Investing Activity +,57,-46,-91,-62,2,-52,-7,9,-83,47,-67,-67
Cash from Financing Activity +,-137,-10,-25,-48,-128,-155,-132,-137,72,-231,-96,-14
Net Cash Flow,36,-13,2,-22,-3,19,-18,-21,121,-87,-19,14
Free Cash Flow,165,-10,35,28,133,168,102,114,46,22,78,30
CFO/OP,84%,41%,80%,72%,86%,144%,99%,70%,76%,65%,100%,57%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,25,30,36,51,56,70,65,61,71,76,75,72
Inventory Days,88,111,104,154,134,162,149,152,173,167,194,185
Days Payable,106,105,107,143,132,168,136,130,133,101,128,115
Cash Conversion Cycle,7,37,34,62,58,64,78,83,112,142,140,142
Working Capital Days,-47,-16,-21,-26,-9,-24,28,16,-24,30,34,42
ROCE %,15%,12%,13%,9%,13%,9%,5%,9%,10%,10%,9%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,41.87%,41.87%,41.87%,41.87%,41.87%,41.87%,41.87%,41.87%,41.87%,41.87%,41.87%,41.50%
FIIs +,16.59%,16.67%,16.77%,16.51%,17.13%,13.95%,13.26%,13.29%,13.21%,12.23%,10.28%,10.13%
DIIs +,10.50%,11.02%,11.42%,11.41%,11.23%,12.95%,13.34%,13.53%,12.86%,13.85%,15.35%,15.63%
Public +,31.04%,30.44%,29.95%,30.22%,29.77%,31.24%,31.54%,31.32%,32.06%,32.06%,32.51%,32.76%
No. of Shareholders,"12,805","13,221","13,106","15,845","18,318","19,611","19,950","18,737","19,403","19,191","23,902","26,206"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,1%
5 Years:,8%
3 Years:,7%
TTM:,16%

Compounded Profit Growth
10 Years:,15%
5 Years:,34%
3 Years:,6%
TTM:,16%

Stock Price CAGR
10 Years:,16%
5 Years:,50%
3 Years:,43%
1 Year:,55%

Return on Equity
10 Years:,6%
5 Years:,7%
3 Years:,8%
Last Year:,7%

