--- ABOUT ---
"Incorporated in 1990, Dynemic Products is in the business of manufacturing and selling of Dyes & Dye Intermediates [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
289,232,416,14.5

Book Value,Dividend Yield,ROCE,ROE
197,0.00,11.3,8.49

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,72.43,68.16,65.39,71.55,78.95,80.05,97.85,95.54,94.09,94.43,89.31,90.67,104.22
Expenses +,61.83,58.75,61.10,63.66,68.54,70.04,85.35,82.64,81.64,81.66,77.02,78.01,89.72
Operating Profit,10.60,9.41,4.29,7.89,10.41,10.01,12.50,12.90,12.45,12.77,12.29,12.66,14.50
OPM %,14.63%,13.81%,6.56%,11.03%,13.19%,12.50%,12.77%,13.50%,13.23%,13.52%,13.76%,13.96%,13.91%
Other Income +,0.24,0.05,0.06,0.07,0.51,0.05,0.06,0.05,0.27,0.04,0.03,0.10,0.25
Interest,3.59,2.56,3.93,2.76,3.64,2.26,3.23,2.93,2.97,2.25,2.34,2.44,2.23
Depreciation,4.14,4.19,4.22,4.18,4.10,4.09,4.13,4.15,4.07,4.13,4.17,4.17,4.14
Profit before tax,3.11,2.71,-3.80,1.02,3.18,3.71,5.20,5.87,5.68,6.43,5.81,6.15,8.38
Tax %,-27.01%,29.15%,-5.53%,-20.59%,-27.67%,25.34%,25.19%,25.21%,30.63%,25.19%,23.58%,25.20%,27.45%
Net Profit +,3.94,1.91,-3.59,1.23,4.06,2.78,3.89,4.39,3.94,4.81,4.44,4.61,6.08
EPS in Rs,3.37,1.64,-2.98,1.02,3.38,2.31,3.23,3.65,3.17,3.87,3.57,3.71,4.89
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,129,130,129,164,167,182,206,252,296,284,368,379
Expenses +,111,113,104,133,137,146,162,209,267,252,320,326
Operating Profit,18,17,25,31,30,36,43,43,29,32,48,52
OPM %,14%,13%,20%,19%,18%,20%,21%,17%,10%,11%,13%,14%
Other Income +,0,0,0,0,0,1,1,0,0,1,0,0
Interest,2,2,2,1,1,2,2,8,16,13,11,9
Depreciation,3,3,3,3,3,3,3,11,17,17,16,17
Profit before tax,13,12,21,27,25,32,38,23,-4,3,20,27
Tax %,27%,34%,34%,35%,29%,25%,26%,39%,-21%,-16%,27%,26%
Net Profit +,9,8,14,18,18,24,28,14,-3,4,15,20
EPS in Rs,7.94,6.37,11.39,14.76,15.11,20.31,23.94,12.02,-2.52,3.01,12.07,16.04
Dividend Payout %,0%,22%,13%,10%,9%,7%,0%,0%,0%,0%,0%,9%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,11,11,11,11,11,11,12,12,12,12
Reserves,47,53,66,81,97,117,145,159,171,191,212,233
Borrowings +,36,33,25,25,31,101,153,174,148,115,96,73
Other Liabilities +,18,15,17,22,19,22,42,70,81,83,96,95
Total Liabilities,112,111,120,140,158,251,351,415,412,400,416,413
Fixed Assets +,35,34,35,35,38,36,34,272,259,245,235,221
CWIP,9,9,10,14,25,71,194,0,0,0,0,0
Investments,1,1,1,1,1,1,1,1,1,1,1,2
Other Assets +,67,66,74,90,94,143,121,142,152,154,180,190
Total Assets,112,111,120,140,158,251,351,415,412,400,416,413

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,10,12,10,13,7,48,40,25,30,28,34
Cash from Investing Activity +,-4,-3,-3,-7,-17,-70,-98,-52,2,-0,-4,-1
Cash from Financing Activity +,3,-7,-9,-4,3,64,49,12,-26,-30,-24,-33
Net Cash Flow,0,1,-0,-0,-0,1,-0,-0,0,-1,0,1
Free Cash Flow,-6,7,8,2,-4,-41,-77,-15,24,27,22,32
CFO/OP,27%,84%,75%,59%,74%,46%,134%,102%,87%,95%,60%,66%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,62,73,79,72,91,64,73,68,63,72,65,74
Inventory Days,117,96,,113,105,134,118,144,153,168,158,154
Days Payable,41,22,,24,19,28,78,145,146,174,146,125
Cash Conversion Cycle,137,147,79,161,177,170,113,67,70,66,77,103
Working Capital Days,46,50,88,90,90,144,31,-19,-25,-27,-11,19
ROCE %,18%,14%,22%,26%,21%,18%,15%,10%,4%,5%,10%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,30.31%,29.42%,29.42%,29.42%,29.42%,29.42%,29.42%,29.47%,29.47%,29.42%,29.42%,29.42%
FIIs +,0.13%,0.05%,0.00%,0.07%,0.15%,0.01%,0.26%,0.35%,0.51%,0.04%,0.15%,0.08%
DIIs +,0.09%,0.08%,0.00%,0.00%,0.00%,0.25%,0.28%,0.28%,0.18%,0.87%,0.80%,0.31%
Public +,69.47%,70.46%,70.57%,70.51%,70.44%,70.32%,70.05%,69.90%,69.84%,69.67%,69.63%,70.19%
No. of Shareholders,"15,758","16,043","16,550","15,535","15,041","14,119","13,028","12,911","12,542","12,999","12,683","12,452"

--- CAGR BOXES ---




