--- ABOUT ---
"The company offers a comprehensive range of travel - related products and services under the flagship brand ''Ease My Trip''. It also provides end- to -end travel solutions, including airline tickets, hotels and holiday packages,rail tickets, bus tickets and taxis as well as ancillary value- added services such as travel insurance, visa processing and tickets for activities and attraction."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,168",7.95,11.1,

Book Value,Dividend Yield,ROCE,ROE
2.20,0.00,0.63,-0.71

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,117,124,142,161,164,153,145,151,139,114,118,152,152
Expenses +,74,89,77,100,115,106,108,103,126,113,115,147,177
Operating Profit,42,35,65,61,49,47,37,48,14,0,3,4,-25
OPM %,36%,28%,46%,38%,30%,31%,26%,32%,10%,0%,3%,3%,-16%
Other Income +,4,3,3,5,-64,4,5,3,4,6,-33,10,14
Interest,1,1,2,1,1,1,1,2,2,1,1,2,2
Depreciation,1,1,1,4,1,2,4,3,3,4,5,4,4
Profit before tax,44,35,65,60,-17,47,37,46,12,1,-36,8,-16
Tax %,30%,26%,27%,24%,-13%,28%,28%,26%,-13%,68%,1%,59%,-5%
Net Profit +,31,26,47,46,-15,34,27,34,14,0,-36,3,-15
EPS in Rs,0.09,0.07,0.13,0.13,-0.04,0.09,0.07,0.09,0.04,0.00,-0.09,0.02,-0.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,141,138,235,449,591,587,536
Expenses +,131,61,102,273,381,442,552
Operating Profit,10,78,133,176,210,145,-17
OPM %,7%,56%,57%,39%,36%,25%,-3%
Other Income +,40,12,14,15,-54,16,-3
Interest,3,6,3,3,6,6,6
Depreciation,1,1,1,3,7,12,16
Profit before tax,46,83,144,185,143,143,-42
Tax %,28%,27%,26%,27%,27%,24%,13%
Net Profit +,33,61,106,134,103,109,-48
EPS in Rs,0.09,0.18,0.30,0.39,0.29,0.30,-0.11
Dividend Payout %,-0%,36%,21%,-0%,17%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,43,174,177,354,364
Reserves,80,141,192,196,427,366,438
Borrowings +,7,17,50,87,19,38,35
Other Liabilities +,182,218,197,240,261,388,372
Total Liabilities,290,398,483,697,885,"1,146","1,208"
Fixed Assets +,12,12,31,37,131,165,205
CWIP,0,0,-0,-0,-0,3,16
Investments,1,1,1,-0,40,48,172
Other Assets +,277,385,451,660,715,930,815
Total Assets,290,398,483,697,885,"1,146","1,208"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,27,74,20,-119,124,112,-4
Cash from Investing Activity +,-55,-23,-56,83,-43,-92,-42
Cash from Financing Activity +,6,0,-31,4,56,16,-10
Net Cash Flow,-21,51,-67,-33,137,35,-56
Free Cash Flow,24,73,-0,-124,113,46,-118
CFO/OP,324%,126%,47%,-34%,84%,119%,11%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,150,76,82,127,144,184,186
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,150,76,82,127,144,184,186
Working Capital Days,-70,-192,-85,228,134,213,219
ROCE %,,62%,63%,51%,40%,21%,1%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,May 2026
Promoters +,65.54%,64.30%,64.30%,64.30%,50.38%,50.38%,48.97%,47.72%,47.72%,47.72%,47.72%,43.56%
FIIs +,2.30%,2.18%,2.78%,2.57%,2.50%,2.58%,3.74%,2.59%,0.50%,0.45%,1.42%,6.16%
DIIs +,2.42%,2.35%,2.45%,2.60%,2.64%,3.00%,2.90%,2.47%,2.48%,2.48%,2.30%,2.10%
Public +,29.74%,31.16%,30.46%,30.54%,44.47%,44.05%,44.37%,47.22%,49.29%,49.36%,48.57%,48.17%
No. of Shareholders,"3,76,620","4,63,094","7,47,766","7,44,165","9,22,939","10,45,426","10,99,224","10,89,618","10,79,322","10,47,574","10,15,650","9,99,555"

--- CAGR BOXES ---




